episode,probe_kind,eps,additivity_defect
0,isotropic,0.001,0.0009312184391428063
0,isotropic,0.01,0.005371311121259278
0,label,0.001,0.0005108599017606957
0,label,0.01,0.0013750821034638919
1,isotropic,0.001,0.0009007023285281232
1,isotropic,0.01,0.006944985517239822
1,label,0.001,0.0005336676085678384
1,label,0.01,0.0009655354335872065
2,isotropic,0.001,0.002779532615568229
2,isotropic,0.01,0.004592167039499664
2,label,0.001,0.0017357850250125594
2,label,0.01,0.0009146478772642561
3,isotropic,0.001,0.000709640532338541
3,isotropic,0.01,0.004779510889342764
3,label,0.001,0.0004882813739746418
3,label,0.01,0.0013578794011501717
