basis,operator_kind,lambda,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,lambda_mean,lambda_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
raw,actLR,0.0,4,0.08289689095952349,0.01996030459901354,0.7738524011085401,0.05387320135449265,1.0111798656283515,0.009291216028068865,0.7638490684522214,0.04799818336664435,0.999999999999999,5.20740757162067e-16,0.7638490684514583,0.0479981833665965,0.7649946737993856,0.046479665132855334,0.4148067314209693,0.07448083093855523,0.41316287960542486,0.07198665921778744,-0.9939535356852147,0.002991712158406989,0.0,0.0,0.10094065315428886,0.018479401389000977,0.9385108587737034,0.22576342382971223,0.9585448322010455,0.20499186442890377,40.0,0.0
raw,actLR,0.1,4,0.10249424673481353,0.02221038677677292,0.8070848142590991,0.0637213598381493,1.012828987920294,0.00830005944629579,0.7998836132254427,0.057049671205024285,0.999999999999999,5.661048867003676e-16,0.7998836132246435,0.05704967120496738,0.7965870271878067,0.057769866211497566,0.35774520655624265,0.09274914374183023,0.3629460900345217,0.09344598843682396,-0.9914810963036745,0.0038482889273846834,0.1,0.0,0.10094065315428886,0.018479401389000977,0.9385108587737034,0.22576342382971223,0.9585448322010455,0.20499186442890377,40.0,0.0
raw,actLR,0.25,4,0.12919017512581998,0.021060596300060744,0.8818084321195483,0.07214195235414228,1.0131041764788864,0.009667188799805021,0.87849292875868,0.06609938046161112,0.999999999999999,5.661048867003676e-16,0.8784929287578024,0.06609938046154519,0.870183857002933,0.06736626609618986,0.22497332804948872,0.11733644875234027,0.23937639465569213,0.11862879307202553,-0.9887815805446091,0.004154714474584395,0.25,0.0,0.10094065315428886,0.018479401389000977,0.9385108587737034,0.22576342382971223,0.9585448322010455,0.20499186442890377,40.0,0.0
raw,actLR,0.5,4,0.17226623894431078,0.02102248180853203,1.0300553409940472,0.07541819613463324,1.0121396689051076,0.014652753872866449,1.0327887405141225,0.07208288699474806,0.9999999999999989,5.874748045952207e-16,1.0327887405130909,0.07208288699467619,1.017758447745535,0.07484580389803633,-0.07054953947873183,0.15073264834673228,-0.04003367872825869,0.15513276967406214,-0.9855207706299322,0.0049967238683851405,0.5,0.0,0.10094065315428886,0.018479401389000977,0.9385108587737034,0.22576342382971223,0.9585448322010455,0.20499186442890377,40.0,0.0
raw,actLR,0.75,4,0.22031588773314686,0.033594234503954025,1.218286757258939,0.06028836990592027,1.0089408819488204,0.021710003952348626,1.2268965868854629,0.06631981433151113,0.9999999999999987,5.804389243823509e-16,1.2268965868842376,0.06631981433144471,1.2084239566709347,0.07756469697383704,-0.5085739732379093,0.16711618727039176,-0.4648006707187196,0.19285770995610735,-0.9832455763044056,0.006289041615566362,0.75,0.0,0.10094065315428886,0.018479401389000977,0.9385108587737034,0.22576342382971223,0.9585448322010455,0.20499186442890377,40.0,0.0
raw,actLR,0.9,4,0.2553746484339179,0.05301687963273684,1.3661649470938309,0.07156794550337675,1.0051883487304287,0.026502862438698316,1.3781260715055823,0.08562917151510437,0.9999999999999987,5.20740757162067e-16,1.3781260715042059,0.08562917151501846,1.3612055711733237,0.10678877944758772,-0.9047307352203764,0.2360519394499452,-0.8614334895552238,0.29151864560427865,-0.9823127641659185,0.007021458433734851,0.9,0.0,0.10094065315428886,0.018479401389000977,0.9385108587737034,0.22576342382971223,0.9585448322010455,0.20499186442890377,40.0,0.0
raw,actLR,1.0,4,0.2813584720889686,0.06829478617690232,1.4933074850207109,0.10941431661176472,1.0004857545872134,0.02682365440717566,1.506300163842357,0.12222397227519874,0.9999999999999984,5.944274111531574e-16,1.506300163840853,0.12222397227507628,1.4953029286821118,0.14515278611716578,-1.2801442081360044,0.3621641453110538,-1.2517328470134823,0.4296906738614604,-0.982207224342077,0.00716451273880063,1.0,0.0,0.10094065315428886,0.018479401389000977,0.9385108587737034,0.22576342382971223,0.9585448322010455,0.20499186442890377,40.0,0.0
raw,galerkin,0.0,4,0.08289689095952349,0.01996030459901354,0.08240427207456703,0.01832690845160873,1.0111798656283515,0.009291216028068865,0.017131796499553993,0.004890115173783935,0.999999999999999,5.20740757162067e-16,0.017131796499536875,0.00489011517377904,0.08147319768303103,0.01797899018258653,0.9996885666288888,0.00016743853819231033,0.9931196849933126,0.0029837947957389206,-0.07215573456561057,0.13921954940622372,0.0,0.0,0.10094065315428886,0.018479401389000977,0.10119146007085555,0.01916615077189851,0.002148387134467237,0.0011457599363680522,40.0,0.0
raw,galerkin,0.1,4,0.10249424673481353,0.02221038677677292,0.10180772252987472,0.02087949954658003,1.012828987920294,0.00830005944629579,0.026025373493902347,0.012770198584303536,0.999999999999999,5.661048867003676e-16,0.02602537349387634,0.012770198584290756,0.10050939975567039,0.020460793656469387,0.9992003714555926,0.0008108307164887284,0.9895838775029653,0.004222891818326481,-0.09181320367671184,0.13591361112280803,0.1,0.0,0.10094065315428886,0.018479401389000977,0.10119146007085555,0.01916615077189851,0.002148387134467237,0.0011457599363680522,40.0,0.0
raw,galerkin,0.25,4,0.12919017512581998,0.021060596300060744,0.1287415728814486,0.01999069017928296,1.0131041764788864,0.009667188799805021,0.03592671686348684,0.0206870556973763,0.999999999999999,5.661048867003676e-16,0.03592671686345094,0.020687055697355603,0.12707581712676552,0.01963227731390995,0.9983883053103443,0.0018818711512204038,0.9835626669671671,0.00501680834189097,-0.10999732666278128,0.14168844727087962,0.25,0.0,0.10094065315428886,0.018479401389000977,0.10119146007085555,0.01916615077189851,0.002148387134467237,0.0011457599363680522,40.0,0.0
