exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,0,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,43,43,0.9148936170212766,1.162162162162162,37,4.777777777777778,7.777777777777778,80,8.88888888888889,0.282701681140267,0.03935207278504655,4.299600203408631,0.1837255134848718,0.11748412457034224,0.21748217632668024,0.9534358121433837,0.9861974804739677,0.3295087863705476,0.20924531766694635,0.1415335598011412,0.05842052309269166,0.9999999999999875,0.8867618882849309,0.9999999999999888,0.8888637947300565,"[16, 23, 3, 1, 0, 0, 0, 0, 0]","[16, 31, 8, 5, 4, 4, 4, 4, 4]",0.11012447894019935,0.09076000883354989,1.2133590592984969,0.2929576758054575
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,1,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,4,4,0.0851063829787234,0.18181818181818182,22,0.4444444444444444,34.0,336,37.333333333333336,0.5177835026720553,0.01192733704183941,1.027435957784733,0.05191553288140198,0.06171815704567945,0.07152757100727673,0.9952103669534843,0.9961908690908925,0.3926847880740936,0.17957011231922243,0.38886512416311,0.17195557054363647,0.9990213105590271,0.8673679387014321,0.9992609040953453,0.8722776430151709,"[3, 1, 0, 0, 0, 0, 0, 0, 0]","[16, 40, 40, 40, 40, 40, 40, 40, 40]",0.013764728478608029,0.013569253188606804,1.0144057515387326,0.047722784333863365
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,2,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,25,25,0.5319148936170213,0.7352941176470589,34,2.7777777777777777,16.11111111111111,205,22.77777777777778,0.30601084427151326,0.029556525939237004,2.679555520358632,0.09771689770651341,0.1705423166102736,0.18964302112669432,0.9645489962351381,0.9709153182452593,0.1336696843047011,0.09339501552320915,0.11534641242904306,0.0524381437414421,0.9999999999999939,0.8888608804143698,0.9999999999999938,0.888885493362117,"[15, 7, 3, 0, 0, 0, 0, 0, 0]","[16, 32, 25, 22, 22, 22, 22, 22, 22]",0.31963682991410164,0.26785734901537084,1.1933099132395262,0.06197470293190202
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,3,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,282,47,1.0,1.3823529411764706,34,31.333333333333332,4.888888888888889,327,36.333333333333336,33.294856420561786,0.6873995720643202,217.10274282326984,613.979007244495,2.8915865015578705e-15,613.979007244495,-6.094851024318615e-06,1.0,0.607967385706702,0.06755193174519188,1.3560612077873092e-05,1.5067346781569469e-06,1.0000000000000007,0.8779378264776174,1.0000000000000007,0.8887732795768882,"[16, 31, 40, 40, 40, 40, 40, 35, 0]","[16, 31, 40, 40, 40, 40, 40, 40, 40]",47.601032397995105,0.014404634177164763,3304.563782220558,115.88445249281807
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,4,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,19,19,0.40425531914893614,0.6551724137931034,29,2.111111111111111,18.444444444444443,248,27.555555555555557,0.3468033927283011,0.028248697300629066,2.4933342026104115,0.07831275736026687,0.2010290964841611,0.21390324809292752,0.9561270932613819,0.9595873023668426,0.14772974442606418,0.10261594602758801,0.11618327881577512,0.05287706847927049,0.9998778841884882,0.8882546338651086,0.9999852290118095,0.8887894908567744,"[15, 2, 1, 0, 1, 0, 0, 0, 0]","[16, 32, 30, 29, 29, 28, 28, 28, 28]",0.29940338160480023,0.17289650568824783,1.7316913399317553,0.060327125240543185
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,5,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,27,27,0.574468085106383,0.7714285714285715,35,3.0,19.444444444444443,187,20.77777777777778,0.33534882760911877,0.032577117265878815,2.5880876653020564,0.14303801204906647,0.21824982565528805,0.23640986755662186,0.9331798340463954,0.952367013601531,0.5740414776783409,0.45373109062828143,0.27718950860387864,0.1312526807298856,0.9999999999999913,0.8859338808002454,0.9999999999999919,0.8888476883708474,"[16, 11, 0, 0, 0, 0, 0, 0, 0]","[16, 31, 20, 20, 20, 20, 20, 20, 20]",0.06007005348004256,0.06018460465272217,0.9980966698486997,0.18446247075018288
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,6,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,45,45,0.9574468085106383,1.2857142857142858,35,5.0,5.555555555555555,61,6.777777777777778,0.5056868179373258,0.04034669371809671,5.32342859555096,0.30367778541638213,0.05137936094574574,0.3139586188646367,0.9105759933115759,0.997360161268812,0.36216011617267985,0.14127270065698092,0.08250825136380241,0.03279252041826463,0.9999999999999911,0.8861902899368634,0.9999999999999909,0.8888230015071681,"[16, 29, 0, 0, 0, 0, 0, 0, 0]","[16, 31, 2, 2, 2, 2, 2, 2, 2]",0.047110152780332384,0.04263970986214841,1.1048422452365798,0.14933040664247735
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,7,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,19,19,0.40425531914893614,0.8260869565217391,23,2.111111111111111,24.88888888888889,252,28.0,0.34237115460091483,0.027412130014932208,2.1710720128143914,0.07944145558432777,0.1722927576974202,0.19751000697319418,0.9606116349489938,0.9703152056450773,0.2484595129681619,0.14959978854388464,0.23031093785307963,0.10160274992502331,0.9990467257850584,0.8859171231092763,0.999836455714672,0.8884421481183965,"[13, 3, 2, 0, 0, 1, 0, 0, 0]","[16, 34, 31, 29, 29, 29, 28, 28, 28]",0.053881497444712115,0.06199373451535641,0.8691442428164281,0.09889486639073142
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,8,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,36,36,0.7659574468085106,0.9473684210526315,38,4.0,11.444444444444445,124,13.777777777777779,0.3026610569471047,0.04191964959445756,4.281879706674109,0.14180782875475043,0.1731099129882686,0.21862821869808716,0.9518588604080596,0.970032958025254,0.40318660013666013,0.12066736754062049,0.09564523879758612,0.037296717768668525,0.9999999999999946,0.8885238721584877,0.9999999999999943,0.8888727821158117,"[16, 20, 0, 0, 0, 0, 0, 0, 0]","[16, 31, 11, 11, 11, 11, 11, 11, 11]",0.27818690213405695,0.289644734230778,0.9604417731703283,0.10104146175663822
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,9,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,22,22,0.46808510638297873,0.6111111111111112,36,2.4444444444444446,17.333333333333332,238,26.444444444444443,0.2583977172432493,0.03113981566783936,2.427581588013878,0.0878395999305438,0.18571781005992025,0.18045588908673038,0.9686784536865317,0.9655088950266164,0.13078396428612735,0.0945211936480744,0.10430785561514894,0.05727101617108697,0.9998566698102476,0.8886770610966637,0.9999727895069618,0.8888410089941066,"[13, 3, 3, 0, 2, 1, 0, 0, 0]","[16, 34, 31, 28, 28, 26, 25, 25, 25]",0.22223477781336945,0.17247255064791195,1.2885225908616778,0.07425708867043207
