Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=8, n_causal=40, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4, 8, 16]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
high_iso_low_task          1      0.0    0.05061      1.161     15.35314      5.68959
high_iso_low_task          1      1.0    0.05433      1.150     20.34416      7.16352
high_iso_low_task          1      2.0    0.04724      1.161     17.80492      5.73095
high_iso_low_task          1      3.0    0.04776      1.163     13.24967      4.02079
high_iso_low_task          1      4.0    0.04403      1.148     13.88402      3.96899
high_iso_low_task          1      5.0    0.03987      1.112     17.34982      4.52017
high_iso_low_task          1      6.0    0.01904      1.105      5.65374      0.24854
high_iso_low_task          1      7.0    0.01094      1.032      1.96596      0.06908
high_iso_low_task          1      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task         16      0.0    0.62580      1.985    281.74298    228.57229
high_iso_low_task         16      1.0    0.68114      2.049    181.40620    125.64935
high_iso_low_task         16      2.0    0.75842      2.117    263.20292    203.65102
high_iso_low_task         16      3.0    0.74446      2.077    145.73756     86.19772
high_iso_low_task         16      4.0    0.68064      2.012    125.29737     65.60789
high_iso_low_task         16      5.0    0.25911      1.568     52.27660     16.82995
high_iso_low_task         16      6.0    0.04249      1.234     15.54765      6.18442
high_iso_low_task         16      7.0    0.02215      1.056     12.47427      5.13399
high_iso_low_task         16      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          2      0.0    0.07138      1.200     35.09781     20.12041
high_iso_low_task          2      1.0    0.07392      1.205     37.06726     20.61259
high_iso_low_task          2      2.0    0.11302      1.262     38.47049     20.88375
high_iso_low_task          2      3.0    0.11396      1.254     38.89558     18.55790
high_iso_low_task          2      4.0    0.09969      1.235     38.08281     23.75722
high_iso_low_task          2      5.0    0.07417      1.206     25.55865      8.90796
high_iso_low_task          2      6.0    0.02489      1.132      6.84775      4.09718
high_iso_low_task          2      7.0    0.01372      1.037      3.25369      1.48984
high_iso_low_task          2      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          4      0.0    0.19136      1.507     71.32494     42.23718
high_iso_low_task          4      1.0    0.21007      1.534     63.03024     37.86366
high_iso_low_task          4      2.0    0.26252      1.587     72.92185     38.18599
high_iso_low_task          4      3.0    0.29439      1.601     92.67723     57.07635
high_iso_low_task          4      4.0    0.22416      1.511     68.36557     37.77859
high_iso_low_task          4      5.0    0.20066      1.458     53.06200     33.92582
high_iso_low_task          4      6.0    0.03636      1.189     13.17235      5.53586
high_iso_low_task          4      7.0    0.01653      1.031      5.25074      1.47796
high_iso_low_task          4      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          8      0.0    0.39528      1.755    211.19244    160.41782
high_iso_low_task          8      1.0    0.45292      1.832    206.37711    153.28877
high_iso_low_task          8      2.0    0.52283      1.916    128.73626     79.89926
high_iso_low_task          8      3.0    0.57930      1.938    158.02400    105.40371
high_iso_low_task          8      4.0    0.49279      1.839    300.34747    253.62341
high_iso_low_task          8      5.0    0.21340      1.540     48.59717     14.36289
high_iso_low_task          8      6.0    0.03842      1.248      7.71206      4.20863
high_iso_low_task          8      7.0    0.01812      1.047      5.86027      1.39708
high_iso_low_task          8      8.0    0.00000      1.000      0.00000      0.00000
high_task                  1      0.0    0.88292      7.929     59.56575    -58.99033
high_task                  1      1.0    0.87543      7.595     59.61174    -58.88411
high_task                  1      2.0    0.70276      5.685     59.48038    -58.53098
high_task                  1      3.0   18.56278    132.466    239.28812    121.09289
high_task                  1      4.0   37.73321    245.248   1135.50292   1062.03370
high_task                  1      5.0    0.63064      3.453     77.03655     11.37678
high_task                  1      6.0    0.26976      1.281     47.28660    -22.41746
high_task                  1      7.0    0.11200      1.027     19.18108     -7.04856
high_task                  1      8.0    0.00000      1.000      0.00000      0.00000
high_task                 16      0.0    0.85961      8.092     60.00203    -58.43600
high_task                 16      1.0    0.82625      7.557     59.95197    -58.49502
high_task                 16      2.0    0.75391      6.617     59.83779    -58.63453
high_task                 16      3.0    0.60361      4.730     59.66371    -58.82467
high_task                 16      4.0    0.49405      3.711     59.54956    -58.94298
high_task                 16      5.0    0.40937      2.720     59.53749    -58.94748
high_task                 16      6.0    0.34507      2.173     59.57613    -58.88845
high_task                 16      7.0    0.28002      1.441     61.94225    -55.70448
high_task                 16      8.0    0.00000      1.000      0.00000      0.00000
high_task                  2      0.0    0.94004      8.474     59.62661    -58.91187
high_task                  2      1.0    0.91823      8.097     59.69141    -58.81442
high_task                  2      2.0    0.79696      6.681     58.66117    -55.53729
high_task                  2      3.0   12.66780     90.236    167.27134     49.92671
high_task                  2      4.0   16.78623    101.779   4794.81079   4729.02342
high_task                  2      5.0    1.11646      7.025     72.74515      0.55547
high_task                  2      6.0    0.33849      1.586     55.65916    -48.13201
high_task                  2      7.0    0.15830      1.123     21.37434    -14.62866
high_task                  2      8.0    0.00000      1.000      0.00000      0.00000
high_task                  4      0.0    1.09510     10.402     59.69182    -58.79327
high_task                  4      1.0    1.07279     10.160     59.67180    -58.82433
high_task                  4      2.0    0.93341      8.409     59.63154    -58.89639
high_task                  4      3.0    0.67146      5.350     59.47802    -59.05612
high_task                  4      4.0    0.49525      3.600     59.43839    -59.08787
high_task                  4      5.0    0.38929      2.337     59.91389    -58.18878
high_task                  4      6.0    0.36601      1.995     59.70479    -58.70126
high_task                  4      7.0    0.25735      1.177     64.38274    -52.66707
high_task                  4      8.0    0.00000      1.000      0.00000      0.00000
high_task                  8      0.0    0.82882      7.324     59.86385    -58.62586
high_task                  8      1.0    0.82042      7.085     59.82758    -58.67063
high_task                  8      2.0    0.75772      6.249     59.72767    -58.79143
high_task                  8      3.0    0.59194      4.403     59.55885    -58.97030
high_task                  8      4.0    0.50635      3.571     59.48810    -59.03730
high_task                  8      5.0    0.42520      2.691     59.50305    -58.89692
high_task                  8      6.0    0.38612      2.228     59.73413    -58.67881
high_task                  8      7.0    0.29733      1.476     64.27505    -53.05782
high_task                  8      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     1      0.0    0.08503      1.150     21.70101     11.44283
high_variance_low_task     1      1.0    0.09580      1.154     23.22812      8.29076
high_variance_low_task     1      2.0    0.12168      1.152     29.08813     12.34129
high_variance_low_task     1      3.0    0.11367      1.146     29.04652     11.40287
high_variance_low_task     1      4.0    0.09110      1.109     29.64029     14.93567
high_variance_low_task     1      5.0    0.08534      1.066     30.63896      7.03947
high_variance_low_task     1      6.0    0.01831      0.988      5.37462      3.97678
high_variance_low_task     1      7.0    0.01178      0.988      2.66561      1.55272
high_variance_low_task     1      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task    16      0.0    0.69187      2.038    174.81494    109.04403
high_variance_low_task    16      1.0    0.73050      2.097    160.60277     96.48176
high_variance_low_task    16      2.0    0.80675      2.175    189.98545    137.51395
high_variance_low_task    16      3.0    0.78819      2.130    295.34656    243.21106
high_variance_low_task    16      4.0    0.69160      2.023    231.94989    156.68115
high_variance_low_task    16      5.0    0.26418      1.585     64.16347     29.45078
