exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,excess_risk_frac,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,0.0,16.0,9.0,16.0,1.9334677538112317,3.5156761944286066,155.8776907976616,0.8914239597046075,0.9512883830283113,0.3898701614382786,0.3295087863705497,"[140.65651456053254, 43.61674732429502, 36.49312803437042, 32.862769749130734, 28.73698273396387, 26.20431320853769, 23.92616882633867, 18.425107528983666]",0.282701681140267,0.127896057751487,0.07301606780358799,2.0463369240237923,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.282701681140267, 0.09780679761274833, 0.14886363150801335, 0.08579126355815138, 0.12128035623782418, 0.14790510942226195, 0.13951769861151445, 0.12215597949963813, 0.08027833186838242, 0.10265472013029196, 0.14673920901680243, 0.10470425864319707, 0.14348997255282395, 0.07301606780358799, 0.16404503174825194, 0.08538681467003555]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,1.0,23.0,28.0,31.0,2.5880798029118144,5.032665852322923,38.468174304339946,0.9999999999999993,0.9559516306444118,0.2098770338926763,8.124413334789185e-14,"[2.9929183512834325, 1.6760951556925812, 0.6992784924418975, 0.6509179300434472, 0.5851746209387381, 0.511447824020113, 0.470226720243852, 0.43145327831150554]",0.1906959443937747,0.07645344705589265,0.051416025385715554,2.0302758673257957,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 28, 30]","[0.1906959443937747, 0.1034635702290064, 0.08954779437759584, 0.07519099061552588, 0.13982124523430767, 0.04259469175956016, 0.0775348564748012, 0.14484664348603415, 0.0683723296949807, 0.06429379053440527, 0.12960441459418204, 0.05543180744281451, 0.10382581528309809, 0.07007575367376657, 0.06996088378985772, 0.04163809014274322, 0.08069081739930835, 0.10500723879728183, 0.09229352109282596, 0.07680538203066063, 0.051416025385715554, 0.0517000135047215, 0.049084254905670525, 0.0596197778671284, 0.03666807627009815, 0.04996309235886623, 0.03674995322155647, 0.04348771672988138, 0.07136878075264236, 0.039595116018500645, 0.05870847067136017]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,2.0,3.0,8.0,8.0,4.1259669867456035,5.371456639879523,14.935376858935873,0.9999999999999956,0.9999999999999956,1.122631039314127e-13,1.122631039314127e-13,"[0.7853722750154123, 0.5601341739978853, 0.46371570668156914, 0.37740426858464693, 0.2961578404158813, 0.24837172175224043, 0.21678854895167818, 0.19031682304492992]",0.06607216997652866,0.04436927183462233,0.051318218321398136,0.17101172052577365,"[0, 2, 6]","[0.05362133222784685, 0.040736693780743044, 0.06607216997652866, 0.03731518081967646, 0.0285959982486369, 0.03250354581244661, 0.051318218321398136, 0.04479103548970197]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,3.0,1.0,5.0,5.0,3.1996881111730815,3.8668326370762554,10.957134115801292,0.9999999999999917,0.9999999999999917,6.118355499249615e-14,6.118355499249615e-14,"[1.0653761632339798, 0.7312060377056251, 0.5989886734074754, 0.47385996432877914, 0.355345278012267, 1.163158445880912e-13, 7.357317169913454e-14, 6.681518948522309e-14]",0.051975691533270266,0.03578073901199484,0.051975691533270266,0.051975691533270266,[4],"[0.04146416712183669, 0.03376719560310232, 0.02652672981016178, 0.025169910991603185, 0.051975691533270266]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,4.0,0.0,4.0,4.0,2.5121669730015594,3.0692230752486367,8.723297799036608,0.9999999999999869,0.9999999999999869,2.604188942058706e-14,2.604188942058706e-14,"[2.059792412761043, 1.2264478522284863, 1.0248736538542775, 0.7669677053490228, 9.704999014238916e-14, 6.987102844195561e-14, 6.560184515410073e-14, 5.715394207822669e-14]",0.03350153955484273,0.02535587918217869,0.0,0.0,[],"[0.03350153955484273, 0.02775592399186491, 0.02217391354499531, 0.017992139637011812]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,5.0,0.0,4.0,4.0,2.393417759998172,2.9311797047127524,8.160053522459659,0.999999999999985,0.999999999999985,2.5468142048830665e-14,2.5468142048830665e-14,"[2.9100658825123342, 1.8663671809846705, 1.1945169654887402, 1.0248991499827873, 1.1052906725278253e-13, 7.629349399627525e-14, 6.038768738938729e-14, 5.550437348974583e-14]",0.02821119516969124,0.020889420263934443,0.0,0.0,[],"[0.02821119516969124, 0.021456779933877963, 0.019998522935059358, 0.0138911830171092]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,6.0,0.0,4.0,4.0,2.589042290212337,3.0796966615816506,10.275797456283524,0.9999999999999906,0.9999999999999906,1.9994118294822455e-14,1.9994118294822455e-14,"[4.109065887881596, 2.7515220487786, 2.0925688255902344, 1.3846815681492581, 1.2718441169062643e-13, 7.530164992505118e-14, 6.470122871962922e-14, 5.81520685162328e-14]",0.015931790742297166,0.014194061219009242,0.0,0.0,[],"[0.01570384109729515, 0.015931790742297166, 0.013368870848403554, 0.0117717421880411]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,7.0,0.0,4.0,4.0,2.6020235548854056,3.0977711798940017,15.300196415403562,0.9999999999999958,0.9999999999999958,1.6756904802480423e-14,1.6756904802480423e-14,"[7.4876628370307525, 4.854260815621694, 3.9926827589321987, 2.5223723252675465, 1.478749183000863e-13, 9.159743082313381e-14, 7.511790641233214e-14, 6.609757884442801e-14]",0.011080851473795788,0.009229778746299756,0.0,0.0,[],"[0.011080851473795788, 0.009203205600787754, 0.009348805293535274, 0.00728625261708021]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,8.0,0.0,4.0,4.0,2.5982728221410945,3.1071840465732374,19.807723842246297,0.9999999999999974,0.9999999999999974,1.7038307676009463e-14,1.7038307676009463e-14,"[8.222656482282913, 5.28097706214695, 4.29765253571073, 2.892900712836035, 2.0906640275842164e-13, 1.0364905789489433e-13, 9.293265457446544e-14, 7.835467984961487e-14]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,1,40,8,4,causal,seed,linear,nan,nan,0.05,0.95,0.001,8,0.05,0,0.0,3.0,3.0,16.0,2.395721447087583,2.5923059196645504,532.2381146616059,0.9988963679050311,0.9995640947475274,0.03923080764417809,0.03322095867022726,"[381.84855944652867, 358.1327193198028, 172.39951027499967, 7.440860486180036, 6.418008149795489, 5.970326790168151, 5.113996504774722, 4.667222378626045]",0.5177835026720553,0.06492537350371222,0.2007347340237641,0.9681311738709666,"[0, 1, 2]","[0.5177835026720553, 0.2496129371751472, 0.2007347340237641, 0.00805081633554694, 0.004180459790329969, 0.0052054684556074714, 0.004667422501414911, 0.00344614523048981, 0.003768193371428547, 0.004712802545006561, 0.01009428515759582, 0.006257770776888605, 0.002967884368143095, 0.008343426447694792, 0.0048843104604058985, 0.004095816747876457]"
