episode,probe_kind,eps,additivity_defect
0,isotropic,0.001,0.0016106059186337541
0,isotropic,0.01,0.006012909815907245
0,label,0.001,0.001195436112041443
0,label,0.01,0.0022749864270464313
1,isotropic,0.001,0.0005557506740530041
1,isotropic,0.01,0.0050778351590690125
1,label,0.001,0.0002464528744394631
1,label,0.01,0.0020810478969634145
2,isotropic,0.001,0.0017933245191201742
2,isotropic,0.01,0.002797457840547113
2,label,0.001,0.0022387518186764697
2,label,0.01,0.0009563558609978219
3,isotropic,0.001,0.023987859010727638
3,isotropic,0.01,0.24832505347369657
3,label,0.001,0.0036579452231799772
3,label,0.01,0.037983426396999934
