exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,smax,tau_sv,B_nat,dim_R_nat,dim_over_nctx,r_eff_T_task,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_closure,mean_closure,max_refinement,mean_refinement,s_list,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,0,task,4,0.001,180,47,1.0,16,0.2039498792220172,3.619953905921292e-15,0.203949879222017,0.9577939810691992,1.0,0.2969047766791699,0.041236227205984605,0.9999999999999822,0.8827728916890741,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.05985089313319907,0.059705853325577415,1.0024292393382397,0.20338147006688534
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,1,task,4,0.001,180,47,1.0,16,0.09655476786521687,4.8094154105017826e-15,0.09655476786521677,0.9904323842312837,1.0,0.3945142109253503,0.05011721673081103,0.9999999999999841,0.8825809218862375,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.05116367734048537,0.05553016798819656,0.9213672350380908,0.0857589682576925
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,2,task,4,0.001,180,7,0.14893617021276595,16,0.07579227247294475,0.45651646403030594,0.45852546911219094,0.782944096533634,0.7915927180696831,0.39217392491793246,0.14625812304160213,0.9999989303624354,0.8845216197306389,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.14288909102583558,0.157174524133868,0.9091110140987906,0.05043570179515434
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,3,task,4,0.001,180,6,0.1276595744680851,15,0.03362188744227232,0.26795950124300744,0.27102985185941497,0.927103276336513,0.9281977056937423,0.18497185005644579,0.08756276424881203,0.9999994875710049,0.8865667735979104,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.03989326561646846,0.04577963938009143,0.8714193942256604,0.03972022801829438
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,4,task,4,0.001,176,12,0.2553191489361702,16,0.10004883695335447,0.4281574538949869,0.43855947627874,0.8078508445029586,0.8166811946745287,0.3325249346795299,0.10031944338394927,0.9999999999999887,0.8866782249683686,"[4, 4, 4, 4, 4, 4, 4, 2, 4]",0.16794776181352916,0.2099898483995995,0.7997899093385387,0.11045074777067353
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,5,task,4,0.001,180,47,1.0,16,0.16094176013478528,4.038728027509024e-15,0.16094176013478523,0.9746481572305019,1.0,0.43385973340844286,0.05877330330368505,0.9999999999999863,0.8797299421405751,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.11586987444699803,0.08490082328088155,1.36476738351123,0.07819543225865443
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,6,task,4,0.001,180,47,1.0,16,0.14080911876522084,5.956482490475575e-15,0.14080911876522034,0.9778828602501872,1.0,0.25406827706908036,0.034601715910039015,0.9999999999999801,0.8854413221740921,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.0960233577424523,0.09429820241581274,1.018294678821473,0.08827913611568931
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,7,task,4,0.001,180,47,1.0,16,0.22970922033661056,3.747057634173267e-15,0.22970922033660957,0.9255336927605257,1.0,0.4597278130792498,0.06167433513296088,0.9999999999999846,0.8772352990386411,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.04771116767687668,0.05305997918503186,0.8991931095656353,0.3300511676719475
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,8,task,4,0.001,180,14,0.2978723404255319,16,0.10599136817887136,0.34086048979522743,0.36149265898178745,0.8788097033168414,0.8838141264967899,0.27413511522344824,0.1018034058644657,0.9999999999999915,0.884247648255381,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.13631823312061508,0.1603255903246415,0.8502587319004148,0.08003103841203557
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,dx,40,40,128,8,4,9,task,4,0.001,180,5,0.10638297872340426,16,0.07268452391929679,0.22640380736684593,0.21680816139551234,0.9515086633938711,0.9487413160098986,0.22331517660066427,0.11552545140101264,0.9999996022160381,0.8814222543046711,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.3094618834937548,0.20322668713748349,1.5227423516696057,0.1169157787102436
