basis,layer,rank,n,E_F_T_mean,E_F_T_std,F_T_excess_over_krr_risk_mean,F_T_excess_over_krr_risk_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_over_krr_risk_mean,model_excess_over_krr_risk_std,model_signal_error_mean,model_signal_error_std,op_excess_over_krr_risk_mean,op_excess_over_krr_risk_std,op_signal_error_mean,op_signal_error_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_mean,rank_std
combined,0,0,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133337.6324972075,435321.71279959305,91.21243851377517,246.7659642070431,29.81869665929142,70.80547540575377,0.9999999999998828,2.4181335936443964e-13,19.8125,8.431834517667749,32.4375,5.819149422381247,0.0,0.0
combined,0,1,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133329.43659519873,435347.7201542948,91.03047343161376,246.82861598750566,19.72421693299854,46.75884668877587,0.7346433650765023,0.19981625127730063,19.8125,8.431834517667749,32.4375,5.819149422381247,1.0,0.0
combined,0,10,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133291.32376894224,435291.865735366,90.6215090570178,246.97726442967976,1.1977189324645012,1.824443149595083,0.26652186620344553,0.14949974245595934,19.8125,8.431834517667749,32.4375,5.819149422381247,10.0,0.0
combined,0,11,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.74310130475,435291.06508382637,90.60377960186318,246.98378015608478,0.8888821566062362,1.1783805474621185,0.24495846850354744,0.14222573154281268,19.8125,8.431834517667749,32.4375,5.819149422381247,11.0,0.0
combined,0,12,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.7511608727,435291.261133621,90.58734546232456,246.99081523515346,0.6874383447192329,0.8347083893732116,0.22534169271290028,0.1347583586639279,19.8125,8.431834517667749,32.4375,5.819149422381247,12.0,0.0
combined,0,13,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.4561785226,435290.64132262656,90.57052813859352,246.99720844210404,0.5428641855357674,0.617882548666897,0.2073106360954896,0.1273734020812201,19.8125,8.431834517667749,32.4375,5.819149422381247,13.0,0.0
combined,0,14,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.70160515833,435290.9945446043,90.55853712283155,247.0027503049763,0.4217801728265449,0.45062657810133616,0.18994371505739588,0.12080000157186002,19.8125,8.431834517667749,32.4375,5.819149422381247,14.0,0.0
combined,0,15,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.5543028753,435290.47837935213,90.54582769565693,247.00778200291535,0.3381397245920746,0.3495121737994577,0.17398370683161607,0.11324445051923002,19.8125,8.431834517667749,32.4375,5.819149422381247,15.0,0.0
combined,0,16,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.5448202514,435290.40021769475,90.53498934049635,247.01219393428545,0.2709061052932057,0.27220741674304344,0.1592166350763762,0.1066098312176972,19.8125,8.431834517667749,32.4375,5.819149422381247,16.0,0.0
combined,0,17,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133289.87910869817,435289.9805266627,90.52476545253674,247.01465902677077,0.21708824587652054,0.2156821311972151,0.1455429054301967,0.10007132314848327,19.8125,8.431834517667749,32.4375,5.819149422381247,17.0,0.0
combined,0,18,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.05229867884,435290.9102681805,90.51591698914277,247.01821608015487,0.17612189583018625,0.17377770693098973,0.13315876965600026,0.09315181104601289,19.8125,8.431834517667749,32.4375,5.819149422381247,18.0,0.0
combined,0,19,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133289.86222036253,435290.24520847225,90.5077784417373,247.02131403268845,0.14262145447815688,0.14099208842626357,0.1217293759922065,0.08704632375704095,19.8125,8.431834517667749,32.4375,5.819149422381247,19.0,0.0
combined,0,2,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133306.8132267745,435290.9846269979,90.94079124199467,246.85084165192114,14.067668623283733,32.790565233833505,0.6207424370225829,0.22310140618197002,19.8125,8.431834517667749,32.4375,5.819149422381247,2.0,0.0
combined,0,20,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133289.76695655522,435290.3808461199,90.50158510627978,247.02343394359383,0.11426751469851942,0.11239818936837728,0.11048947748134053,0.08057943455303665,19.8125,8.431834517667749,32.4375,5.819149422381247,20.0,0.0
combined,0,21,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133289.79873482534,435290.55410120904,90.49487588902602,247.02610648017222,0.09264124444213279,0.09170397065972999,0.10003978917196876,0.07388794854685138,19.8125,8.431834517667749,32.4375,5.819149422381247,21.0,0.0
combined,0,22,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133289.73954359954,435290.4099965182,90.48810156721393,247.02870370731034,0.0760715026074284,0.07604044191720638,0.09037202048534933,0.06704894975371002,19.8125,8.431834517667749,32.4375,5.819149422381247,22.0,0.0
combined,0,23,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133289.5678769003,435289.8873823213,90.48237581250045,247.0307696043162,0.062024108573018794,0.0626048242437028,0.08134436741086065,0.06077062898441971,19.8125,8.431834517667749,32.4375,5.819149422381247,23.0,0.0
combined,0,24,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.03731035907,435290.5001479687,90.47724231063879,247.03382796034862,0.05068051062790119,0.05142398085033934,0.07314647175312618,0.05528592648427329,19.8125,8.431834517667749,32.4375,5.819149422381247,24.0,0.0
combined,0,25,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.02656659918,435290.52135135874,90.47348070918724,247.0352763832372,0.04119294938390228,0.04178912168587141,0.06537087392742025,0.04976070455643898,19.8125,8.431834517667749,32.4375,5.819149422381247,25.0,0.0
combined,0,26,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.23012740852,435290.68030274,90.4704189536244,247.0369929838327,0.03319897137992506,0.033742393772986504,0.05817665558563617,0.04449307688276795,19.8125,8.431834517667749,32.4375,5.819149422381247,26.0,0.0
combined,0,27,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.23186577848,435290.71274127543,90.46736336640161,247.0381866658756,0.026274364322621507,0.027341933609471174,0.051018399747063924,0.039241477262828686,19.8125,8.431834517667749,32.4375,5.819149422381247,27.0,0.0
combined,0,28,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.29336308592,435290.92683217,90.46472952127446,247.03928424777374,0.020745761061476464,0.022692335676939544,0.04419242479274219,0.034025236697779966,19.8125,8.431834517667749,32.4375,5.819149422381247,28.0,0.0
combined,0,29,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133290.28293347877,435290.7471195398,90.46280569451463,247.04011634910793,0.016518937922391723,0.01951215668096083,0.038195405571272094,0.029702736140964452,19.8125,8.431834517667749,32.4375,5.819149422381247,29.0,0.0
combined,0,3,16,92.43361001106561,253.7464035544818,133290.39135954875,435291.24694206053,45.75,4.494441010848846,0.0,0.0,133301.04565139988,435290.1062577017,90.86144128336218,246.88161211616531,10.221127785982127,24.33219676982552,0.529732845266778,0.24454909711057568,19.8125,8.431834517667749,32.4375,5.819149422381247,3.0,0.0
combined,0,30,15,98.59311747975065,261.4114261371581,142176.376515633,449064.6206472654,46.86666666666667,0.5163977794943222,0.0,0.0,142176.2644821909,449064.09015005035,96.48908017878104,254.49061299141536,0.009934210598943005,0.011874289130616117,0.034059239215839705,0.026258230869521268,19.733333333333334,8.721620644505624,33.13333333333333,5.289702485107492,30.0,0.0
combined,0,31,15,98.59311747975065,261.4114261371581,142176.376515633,449064.6206472654,46.86666666666667,0.5163977794943222,0.0,0.0,142176.29986786615,449064.3112208633,96.48783014912838,254.49110032233384,0.007089673509106839,0.008666324061703902,0.028625436111116336,0.02258918863319441,19.733333333333334,8.721620644505624,33.13333333333333,5.289702485107492,31.0,0.0
combined,0,32,15,98.59311747975065,261.4114261371581,142176.376515633,449064.6206472654,46.86666666666667,0.5163977794943222,0.0,0.0,142176.30919301033,449064.3399023351,96.48646922870272,254.4916683851647,0.004778147695828577,0.0058191356805447954,0.02359728692323111,0.018754037971633785,19.733333333333334,8.721620644505624,33.13333333333333,5.289702485107492,32.0,0.0
