Experiment 2 Layerwise Sufficiency

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=16, n_ctx=47, n_tgt=40, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 19.8   32.4        nan  0.00     1.192       1.191 133286.575
    1   46 19.8   32.4       19.7  0.94     0.053       0.012 133291.299
    2   47 19.8   32.4       19.8  1.00     0.042       0.001 133291.297
    3   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    4   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    5   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    6   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    7   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    8   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   41 19.8   32.4       19.8  1.00     0.042       0.001 133291.295
    1   46 19.8   32.4       19.8  1.00     0.042       0.000 133291.295
    2   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    3   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    4   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    5   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    6   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    7   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    8   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   46 19.8   32.4       19.7  0.94     0.044       0.004 133291.295
    1   47 19.8   32.4       19.8  1.00     0.042       0.000 133291.296
    2   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    3   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    4   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    5   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    6   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    7   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
    8   47 19.8   32.4       19.8  1.00     0.041       0.000 133291.295
