basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,rank_to_alpha_mean,rank_to_alpha_std,reach_alpha_mean,reach_alpha_std
combined,0,1,0.035796491979636046,0.0,2.684556003935343e-16,0.0,1.2749514079205218e-08,0.0,40.0,0.0,46.0,0.0,0.0,0.0,0.0826164870386005,0.0,0.035768981572470764,0.0,0.049466731141280106,0.0,0.00014567981125715836,0.0,0.17306689609024772,0.0,0.009391978369884492,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
combined,1,1,0.03579649204844326,0.0,2.4787234323849802e-29,0.0,3.8741054244856645e-15,0.0,47.0,0.0,47.0,0.0,1.0,0.0,0.08261648703434397,0.0,0.03576898164585422,0.0,0.04946673114127989,0.0,0.00014567981125689032,0.0,0.17306689609024736,0.0,0.009391978369875851,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
combined,2,1,0.035796492048443436,0.0,2.2862502884482996e-29,0.0,3.720654002955524e-15,0.0,47.0,0.0,47.0,0.0,2.0,0.0,0.08261648703434421,0.0,0.03576898164585432,0.0,0.0494667311412799,0.0,0.00014567981125689045,0.0,0.17306689609024736,0.0,0.009391978369875854,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
combined,3,1,0.03579649204844339,0.0,2.604909633500455e-29,0.0,3.971492343063922e-15,0.0,47.0,0.0,47.0,0.0,3.0,0.0,0.08261648703434406,0.0,0.03576898164585423,0.0,0.04946673114127989,0.0,0.00014567981125689032,0.0,0.17306689609024736,0.0,0.009391978369875851,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
combined,4,1,0.03579649204844314,0.0,2.732056985834311e-29,0.0,4.067263183190471e-15,0.0,47.0,0.0,47.0,0.0,4.0,0.0,0.08261648703434389,0.0,0.03576898164585403,0.0,0.04946673114127989,0.0,0.00014567981125689026,0.0,0.17306689609024736,0.0,0.00939197836987585,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
combined,5,1,0.035796492048443214,0.0,2.6178154814793104e-29,0.0,3.981318432059004e-15,0.0,47.0,0.0,47.0,0.0,5.0,0.0,0.08261648703434385,0.0,0.035768981645854174,0.0,0.0494667311412799,0.0,0.00014567981125689043,0.0,0.17306689609024736,0.0,0.009391978369875854,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
combined,6,1,0.03579649204844333,0.0,2.3171748708788377e-29,0.0,3.745732883762387e-15,0.0,47.0,0.0,47.0,0.0,6.0,0.0,0.08261648703434406,0.0,0.03576898164585425,0.0,0.0494667311412799,0.0,0.00014567981125689026,0.0,0.17306689609024736,0.0,0.00939197836987585,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
combined,7,1,0.03579649204844335,0.0,2.4149913828940577e-29,0.0,3.823976294769224e-15,0.0,47.0,0.0,47.0,0.0,7.0,0.0,0.08261648703434399,0.0,0.03576898164585427,0.0,0.04946673114127989,0.0,0.00014567981125689024,0.0,0.17306689609024736,0.0,0.009391978369875847,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
combined,8,1,0.03579649204844323,0.0,2.533055082478339e-29,0.0,3.9163339328487814e-15,0.0,47.0,0.0,47.0,0.0,8.0,0.0,0.0826164870343438,0.0,0.03576898164585407,0.0,0.0494667311412799,0.0,0.00014567981125689026,0.0,0.17306689609024736,0.0,0.00939197836987585,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
raw,0,1,0.03579649318030816,0.0,7.826048752766949e-16,0.0,2.1768508470051574e-08,0.0,40.0,0.0,42.0,0.0,0.0,0.0,0.08261648790355049,0.0,0.0357689827412244,0.0,0.04946673114128047,0.0,0.00014567981125767192,0.0,0.1730668960902484,0.0,0.009391978369901046,0.0,22.0,0.0,37.0,0.0,22.0,0.0,37.0,0.0,22.0,0.0,1.0,0.0
