basis,layer,rank,n,E_F_T_mean,E_F_T_std,F_T_excess_over_krr_risk_mean,F_T_excess_over_krr_risk_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_over_krr_risk_mean,model_excess_over_krr_risk_std,model_signal_error_mean,model_signal_error_std,op_excess_over_krr_risk_mean,op_excess_over_krr_risk_std,op_signal_error_mean,op_signal_error_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_mean,rank_std
combined,0,0,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,1.3839238235890243,0.0,0.9154054451452681,0.0,1.651525191969797,0.0,0.9999999999999037,0.0,22.0,0.0,37.0,0.0,0.0,0.0
combined,0,1,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.848208223221705,0.0,0.7166525292129096,0.0,0.8537505538287886,0.0,0.7189900790908972,0.0,22.0,0.0,37.0,0.0,1.0,0.0
combined,0,10,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.3813608883302152,0.0,0.48053549649568505,0.0,0.29524315322554945,0.0,0.4228120111406961,0.0,22.0,0.0,37.0,0.0,10.0,0.0
combined,0,11,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.34322911295887604,0.0,0.45587886423706425,0.0,0.2632952581588157,0.0,0.39928125094664985,0.0,22.0,0.0,37.0,0.0,11.0,0.0
combined,0,12,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.3109655979625219,0.0,0.43392390035284306,0.0,0.23171750831589732,0.0,0.3745733055338705,0.0,22.0,0.0,37.0,0.0,12.0,0.0
combined,0,13,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.22908482567022315,0.0,0.3724393500845951,0.0,0.20357249626767326,0.0,0.35108877926291804,0.0,22.0,0.0,37.0,0.0,13.0,0.0
combined,0,14,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.21301386135369985,0.0,0.35913797632341676,0.0,0.17652773334617824,0.0,0.3269368478362887,0.0,22.0,0.0,37.0,0.0,14.0,0.0
combined,0,15,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.18091773599169358,0.0,0.3309771186234452,0.0,0.15217874399871092,0.0,0.3035529070250253,0.0,22.0,0.0,37.0,0.0,15.0,0.0
combined,0,16,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.16339358166922896,0.0,0.3145392848808417,0.0,0.13113424530540269,0.0,0.28178343517403764,0.0,22.0,0.0,37.0,0.0,16.0,0.0
combined,0,17,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.158300613097323,0.0,0.3095983925166497,0.0,0.11482547706169105,0.0,0.26367959798089136,0.0,22.0,0.0,37.0,0.0,17.0,0.0
combined,0,18,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.1416131693559731,0.0,0.29282572008770247,0.0,0.09858972705643115,0.0,0.24432799482209167,0.0,22.0,0.0,37.0,0.0,18.0,0.0
combined,0,19,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.13028613568772146,0.0,0.2808707410831501,0.0,0.08480950350648753,0.0,0.22661030693588338,0.0,22.0,0.0,37.0,0.0,19.0,0.0
combined,0,2,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.8064966489627672,0.0,0.6988093099145756,0.0,0.756158173074267,0.0,0.6766494357248373,0.0,22.0,0.0,37.0,0.0,2.0,0.0
combined,0,20,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.1105134267990202,0.0,0.2586812325056676,0.0,0.07159398461335242,0.0,0.20820716257295213,0.0,22.0,0.0,37.0,0.0,20.0,0.0
combined,0,21,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.09171391745151711,0.0,0.23565411116423843,0.0,0.06020719294618693,0.0,0.19093326026628724,0.0,22.0,0.0,37.0,0.0,21.0,0.0
combined,0,22,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.0826164870386005,0.0,0.2236612567062587,0.0,0.049466731141280106,0.0,0.17306689609024772,0.0,22.0,0.0,37.0,0.0,22.0,0.0
combined,0,23,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.07480746104732663,0.0,0.21282853530206508,0.0,0.040442425815916186,0.0,0.15648618300633424,0.0,22.0,0.0,37.0,0.0,23.0,0.0
combined,0,24,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.07294205219669737,0.0,0.21015822298860495,0.0,0.03263656476994803,0.0,0.14057549408250838,0.0,22.0,0.0,37.0,0.0,24.0,0.0
combined,0,25,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.06713991993530725,0.0,0.20162659137324612,0.0,0.025906584706057757,0.0,0.12524560076335714,0.0,22.0,0.0,37.0,0.0,25.0,0.0
combined,0,26,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.06187157395159993,0.0,0.1935543698359731,0.0,0.02081630751447959,0.0,0.1122688427808149,0.0,22.0,0.0,37.0,0.0,26.0,0.0
combined,0,27,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.05715654762166811,0.0,0.1860331727624657,0.0,0.015959584980621725,0.0,0.09830332224782537,0.0,22.0,0.0,37.0,0.0,27.0,0.0
combined,0,28,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.05328983233564366,0.0,0.17963029187523954,0.0,0.011599742765386957,0.0,0.08380724762018009,0.0,22.0,0.0,37.0,0.0,28.0,0.0
combined,0,29,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.043384464351719824,0.0,0.16207816777954026,0.0,0.008232403278525657,0.0,0.07060260366024977,0.0,22.0,0.0,37.0,0.0,29.0,0.0
combined,0,3,1,0.1584781099285058,0.0,0.035796492048443235,0.0,46.0,0.0,0.0,0.0,0.7070734881408487,0.0,0.6543192169495083,0.0,0.6645735748215817,0.0,0.6343499835660026,0.0,22.0,0.0,37.0,0.0,3.0,0.0
