Experiment 2 Layerwise Sufficiency

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=1, n_ctx=47, n_tgt=40, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    4 22.0   37.0        nan  0.00     0.841       0.841    0.756
    1   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    2   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    3   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    4   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    5   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    6   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    7   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    8   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   42 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    1   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    2   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    3   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    4   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    5   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    6   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    7   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    8   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   46 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    1   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    2   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    3   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    4   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    5   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    6   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    7   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
    8   47 22.0   37.0       22.0  1.00     0.049       0.000    0.083
