Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=8, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
high_iso_low_task          1      0.0    0.35110      3.337      0.16075      0.07335
high_iso_low_task          1      1.0    0.35622      3.477      0.16123      0.07638
high_iso_low_task          1      2.0    0.33834      3.283      0.20211      0.11993
high_iso_low_task          1      3.0    0.28699      2.914      0.14244      0.06529
high_iso_low_task          1      4.0    0.22807      2.371      0.11314      0.04801
high_iso_low_task          1      5.0    0.14971      1.636      0.08938      0.03310
high_iso_low_task          1      6.0    0.08625      1.228      0.06260      0.02281
high_iso_low_task          1      7.0    0.06279      1.192      0.04519      0.02137
high_iso_low_task          1      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          2      0.0    0.49862      4.618      0.20594      0.10289
high_iso_low_task          2      1.0    0.49279      4.627      0.20562      0.10570
high_iso_low_task          2      2.0    0.49185      4.486      0.22905      0.13689
high_iso_low_task          2      3.0    0.42366      3.874      0.16477      0.07492
high_iso_low_task          2      4.0    0.33371      3.117      0.13996      0.05817
high_iso_low_task          2      5.0    0.24851      2.138      0.12503      0.04640
high_iso_low_task          2      6.0    0.14640      1.363      0.09307      0.02750
high_iso_low_task          2      7.0    0.09464      1.205      0.06808      0.01905
high_iso_low_task          2      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          4      0.0    0.53768      5.205      0.29279      0.15595
high_iso_low_task          4      1.0    0.53360      5.130      0.29348      0.16008
high_iso_low_task          4      2.0    0.54675      5.099      0.28864      0.17037
high_iso_low_task          4      3.0    0.45330      4.245      0.21406      0.10649
high_iso_low_task          4      4.0    0.35871      3.470      0.18620      0.07751
high_iso_low_task          4      5.0    0.26843      2.465      0.19457      0.10007
high_iso_low_task          4      6.0    0.14708      1.447      0.10433      0.03486
high_iso_low_task          4      7.0    0.11982      1.258      0.08191      0.02634
high_iso_low_task          4      8.0    0.00000      1.000      0.00000      0.00000
high_task                  1      0.0    0.59944      5.213      0.23446      0.13012
high_task                  1      1.0    0.58135      5.208      0.27311      0.17110
high_task                  1      2.0    0.48537      4.508      0.27551      0.18058
high_task                  1      3.0    0.33703      2.877      0.21287      0.11871
high_task                  1      4.0    0.25851      2.391      0.12336      0.05344
high_task                  1      5.0    0.14755      1.599      0.10153      0.04613
