Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=1, n_causal=32, eps=0.001
layer_rule=final, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
high_iso_low_task          1      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          2      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          4      8.0    0.00000      1.000      0.00000      0.00000
high_task                  1      8.0    0.00000      1.000      0.00000      0.00000
high_task                  2      8.0    0.00000      1.000      0.00000      0.00000
high_task                  4      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     1      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     2      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     4      8.0    0.00000      1.000      0.00000      0.00000
low_task                   1      8.0    0.00000      1.000      0.00000      0.00000
low_task                   2      8.0    0.00000      1.000      0.00000      0.00000
low_task                   4      8.0    0.00000      1.000      0.00000      0.00000
random_A                   1      8.0    0.00000      1.000      0.00000      0.00000
random_A                   2      8.0    0.00000      1.000      0.00000      0.00000
random_A                   4      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   1      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   2      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   4      8.0    0.00000      1.000      0.00000      0.00000
