Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=1, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
high_iso_low_task          1      0.0    0.70603      3.454      0.23170      0.02705
high_iso_low_task          1      1.0    0.72822      3.676      0.23313      0.04392
high_iso_low_task          1      2.0    0.84238      4.564      0.28551      0.11208
high_iso_low_task          1      3.0    0.70969      3.311      0.22001      0.02834
high_iso_low_task          1      4.0    0.63865      3.035      0.31051      0.13798
high_iso_low_task          1      5.0    0.50840      2.220      0.30057      0.12287
high_iso_low_task          1      6.0    0.26348      1.157      0.30017      0.17845
high_iso_low_task          1      7.0    0.30092      2.005      0.25696      0.16561
high_iso_low_task          1      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          2      0.0    0.70675      3.471      0.25852      0.05563
high_iso_low_task          2      1.0    0.73302      3.714      0.25654      0.06793
high_iso_low_task          2      2.0    0.85091      4.618      0.30007      0.12391
high_iso_low_task          2      3.0    0.70085      3.271      0.23294      0.04168
high_iso_low_task          2      4.0    0.64502      3.073      0.31689      0.14398
high_iso_low_task          2      5.0    0.51499      2.239      0.29322      0.11565
high_iso_low_task          2      6.0    0.26423      1.159      0.29989      0.17906
high_iso_low_task          2      7.0    0.30410      2.020      0.25820      0.16739
high_iso_low_task          2      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          4      0.0    0.74378      3.608      0.30847      0.11141
high_iso_low_task          4      1.0    0.75269      3.764      0.30520      0.12080
high_iso_low_task          4      2.0    0.84226      4.523      0.33103      0.15587
high_iso_low_task          4      3.0    0.71494      3.320      0.26512      0.07752
high_iso_low_task          4      4.0    0.64698      3.080      0.32936      0.15778
high_iso_low_task          4      5.0    0.50482      2.206      0.29829      0.11977
high_iso_low_task          4      6.0    0.27096      1.218      0.27599      0.15914
high_iso_low_task          4      7.0    0.30604      2.045      0.26026      0.17169
high_iso_low_task          4      8.0    0.00000      1.000      0.00000      0.00000
high_task                  1      0.0    0.85542      4.492      0.30332      0.12544
high_task                  1      1.0    0.80610      4.093      0.40439      0.23709
high_task                  1      2.0    0.85195      4.633      0.37232      0.22246
high_task                  1      3.0    0.70187      3.365      0.58353      0.41495
high_task                  1      4.0    0.65332      3.575      0.45712      0.27442
high_task                  1      5.0    0.45742      2.889      0.42752      0.28956
high_task                  1      6.0    0.46979      3.193      0.28657      0.11938
high_task                  1      7.0    0.19918      1.749      0.21035      0.05759
high_task                  1      8.0    0.00000      1.000      0.00000      0.00000
high_task                  2      0.0    0.88305      4.660      0.36833      0.18993
high_task                  2      1.0    0.81906      4.183      0.44263      0.27397
high_task                  2      2.0    0.86601      4.715      0.42036      0.26666
