episode,probe_kind,basis,rank,TQ_E_model_to_operator,actLR_E_model_to_operator,actLR_model_fit_gain,TQ_E_operator_to_T,actLR_E_operator_to_T,actLR_KRR_cost,TQ_X_use,actLR_X_use,TQ_X_sub,actLR_X_sub
0,isotropic,raw,9,0.303810599278909,0.20476508155966894,0.09904551771924008,0.03246295966787664,0.2880255431673112,0.25556258349943456,0.9195149008644921,0.963438716116374,0.9989461562496039,0.9170412864833378
0,isotropic,response,9,0.3463138847056452,0.2496861350321712,0.09662774967347401,0.11554868762027846,0.24557302542449086,0.1300243378042124,0.8954198046853115,0.94563761596426,0.9866485007892575,0.9396938891839806
0,label,raw,9,0.016577545602426615,0.009521898822871617,0.007055646779554997,0.001419717251093152,0.01648713599450407,0.015067418743410917,0.9997250863315087,0.9999093008962515,0.999997984402927,0.9997281743466992
0,label,response,9,0.017204927609538224,0.01827413757570552,-0.001069209966167297,0.004595623580411959,0.022488532297159004,0.017892908716747046,0.9997038842074687,0.9996659360200175,0.9999788802439072,0.9994942659151207
1,isotropic,raw,7,0.39192747038686304,0.22608614280914427,0.16584132757771877,0.06079322751627232,0.33476860204268183,0.2739753745264095,0.8623190189225723,0.9541847108154504,0.9963041834881614,0.8879299830865917
1,isotropic,response,9,0.4022876452805418,0.3038264827405919,0.09846116253994991,0.09988114409128845,0.39741567848088144,0.297534534389593,0.854943921213937,0.9172603279550755,0.9900237570550333,0.842060778497867
1,label,raw,7,0.018114344347818192,0.008597432964389374,0.009516911383428818,0.001522129725414829,0.01688995357509729,0.015367823849682459,0.9996778898100882,0.9999274400755601,0.999997683121099,0.9997147294682316
1,label,response,9,0.01843243930924715,0.011490891027014439,0.006941548282232712,0.003614618544640998,0.022508245964692957,0.018893627420051958,0.9996664777203589,0.999870381605609,0.9999869345327768,0.9994933788635939
2,isotropic,raw,9,0.24661329443363483,0.2546204119784152,-0.00800711754478034,0.052268958213148434,0.257478279744081,0.20520932153093258,0.9460083179628214,0.9424453627753056,0.9972679560073174,0.9337049354601574
2,isotropic,response,9,0.28522074393778024,0.22844763578815913,0.05677310814962111,0.18615827410886143,0.2458110268300067,0.05965275272114526,0.9277802294208511,0.9536694747730823,0.9653450969808772,0.939576939088895
2,label,raw,9,0.006178459060320504,0.006676872225003713,-0.0004984131646832094,0.0007909051243808954,0.008118322315739012,0.007327417191358117,0.9999617641568147,0.9999553464022675,0.9999993744690843,0.9999340928427779
2,label,response,9,0.006523329511790517,0.00805176051094554,-0.0015284309991550225,0.0033071313619769684,0.010492838415881769,0.0071857070539048,0.999957376514763,0.9999350630296029,0.9999890628821546,0.9998899003419784
3,isotropic,raw,9,0.22370041520749695,0.11747585633263583,0.10622455887486112,0.06462719269098935,0.1947003914208933,0.13007319872990394,0.9548313318603963,0.987543359135728,0.9958233259648895,0.9620917575806214
3,isotropic,response,9,0.24341399349140974,0.18536579222409996,0.05804820126730978,0.1098012666068587,0.2827474950151553,0.1729462284082966,0.9465195826609282,0.9689856354156785,0.9879436818515519,0.9200538540628034
3,label,raw,9,0.006902057493226117,0.004238729133058313,0.002663328360167804,0.0021861940651593313,0.006564643078867807,0.004378449013708475,0.9999524101653968,0.9999820514908889,0.9999952205555095,0.9999569054612472
3,label,response,9,0.007382473532954611,0.008947232405944588,-0.0015647588729899775,0.0031655630945483155,0.01030793841129783,0.007142375316749515,0.9999455546432879,0.9999200286390324,0.9999899792102944,0.999893746405709
