episode,probe_kind,eps,additivity_defect
0,isotropic,0.001,0.0029861745300399875
0,isotropic,0.01,0.0034044621465489293
0,label,0.001,0.00035817182724817096
0,label,0.01,0.00023049838315702573
1,isotropic,0.001,0.0076744996187595674
1,isotropic,0.01,0.008719156773553347
1,label,0.001,0.0005520725931434896
1,label,0.01,0.0002009188343755534
2,isotropic,0.001,0.0027451559038000097
2,isotropic,0.01,0.0023526347613351483
2,label,0.001,7.36764036404915e-05
2,label,0.01,0.0002701569943084111
3,isotropic,0.001,0.0058219969789894185
3,isotropic,0.01,0.004806905091639018
3,label,0.001,0.00022661880068560223
3,label,0.01,0.00024278831433568367
