exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,smax,tau_sv,B_nat,dim_R_nat,dim_over_nctx,r_eff_T_task,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_closure,mean_closure,max_refinement,mean_refinement,s_list,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2a,L2,model_L2.pt,depth,2,5,128,2,4,0,task,2,0.001,12,9,0.19148936170212766,5,0.9287618266542744,1.844315715934115e-06,0.9287616791444127,0.5786311637630409,0.9999999999965985,0.3005791960655596,0.10898966318606697,0.999442498355815,0.6642940510551335,"[2, 2, 2]",0.6142766147049976,0.007042147687357055,87.2285901938444,0.08458956740384559
2a,L2,model_L2.pt,depth,2,5,128,2,4,1,task,2,0.001,12,10,0.2127659574468085,5,0.1492059932060537,1.1171087379453145e-06,0.1492059728885361,0.9783093268756026,0.9999999999987521,0.32555555176805234,0.11471748420606402,0.999904828474891,0.6630187615040257,"[2, 2, 2]",0.2046823857043929,0.007665781971381429,26.70078362110104,0.08335923472504922
2a,L2,model_L2.pt,depth,2,5,128,2,4,2,task,2,0.001,12,11,0.23404255319148937,5,0.1627398517016904,1.673849845268677e-13,0.1627398517016743,0.9755791980190344,1.0,0.3927318632739341,0.1395551496370592,0.9997433304479416,0.6560588131933072,"[2, 2, 2]",0.210621739626383,0.026270064947083758,8.017556867508397,0.0888941813532216
2a,L2,model_L2.pt,depth,2,5,128,2,4,3,task,2,0.001,12,11,0.23404255319148937,5,0.1296376780089658,1.1724614773350137e-13,0.1296376780089726,0.9834198005713172,1.0,0.36014740147118607,0.12859806226601297,0.9998091409026926,0.6472543279374539,"[2, 2, 2]",0.3296183871126912,0.006403176324289366,51.47732475558101,0.1197752972679784
2a,L2,model_L2.pt,depth,2,5,128,2,4,4,task,2,0.001,12,9,0.19148936170212766,5,0.17189449381725128,5.34405423472925e-07,0.17189454378472455,0.9700939260362742,0.9999999999997145,0.27478241319664176,0.09681384463561254,0.9999075434245995,0.6593748694507479,"[2, 2, 2]",0.724259459992521,0.012371277358682504,58.543628034029624,0.112453516322195
2a,L2,model_L2.pt,depth,2,5,128,2,4,5,task,2,0.001,12,11,0.23404255319148937,5,0.2051642698705168,4.5957500184222097e-14,0.20516426987052136,0.9579710363643588,1.0,0.34218847720055207,0.125942550279563,0.9995616772341637,0.6600836356570549,"[2, 2, 2]",0.20312466428485856,0.004980597350851428,40.78319325494855,0.1577569781170683
2a,L2,model_L2.pt,depth,2,5,128,2,4,6,task,2,0.001,12,11,0.23404255319148937,5,0.1158935978148804,2.9897411008027703e-13,0.11589359781488316,0.9857119374677236,1.0,0.5258513273939656,0.18357631511592465,0.999743107640734,0.6527511739179118,"[2, 2, 2]",0.1217040393467083,0.005578462320992307,21.81677178112756,0.07641649093354491
2a,L2,model_L2.pt,depth,2,5,128,2,4,7,task,2,0.001,12,10,0.2127659574468085,5,0.18120381551540285,1.2042946001946894e-06,0.1812038882561714,0.9668353260633418,0.9999999999985497,0.4969687832279487,0.1760948438575998,0.9994947700257597,0.6586036905993997,"[2, 2, 2]",0.37760528514906877,0.014356137230516814,26.302707969828678,0.10748706287419876
2a,L2,model_L2.pt,depth,2,5,128,2,4,8,task,2,0.001,12,11,0.23404255319148937,5,0.09053017832385701,2.1894324350562496e-13,0.09053017832392114,0.9918907613796374,1.0,0.5241653819252583,0.18290325721077702,0.9998237806693866,0.6397990901578662,"[2, 2, 2]",0.14576450587098214,0.0067170298429364075,21.70073816543592,0.038084563852684196
2a,L2,model_L2.pt,depth,2,5,128,2,4,9,task,2,0.001,12,11,0.23404255319148937,5,0.13307601622678739,1.25998145757426e-13,0.13307601622678428,0.982155523591877,1.0,0.47190316499764384,0.16792830538855408,0.9996243808488872,0.6534444701999713,"[2, 2, 2]",0.15976478319432985,0.06896607014443677,2.316570784151277,0.053561186122409926
