exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,smax,tau_sv,B_nat,dim_R_nat,dim_over_nctx,r_eff_T_task,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_closure,mean_closure,max_refinement,mean_refinement,s_list,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,0,task,2,0.001,90,3,0.06382978723404255,3,0.005331594045771133,1.537864186232095e-13,0.00533159404578159,0.999971623716922,1.0,0.3039784179884093,0.04248071407524489,0.9999965103875154,0.8888339710542554,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.014883896987565107,0.016502830034625885,0.9018996715312484,0.004753603324729377
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,1,task,2,0.001,90,3,0.06382978723404255,3,0.006487224176572549,4.164609556300071e-14,0.0064872241765617945,0.9999578047448794,1.0,0.32216622797629496,0.05131749450877157,0.9999881291758553,0.8887075356848391,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0019225906824496342,0.002436283230954717,0.7891490849757317,0.007305614453903944
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,2,task,2,0.001,90,3,0.06382978723404255,3,0.005512837666915615,1.2109642147030748e-13,0.005512837666932267,0.9999695962618002,1.0,0.1786808666369979,0.03577153384112373,0.9999905173988122,0.888705713581394,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.019060193588219754,0.01724355022435968,1.105352049909869,0.00540868817650079
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,3,task,2,0.001,90,3,0.06382978723404255,3,0.007417780493534861,1.61484285074684e-13,0.007417780493550717,0.9999451947080229,1.0,0.18734924346902368,0.04560331725949321,0.9999799977768931,0.888424656257096,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.005264496078689729,0.006807002074329599,0.7733942227729104,0.009597735591605178
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,4,task,2,0.001,90,3,0.06382978723404255,3,0.00432476963896004,1.3183896937396056e-13,0.004324769638982261,0.999981358603543,1.0,0.22255738556278087,0.0351040625943442,0.9999951299600712,0.8888101932071877,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0033770401766884395,0.003655114322640567,0.9239219019143461,0.006060432790050872
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,5,task,2,0.001,90,3,0.06382978723404255,3,0.006090937309683801,1.800693985766567e-13,0.006090937309690269,0.9999629897755513,1.0,0.37914453894306055,0.051582224619355015,0.9999964829291506,0.8888296720591167,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.006723980494958259,0.0020234023553281975,3.3231059938484773,0.014235994950803632
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,6,task,2,0.001,90,3,0.06382978723404255,3,0.005271104700040418,3.2222500337197665e-14,0.005271104700045342,0.9999721502125628,1.0,0.4906822294372877,0.08489142958644541,0.9999618092212695,0.8881828972335813,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0014003430656863852,0.0013895693865100698,1.00775325023774,0.004322128879963214
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,7,task,2,0.001,90,3,0.06382978723404255,3,0.00783227823287079,2.4824214413337053e-13,0.007832278232918906,0.9999390557998922,1.0,0.338824040901174,0.048149011656337004,0.9999977297444176,0.8888093324211015,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.002517185860874349,0.0010883962545831368,2.3127476323762695,0.005427225710754353
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,8,task,2,0.001,90,3,0.06382978723404255,3,0.006342044629439176,1.3681985566085488e-13,0.0063420446294508845,0.9999598297312955,1.0,0.3883748444890467,0.05752368070488648,0.9999923289753921,0.8887406340868,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.001821651740949553,0.003820838750881375,0.4767675004681478,0.010744769095924424
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,9,task,2,0.001,90,3,0.06382978723404255,3,0.005476256142645212,1.3310253535425624e-13,0.005476256142643506,0.9999699891121848,1.0,0.2861416902849835,0.046124694550439146,0.9999950884648869,0.8887336488630433,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0026504279235377995,0.0013553418061215843,1.9555420717982606,0.010250972465965255
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,10,task,2,0.001,90,3,0.06382978723404255,3,0.004846806769725531,2.3803485515688094e-13,0.004846806769643684,0.9999765869808618,1.0,0.34406392751304904,0.048977616490215196,0.9999963749778714,0.8888076187319865,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0033948641666486454,0.003073316239086905,1.104625721060607,0.00272518330646856
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,11,task,2,0.001,90,3,0.06382978723404255,3,0.0071679287723521,1.483815864806979e-13,0.00716792877234955,0.9999484754920738,1.0,0.32265430058699573,0.049943017378410386,0.9999932473798576,0.8887512377059119,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0069251158008376635,0.005284748622272944,1.310396443768636,0.006191932520637059
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,12,task,2,0.001,90,3,0.06382978723404255,3,0.005534011259819513,1.7959844306128734e-13,0.00553401125980823,0.999969413526886,1.0,0.27838146785820783,0.04440594058083369,0.999994245679002,0.8887599755271705,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0004154675987574361,0.00030166505128106913,1.3772480338477597,0.002925881378119101
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,13,task,2,0.001,90,3,0.06382978723404255,3,0.005299645237820846,1.1097924521136979e-13,0.005299645237846951,0.9999718895745087,1.0,0.3412424303452504,0.055461828399652316,0.9999787891170593,0.8886614829242929,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.009908936224472878,0.010441738414229532,0.9489738041099962,0.005234799701762464
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,14,task,2,0.001,90,3,0.06382978723404255,3,0.007257267009073481,8.60045344104359e-14,0.0072572670091150815,0.9999469308539615,1.0,0.3766385385907716,0.05904036682606021,0.9999882423196941,0.8886733918050688,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0023564159452010864,0.002606124246046418,0.9041840383381,0.011960533404209585
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,15,task,2,0.001,90,3,0.06382978723404255,3,0.007939750463454973,1.7940811108185338e-13,0.00793975046347213,0.9999368500151167,1.0,0.31414446922047123,0.04496662993768207,0.9999949780747756,0.8888145255668084,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.011932968906874564,0.014324696013806799,0.8330347042180177,0.006856110833085857
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,0,task,2,0.001,90,5,0.10638297872340426,5,0.009586071690187875,1.909466274989112e-13,0.009586071690216014,0.9999084632262161,1.0,0.5038627718789143,0.07124983114276555,0.999992450407176,0.8845673590196925,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.004653507771496326,0.005031901695331644,0.924801010284765,0.0051114451714602185
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,1,task,2,0.001,90,5,0.10638297872340426,5,0.008014264348040985,7.624961289643045e-13,0.008014264348148784,0.999936045262007,1.0,0.4072892345322361,0.054139786933186954,0.9999939417962072,0.8859295881673763,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.010273381503356441,0.012119347807440997,0.8476843528699477,0.008528509684303224
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,2,task,2,0.001,90,5,0.10638297872340426,5,0.00841588306444736,1.027964618665431e-12,0.0084158830644432,0.9999292706237627,1.0,0.4076752287288967,0.0639871135133286,0.9999843439026965,0.8824697431502696,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.00816274285120368,0.007543191924885994,1.082133787988836,0.012047449109603689
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,3,task,2,0.001,90,5,0.10638297872340426,5,0.013151566300407569,1.097320514071975e-12,0.013151566300386663,0.9998281906225486,1.0,0.4964623155047851,0.07310715273727945,0.9999881925128405,0.8840940132494569,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.012822581812834646,0.011818325165271353,1.0849745317986632,0.011066782307633747
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,4,task,2,0.001,90,5,0.10638297872340426,5,0.006125243384746876,3.5104265868850427e-13,0.006125243384726711,0.99996233918905,1.0,0.370223021601509,0.05180621561129127,0.9999927349087729,0.8853501158237963,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.007356247907473801,0.005760695576613961,1.2769721658851618,0.0043893273584958105
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,5,task,2,0.001,90,5,0.10638297872340426,5,0.011427032755306238,1.776245253580703e-13,0.011427032755310035,0.9998697133120259,1.0,0.45427753848828906,0.06870982124299825,0.9999875260219055,0.8855476093285956,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.02997606149234522,0.037004341465196586,0.810068773161073,0.006004451264275312
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,6,task,2,0.001,90,5,0.10638297872340426,5,0.00696731592484375,4.772710137348396e-13,0.006967315924879731,0.9999513244361011,1.0,0.5254864863280115,0.07476533239497864,0.9999902402556167,0.8862377948281056,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.005055318447938177,0.006783902050763913,0.7451933135397959,0.01259750568429132
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,7,task,2,0.001,90,5,0.10638297872340426,5,0.006240619825897161,7.876559166621715e-13,0.006240619825962159,0.9999610175857879,1.0,0.31916143275367476,0.04492593788278958,0.9999927278815186,0.8870708160173923,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.002192461216771635,0.0021278959794675005,1.0303422901904686,0.003512586390660824
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,8,task,2,0.001,90,5,0.10638297872340426,5,0.005891567936270092,7.477975260893414e-14,0.005891567936287966,0.9999653445118708,1.0,0.5544848366179201,0.07804475712812972,0.9999945157500855,0.884943828725521,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.011047030594064706,0.009327865551128054,1.1843042262469947,0.008353401824348032
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,9,task,2,0.001,90,5,0.10638297872340426,5,0.0076826813002796885,6.725993295662647e-13,0.007682681300278315,0.9999413203287211,1.0,0.4037867273145533,0.056052178554927515,0.999993313756417,0.8862308473619471,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.014230933870973406,0.013051790335409055,1.0903434322236525,0.007302599572354694
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,10,task,2,0.001,90,5,0.10638297872340426,5,0.010739240878850578,3.951505073295734e-12,0.01073924087918661,0.9998862483921231,1.0,0.4809222158475684,0.06449024603846858,0.999993814004776,0.8865732340964557,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.027943505360177534,0.023676452267763395,1.1802234998789887,0.006355059183867451
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,11,task,2,0.001,90,5,0.10638297872340426,5,0.01134026576346988,1.4705791720258841e-12,0.011340265763292208,0.9998721443707508,1.0,0.3371576314684794,0.04964629281312356,0.9999913886978101,0.8883150775164211,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.013618012466100525,0.012273548806865228,1.1095415580604746,0.014803420459390515
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,12,task,2,0.001,90,5,0.10638297872340426,5,0.008325691340098558,3.856302953251846e-12,0.008325691339644186,0.9999306319777123,1.0,0.3402121182268009,0.047740365140898716,0.99999477729101,0.8855571599462011,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.007994730694337981,0.009651053302707496,0.8283790839798956,0.008992847687604067
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,13,task,2,0.001,90,5,0.10638297872340426,5,0.006464682123993419,8.090859783848022e-13,0.006464682123973144,0.9999582517974606,1.0,0.395535304406511,0.05900534829811234,0.9999936359381663,0.8836329868869499,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.01624557002431827,0.011329053858578256,1.4339741188552364,0.007044098588684381
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,14,task,2,0.001,90,5,0.10638297872340426,5,0.013295033664850419,9.13055035540321e-13,0.013295033664769314,0.9998240424191227,1.0,0.4319962431179337,0.0587861084946273,0.9999977296911392,0.8871678674208039,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.04578653019854551,0.03340078664710387,1.3708219115406848,0.04398888606762387
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,15,task,2,0.001,90,5,0.10638297872340426,5,0.010541741312916351,1.8357422707651405e-13,0.0105417413129002,0.9998890940899088,1.0,0.4746763627939313,0.07222530763233519,0.999987065882474,0.8841010115522759,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.023818761796115234,0.023040914165750118,1.033759408362424,0.010489190900384865
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,0,task,2,0.001,90,7,0.14893617021276595,8,0.012535510864099481,0.27784877127435603,0.277652146473881,0.9224022424903376,0.922800060301485,0.487168069592958,0.12053993332220735,0.999987657453105,0.8774953425639072,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.004016207258012383,0.0028942566470406736,1.3876472434187495,0.007478055719538673
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,1,task,2,0.001,90,7,0.14893617021276595,8,0.013396617697426942,0.3158054986865484,0.31511390887620916,0.9013213789628113,0.9002668869995399,0.4719702514335371,0.09333476449222756,0.9999888865206156,0.8795741563897244,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.009265917081620056,0.006445517570108458,1.4375753352362888,0.011125222961376892
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,2,task,2,0.001,90,7,0.14893617021276595,8,0.011661827231810543,0.33114187951237795,0.3306348765284806,0.8903075790910138,0.8903450556332291,0.557376043252318,0.12137106016629878,0.9999907710694652,0.8736927965946882,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.05378501553690945,0.037663629196522816,1.4280359244263958,0.00880319367135203
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,3,task,2,0.001,90,8,0.1702127659574468,8,0.013112030395103015,8.353298835239135e-13,0.013112030395204068,0.9998284554092101,1.0,0.5916307430483236,0.10440611327959509,0.9999791030611547,0.8759117834192662,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.011157857157175544,0.006751538059663657,1.6526393036035698,0.010082601780745515
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,4,task,2,0.001,90,7,0.14893617021276595,8,0.013086676998770804,0.36087116785747697,0.36224762844765385,0.8688317787369275,0.8697720002094411,0.3753646571621172,0.07340594200246889,0.9999931583652703,0.883582575935536,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.03606286171996037,0.03302292938589673,1.0920551989358618,0.006145381868092543
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,5,task,2,0.001,90,8,0.1702127659574468,8,0.014027809013422845,3.3282517964167133e-12,0.014027809013647242,0.9998033239072038,1.0,0.49041761658291305,0.08532871969029464,0.9999867300276893,0.87563210002372,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.01812314427065531,0.021510447713071312,0.8425275248753828,0.012941951486060817
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,6,task,2,0.001,90,8,0.1702127659574468,8,0.010582116562199902,1.3916363592021992e-12,0.010582116562222531,0.9998886195862298,1.0,0.4872170317301997,0.08715469721654344,0.9999797953789784,0.8801329032353367,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.042615043290022525,0.035396400742858596,1.2039371912303916,0.006468993595021167
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,7,task,2,0.001,90,8,0.1702127659574468,8,0.012957702528668506,3.0653501148835784e-12,0.01295770252872798,0.9998323333993648,1.0,0.41966196124169014,0.07861896837817964,0.9999843831277693,0.8793374780510884,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.015318412650272784,0.016774770676568032,0.9131816431726502,0.01074029803449232
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,8,task,2,0.001,90,7,0.14893617021276595,8,0.009322261253964877,0.34065978084828397,0.3391471803586622,0.88403484355302,0.8839509137126312,0.5815771750603888,0.11546535761369377,0.9999851605161276,0.875134755871747,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.0203441759154801,0.014861832840100815,1.3688874134411335,0.010090341629686419
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,9,task,2,0.001,90,8,0.1702127659574468,8,0.012659641908793436,1.5522703836147438e-12,0.012659641908931478,0.9998397279206596,1.0,0.5610292689118798,0.09931912624995036,0.9999729361309838,0.877317446114066,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.004243704818010317,0.008326438237333627,0.5096662819142315,0.016066779856635544
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,10,task,2,0.001,90,8,0.1702127659574468,8,0.01824580356309446,2.763871672756857e-12,0.0182458035630212,0.9996679540635077,1.0,0.41787222966497917,0.09062313083729001,0.9999532511992408,0.8796654455748225,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.017931803087275103,0.020458368698683907,0.8765020980596885,0.02289768616281007
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,11,task,2,0.001,90,8,0.1702127659574468,8,0.01435717081054131,2.6791797301568763e-12,0.014357170810240818,0.9997928258048203,1.0,0.5274236121158583,0.0959180889198827,0.9999806948209766,0.8783034840916374,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.019850615740731912,0.021488684725304234,0.92377062600563,0.016315162451610042
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,12,task,2,0.001,90,7,0.14893617021276595,8,0.01900598313099296,0.24608612269671515,0.2451285143850884,0.9383780471748532,0.9394416202162184,0.4613600681657819,0.10121856712515732,0.9999882915460122,0.8832335225888952,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.043460422394840326,0.04211527133769631,1.03193974571262,0.0251110717495954
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,13,task,2,0.001,90,6,0.1276595744680851,8,0.012543520494253078,0.5037589402295813,0.5025293373960552,0.7481033642673669,0.7462269301392768,0.4905657641004575,0.12793741681869117,0.9999899540069097,0.8763933287412943,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.05188184703779264,0.03507763921495152,1.4790575477405126,0.012692814733968055
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,14,task,2,0.001,90,7,0.14893617021276595,8,0.01317352427117777,0.4522933754587431,0.44876454414342093,0.7968429345601651,0.7954307025165456,0.41378698011644555,0.09006282793656292,0.9999849213536789,0.8815630205946117,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.021411308120828008,0.023190988809058465,0.9232598185923272,0.008155453508812187
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,15,task,2,0.001,90,8,0.1702127659574468,8,0.008924321421920312,2.127669327522031e-12,0.008924321422070615,0.999919727905256,1.0,0.4496530067592862,0.08001059405112501,0.9999898051561033,0.8793050915329528,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.013357526114662621,0.011364194898678116,1.1754045256841177,0.007037978661898243
