exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,smax,tau_sv,B_nat,dim_R_nat,dim_over_nctx,r_eff_T_task,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_closure,mean_closure,max_refinement,mean_refinement,s_list,mse_model,mse_krr,mse_ratio,E_pointwise_F_T,suite_exp,suite_smax
2a,L2,model_L2.pt,depth,2,5,128,2,4,0,task,1,0.001,6,6,0.1276595744680851,5,0.9287618266542744,0.027250097925576672,0.930645950189581,0.57691968379711,0.999257432163048,0.6192603346583124,0.28899406010317924,0.9987379896020407,0.646686085184477,"[1, 1, 1]",0.6142766147049976,0.007042147687357055,87.2285901938444,0.08458956740384559,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,0,iso,1,0.001,6,6,0.1276595744680851,5,2.1038597736614544,0.833553507650902,2.1720597889870175,0.10255987650336473,0.30518854988425936,0.6192603346583124,0.28899406010317924,0.9987379896020407,0.646686085184477,"[1, 1, 1]",0.6142766147049976,0.007042147687357055,87.2285901938444,0.08458956740384559,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,1,task,1,0.001,6,6,0.1276595744680851,5,0.14946319790807985,0.01054425584139104,0.1501240631103227,0.9777476360656405,0.9998888186687516,0.5374723840834856,0.26375052850673397,0.9976037228146385,0.6421553407836113,"[1, 1, 1]",0.2046823857043929,0.007665781971381429,26.70078362110104,0.08335923472504922,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,1,iso,1,0.001,6,6,0.1276595744680851,5,1.9625939776698136,0.5113569012059358,1.9929601043953633,0.25102642210170645,0.7385141195895819,0.5374723840834856,0.26375052850673397,0.9976037228146385,0.6421553407836113,"[1, 1, 1]",0.2046823857043929,0.007665781971381429,26.70078362110104,0.08335923472504922,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,2,task,1,0.001,6,6,0.1276595744680851,5,0.16432818515251357,0.015400938133671604,0.163761192991308,0.9762836317345445,0.9997628111046033,0.6255301913408616,0.32190466584318417,0.992131139599633,0.6092094176209365,"[1, 1, 1]",0.210621739626383,0.026270064947083758,8.017556867508397,0.0888941813532216,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,2,iso,1,0.001,6,6,0.1276595744680851,5,1.689835552057161,0.6372160387417616,1.8953767769964711,0.04499975824403846,0.5939557199710621,0.6255301913408616,0.32190466584318417,0.992131139599633,0.6092094176209365,"[1, 1, 1]",0.210621739626383,0.026270064947083758,8.017556867508397,0.0888941813532216,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,3,task,1,0.001,6,6,0.1276595744680851,5,0.128888612946069,0.019619166157058113,0.13022716431393308,0.983156536093496,0.9996150883193026,0.6418250905848434,0.33306731132688094,0.9767613418174476,0.6242636832417254,"[1, 1, 1]",0.3296183871126912,0.006403176324289366,51.47732475558101,0.1197752972679784,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,3,iso,1,0.001,6,6,0.1276595744680851,5,1.8372891426247162,1.0444348728394393,2.060857135248213,0.02946658352333631,-0.0908442036009729,0.6418250905848434,0.33306731132688094,0.9767613418174476,0.6242636832417254,"[1, 1, 1]",0.3296183871126912,0.006403176324289366,51.47732475558101,0.1197752972679784,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,4,task,1,0.001,6,6,0.1276595744680851,5,0.15173917291208758,0.044590046542102815,0.1555980903601,0.9763478276180485,0.9980117277493771,0.46398600873691637,0.2258590361196846,0.9997442928893407,0.6517933779674109,"[1, 1, 1]",0.724259459992521,0.012371277358682504,58.543628034029624,0.112453516322195,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,4,iso,1,0.001,6,6,0.1276595744680851,5,1.362011140167755,3.0423432823432868,3.2184264494675725,-2.946708066215235,-8.255852647600914,0.46398600873691637,0.2258590361196846,0.9997442928893407,0.6517933779674109,"[1, 1, 1]",0.724259459992521,0.012371277358682504,58.543628034029624,0.112453516322195,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,5,task,1,0.001,6,6,0.1276595744680851,5,0.1964879250061268,0.017154180767141373,0.1996054076041616,0.9596723268402352,0.9997057340822089,0.7165770195676027,0.36757120119726644,0.9957214177355334,0.585788048713658,"[1, 1, 1]",0.20312466428485856,0.004980597350851428,40.78319325494855,0.1577569781170683,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,5,iso,1,0.001,6,6,0.1276595744680851,5,1.660372149508212,0.40439016982908516,1.7145364955400075,0.11150374000289598,0.8364685905459283,0.7165770195676027,0.36757120119726644,0.9957214177355334,0.585788048713658,"[1, 1, 1]",0.20312466428485856,0.004980597350851428,40.78319325494855,0.1577569781170683,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,6,task,1,0.001,6,6,0.1276595744680851,5,0.10659109489211938,0.05884704714299355,0.12098708941066977,0.9844152844909099,0.9965370250425573,0.578666498061905,0.29723810254395533,0.9993561773209564,0.5911298323326215,"[1, 1, 1]",0.1217040393467083,0.005578462320992307,21.81677178112756,0.07641649093354491,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,6,iso,1,0.001,6,6,0.1276595744680851,5,1.0164635712036627,2.9479782842250275,3.093064430508263,-3.9155308724447284,-7.690575964245113,0.578666498061905,0.29723810254395533,0.9993561773209564,0.5911298323326215,"[1, 1, 1]",0.1217040393467083,0.005578462320992307,21.81677178112756,0.07641649093354491,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,7,task,1,0.001,6,6,0.1276595744680851,5,0.1741598644883192,0.013791273697013169,0.17505977500263334,0.9680879536651098,0.9998098007698144,0.7122583545882312,0.363287873567744,0.9916306275774108,0.6298234556718778,"[1, 1, 1]",0.37760528514906877,0.014356137230516814,26.302707969828678,0.10748706287419876,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,7,iso,1,0.001,6,6,0.1276595744680851,5,1.7473213836343633,0.8026487801060997,1.9315190402190825,0.04877876785478985,0.355754935795468,0.7122583545882312,0.363287873567744,0.9916306275774108,0.6298234556718778,"[1, 1, 1]",0.37760528514906877,0.014356137230516814,26.302707969828678,0.10748706287419876,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,8,task,1,0.001,6,6,0.1276595744680851,5,0.08703422162722593,0.010652047824222376,0.0875947263728026,0.9923417672030833,0.9998865338771507,0.6201468492209699,0.30498618535496763,0.9993985163100381,0.5840773766819608,"[1, 1, 1]",0.14576450587098214,0.0067170298429364075,21.70073816543592,0.038084563852684196,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,8,iso,1,0.001,6,6,0.1276595744680851,5,0.8429812419401206,0.6905496291584036,1.1031655391274384,0.3297965846016033,0.5231412096701388,0.6201468492209699,0.30498618535496763,0.9993985163100381,0.5840773766819608,"[1, 1, 1]",0.14576450587098214,0.0067170298429364075,21.70073816543592,0.038084563852684196,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,9,task,1,0.001,6,6,0.1276595744680851,5,0.14166673177529623,0.013326711835985598,0.14127848116894695,0.9794589424389953,0.9998223987516409,0.7145958380809367,0.3995472415790338,0.995486846898769,0.5807256200871035,"[1, 1, 1]",0.15976478319432985,0.06896607014443677,2.316570784151277,0.053561186122409926,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,9,iso,1,0.001,6,6,0.1276595744680851,5,1.238748735401534,0.5641750756973859,1.3588232392223902,0.23775228419524963,0.6817064839624828,0.7145958380809367,0.3995472415790338,0.995486846898769,0.5807256200871035,"[1, 1, 1]",0.15976478319432985,0.06896607014443677,2.316570784151277,0.053561186122409926,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,10,task,1,0.001,6,6,0.1276595744680851,5,0.09132961761044232,0.01596657361387871,0.09314120518790259,0.9911387438999022,0.9997450685270332,0.6456165666432235,0.33904315015007674,0.9989739266045365,0.6178026744417767,"[1, 1, 1]",0.04181463586586509,0.005916398462018793,7.067582775957437,0.08396291311270765,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,10,iso,1,0.001,6,6,0.1276595744680851,5,0.9213484470691727,0.9320169554884776,1.3383462026196413,0.13851365837668517,0.13134439468370807,0.6456165666432235,0.33904315015007674,0.9989739266045365,0.6178026744417767,"[1, 1, 1]",0.04181463586586509,0.005916398462018793,7.067582775957437,0.08396291311270765,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,11,task,1,0.001,6,6,0.1276595744680851,5,0.13298215821342582,0.016654127660642472,0.13243756384007926,0.9827583244010584,0.9997226400318636,0.697725723193682,0.3640490725445738,0.9987513351451642,0.6008174669683676,"[1, 1, 1]",0.2871710293262444,0.03806241745190439,7.544739629034684,0.06253117085762486,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,11,iso,1,0.001,6,6,0.1276595744680851,5,1.395096411627436,0.8644952842419138,1.4985093215337626,0.20876931079858185,0.2526479035249686,0.697725723193682,0.3640490725445738,0.9987513351451642,0.6008174669683676,"[1, 1, 1]",0.2871710293262444,0.03806241745190439,7.544739629034684,0.06253117085762486,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,12,task,1,0.001,6,6,0.1276595744680851,5,0.24541870540996139,0.027290133790557843,0.24201523614109766,0.9349434844588385,0.999255248597695,0.741707744601191,0.41198096839595283,0.999015989662299,0.5738942311208252,"[1, 1, 1]",0.37076955335540984,0.008356347981672053,44.36980774001003,0.19005048872304497,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,12,iso,1,0.001,6,6,0.1276595744680851,5,1.6826977631274547,0.7252693858403174,1.7096435277063,0.14543634386896476,0.473984317963853,0.741707744601191,0.41198096839595283,0.999015989662299,0.5738942311208252,"[1, 1, 1]",0.37076955335540984,0.008356347981672053,44.36980774001003,0.19005048872304497,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,13,task,1,0.001,6,6,0.1276595744680851,5,0.17943078785789057,0.0147864400427764,0.17892408289615847,0.9681002288878385,0.9997813611908618,0.6597869696382044,0.3492358560092657,0.9991320441797948,0.6029483173123457,"[1, 1, 1]",0.5045811376022729,0.0084926258310595,59.414031377304156,0.1889017764982303,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,13,iso,1,0.001,6,6,0.1276595744680851,5,2.332469783377273,0.4904719624640653,2.348099983924684,0.12517561440792468,0.7594372540371249,0.6597869696382044,0.3492358560092657,0.9991320441797948,0.6029483173123457,"[1, 1, 1]",0.5045811376022729,0.0084926258310595,59.414031377304156,0.1889017764982303,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,14,task,1,0.001,6,6,0.1276595744680851,5,0.11360630739033746,0.015477662437341916,0.11370098990494514,0.9870574078537958,0.9997604419654762,0.45133031347835556,0.2419062889253696,0.9995436244570968,0.6308291208801867,"[1, 1, 1]",0.08682817423593342,0.007587858592236001,11.443040639262463,0.06369335485843393,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,14,iso,1,0.001,6,6,0.1276595744680851,5,1.121625625531591,0.980609146486581,1.5940647270757433,-0.06690327168720911,0.03840570182876624,0.45133031347835556,0.2419062889253696,0.9995436244570968,0.6308291208801867,"[1, 1, 1]",0.08682817423593342,0.007587858592236001,11.443040639262463,0.06369335485843393,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,15,task,1,0.001,6,6,0.1276595744680851,5,0.11968715037665886,0.006306021661608866,0.11960784405028872,0.9864698091350134,0.9999602340908034,0.8158830381694027,0.465352442258335,0.9996012540648275,0.5869422454273854,"[1, 1, 1]",0.13386049692922403,0.031641696855436816,4.230509430034677,0.1505309172124771,2a,1
2a,L2,model_L2.pt,depth,2,5,128,2,4,15,iso,1,0.001,6,6,0.1276595744680851,5,1.502901133018846,0.320927624254798,1.4950146835365632,0.3123605226250403,0.8970054599903754,0.8158830381694027,0.465352442258335,0.9996012540648275,0.5869422454273854,"[1, 1, 1]",0.13386049692922403,0.031641696855436816,4.230509430034677,0.1505309172124771,2a,1
