checkpoint,probe_kind,n,B_nat_mean,B_nat_std,E_F_T_mean,E_F_T_std,E_F_TQ_mean,E_F_TQ_std,E_TQ_T_mean,E_TQ_T_std,E_pointwise_F_T_mean,E_pointwise_F_T_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,d_model_mean,d_model_std,d_x_mean,d_x_std,dim_R_nat_mean,dim_R_nat_std,dim_over_nctx_mean,dim_over_nctx_std,max_closure_mean,max_closure_std,max_refinement_mean,max_refinement_std,mean_closure_mean,mean_closure_std,mean_refinement_mean,mean_refinement_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,r_eff_T_task_mean,r_eff_T_task_std,smax_mean,smax_std,sweep_val_mean,sweep_val_std,tau_sv_mean,tau_sv_std,suite_exp,suite_smax
H1,iso,16,45.0,0.0,0.5464410392098393,0.08423726477778906,0.6318381765213406,0.18189597415105824,0.20007541734502687,0.30834199774443055,0.015951267800132306,0.008191873886699558,0.8708372140247576,0.20201873421069946,0.6742191460590286,0.17220186897196077,128.0,0.0,5.0,0.0,4.6875,0.47871355387816905,0.09973404255319149,0.0101853947633653,0.6663316419556119,0.07505638052491795,0.9999778765346631,1.1052034733514974e-05,0.14333676649283555,0.01592829726139174,0.8629257059969279,0.006320911453805571,0.012656668110040101,0.010930022560057531,0.01645084026372117,0.012483484307267503,1.7745728208055522,1.4449670547739446,1.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.001,0.0,2a,1
H1,task,16,45.0,0.0,0.015498826476561861,0.0025506823671636787,0.15202335590796912,0.2110326106451912,0.14175824838053663,0.21843912857801015,0.015951267800132306,0.008191873886699558,0.9351711744281613,0.10138488911752218,0.93517328118095,0.10111961076149655,128.0,0.0,5.0,0.0,4.6875,0.47871355387816905,0.09973404255319149,0.0101853947633653,0.6663316419556119,0.07505638052491795,0.9999778765346631,1.1052034733514974e-05,0.14333676649283555,0.01592829726139174,0.8629257059969279,0.006320911453805571,0.012656668110040101,0.010930022560057531,0.01645084026372117,0.012483484307267503,1.7745728208055522,1.4449670547739446,1.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.001,0.0,2a,1
H2,iso,16,45.0,0.0,0.2607846029292878,0.07428443379621606,0.38539637660996967,0.20965330136922597,0.19063248609609817,0.29341242203849516,0.009640954953481433,0.005676767556971439,0.8829490839264633,0.1826238943022776,0.8242384138912064,0.17286063532198295,128.0,0.0,5.0,0.0,4.6875,0.47871355387816905,0.09973404255319149,0.0101853947633653,0.7056541393059086,0.03932285273756954,0.999961148989538,2.307203723430245e-05,0.1486734972920799,0.017802785377813404,0.8639787827428089,0.006298933688576199,0.015938400148970737,0.015865173205872066,0.018057393538583887,0.01607327205893093,1.3544119895492237,0.5851371764201394,2.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.001,0.0,2a,1
H2,task,16,45.0,0.0,0.009334228782272656,0.0024015441167864987,0.12761515760306305,0.18451564810023335,0.12126841431946714,0.1887539331548686,0.009640954953481433,0.005676767556971439,0.9518926773621952,0.07779006643366015,0.9518175402041139,0.07781752860920874,128.0,0.0,5.0,0.0,4.6875,0.47871355387816905,0.09973404255319149,0.0101853947633653,0.7056541393059086,0.03932285273756954,0.999961148989538,2.307203723430245e-05,0.1486734972920799,0.017802785377813404,0.8639787827428089,0.006298933688576199,0.015938400148970737,0.015865173205872066,0.018057393538583887,0.01607327205893093,1.3544119895492237,0.5851371764201394,2.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.001,0.0,2a,1
H8,iso,16,45.0,0.0,0.2720125841777433,0.051813566013006275,0.3454896866725672,0.18615115334353113,0.11807375160337806,0.25410493467591794,0.010369244936375418,0.004518387746898759,0.9255248537199646,0.16076199865527763,0.8614864542249852,0.15821042951106107,128.0,0.0,5.0,0.0,4.8125,0.4031128874149275,0.1023936170212766,0.008576869944998459,0.6582421740405807,0.06120075862678147,0.9999673183435247,2.342623543352382e-05,0.13711605364571516,0.02138027124900209,0.8679454747909457,0.00600020592336512,0.009165728781800922,0.006019594025080068,0.01074237228163186,0.005954737226778496,1.6253934193315427,1.5357144966967298,8.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.001,0.0,2a,1
H8,task,16,45.0,0.0,0.009090269182886437,0.002215213128836753,0.07731111505535669,0.14752045880730924,0.0697824569564049,0.151033819430959,0.010369244936375418,0.004518387746898759,0.9737448950025205,0.057852530906883616,0.9736453134903289,0.05789883430823703,128.0,0.0,5.0,0.0,4.8125,0.4031128874149275,0.1023936170212766,0.008576869944998459,0.6582421740405807,0.06120075862678147,0.9999673183435247,2.342623543352382e-05,0.13711605364571516,0.02138027124900209,0.8679454747909457,0.00600020592336512,0.009165728781800922,0.006019594025080068,0.01074237228163186,0.005954737226778496,1.6253934193315427,1.5357144966967298,8.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.001,0.0,2a,1
L12,iso,16,91.0,0.0,0.26500298618615303,0.07438832803081405,0.5488183617769228,0.24694827606425612,0.4567913434963329,0.3078411118365556,0.00918455573695948,0.004359062969506582,0.7024984027541871,0.2476951535052448,0.6638228345282415,0.2415001794992399,128.0,0.0,5.0,0.0,4.0625,0.6800735254367721,0.08643617021276596,0.014469649477378135,0.6487709961795212,0.06183188884514775,0.9999905240866753,5.48338663730816e-06,0.1556211609282298,0.04171833137195209,0.9086990672614275,0.0032432340323211547,0.009240878541032182,0.004347645156707016,0.010372666011141209,0.004465490685687344,1.2165074272768641,0.5007514461844469,4.0,0.0,12.0,0.0,5.0,0.0,1.0,0.0,12.0,0.0,0.001,0.0,2a,1
L12,task,16,91.0,0.0,0.00930412023042281,0.002149683522800907,0.3647047135944351,0.23619769473112323,0.363216673854414,0.23963093440208125,0.00918455573695948,0.004359062969506582,0.8142395996572442,0.1552167297850268,0.8141665369242932,0.15518049589913602,128.0,0.0,5.0,0.0,4.0625,0.6800735254367721,0.08643617021276596,0.014469649477378135,0.6487709961795212,0.06183188884514775,0.9999905240866753,5.48338663730816e-06,0.1556211609282298,0.04171833137195209,0.9086990672614275,0.0032432340323211547,0.009240878541032182,0.004347645156707016,0.010372666011141209,0.004465490685687344,1.2165074272768641,0.5007514461844469,4.0,0.0,12.0,0.0,5.0,0.0,1.0,0.0,12.0,0.0,0.001,0.0,2a,1
L2,iso,16,6.0,0.0,1.5261009894762854,0.4299306051042998,1.9077792153817819,0.5889953774357289,0.9870273062858425,0.8108494196576663,0.10387804376466968,0.04649495711528384,-0.5906073858749551,2.897996910406061,-0.30268767145268693,1.2384592611577572,128.0,0.0,5.0,0.0,6.0,0.0,0.1276595744680851,0.0,0.6401480577905078,0.09783387601428759,0.9963493904174704,0.0058327899952454795,0.33361087402663775,0.06337742938662481,0.6099303934022668,0.025375618289316035,0.016275505647053462,0.017324716448286336,0.2822779307688677,0.19477745665287366,29.934848563697493,24.74883345902299,4.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.001,0.0,2a,1
L2,task,16,6.0,0.0,0.19447347251380176,0.2000145711154363,0.19591930390905815,0.1998782061742073,0.02047854531712266,0.013583573351525898,0.10387804376466968,0.04649495711528384,0.9994076478082616,0.0008970335764005169,0.9515562242864762,0.1008938092890098,128.0,0.0,5.0,0.0,6.0,0.0,0.1276595744680851,0.0,0.6401480577905078,0.09783387601428759,0.9963493904174704,0.0058327899952454795,0.33361087402663775,0.06337742938662481,0.6099303934022668,0.025375618289316035,0.016275505647053462,0.017324716448286336,0.2822779307688677,0.19477745665287366,29.934848563697493,24.74883345902299,4.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.001,0.0,2a,1
