Experiment 2 final suite summary

Key derived quantity: ratio = dim_R_nat / r_eff_T_task.

=== 2B target-rank sweep: threshold table ===
smax   name     rT     dim   ratio    E(TQ,T)     E(F,T)    E(F,TQ)
   1    dx3   3.00    3.00   1.000    0.00000    0.00623    0.00623
   1    dx5   5.00    4.81   0.963    0.09849    0.00859    0.10566
   1    dx8   8.00    5.75   0.719    0.51879    0.01303    0.51773
   1   dx10  10.00    5.38   0.537    0.67216    0.01345    0.67311
   1   dx15  14.94    5.81   0.389    0.77341    0.01691    0.77324
   2    dx3   3.00    3.00   1.000    0.00000    0.00623    0.00623
   2    dx5   5.00    5.00   1.000    0.00000    0.00859    0.00859
   2    dx8   8.00    7.44   0.930    0.17847    0.01303    0.18434
   2   dx10  10.00    7.88   0.787    0.44679    0.01345    0.44732
   2   dx15  14.94    8.81   0.590    0.64038    0.01691    0.64077
   4    dx3   3.00    3.00   1.000    0.00000    0.00623    0.00623
   4    dx5   5.00    5.00   1.000    0.00000    0.00859    0.00859
   4    dx8   8.00    8.00   1.000    0.00000    0.01303    0.01303
   4   dx10  10.00    9.62   0.963    0.10521    0.01345    0.11409
   4   dx15  14.94   12.06   0.808    0.43757    0.01691    0.43831

=== 2A depth/head sweep: task-local use table ===
smax   name   L   H     dim    E(TQ,T)     E(F,T)    E(F,TQ)   maxClos
   1     H1   8   1    4.69    0.14176    0.01550    0.15202   0.66633
   1     H2   8   2    4.69    0.12127    0.00933    0.12762   0.70565
   1     H8   8   8    4.81    0.06978    0.00909    0.07731   0.65824
   1    L12  12   4    4.06    0.36322    0.00930    0.36470   0.64877
   1     L2   2   4    6.00    0.02048    0.19447    0.19592   0.64015
   1     L4   4   4    5.25    0.00002    0.02790    0.02791   0.66199
   1     L6   6   4    4.94    0.02884    0.01284    0.03990   0.68569
   1     L8   8   4    4.50    0.22618    0.00972    0.23128   0.68684
   2     H1   8   1    5.00    0.00000    0.01550    0.01550   0.41136
   2     H2   8   2    5.00    0.00000    0.00933    0.00933   0.46877
   2     H8   8   8    5.00    0.00000    0.00909    0.00909   0.41932
   2    L12  12   4    4.75    0.11350    0.00930    0.12027   0.40795
   2     L2   2   4   10.75    0.00000    0.19447    0.19447   0.41714
   2     L4   4   4    5.75    0.00000    0.02790    0.02790   0.42057
   2     L6   6   4    5.00    0.00000    0.01284    0.01284   0.42258
   2     L8   8   4    5.00    0.00000    0.00972    0.00972   0.46684
   4     H1   8   1    5.00    0.00000    0.01550    0.01550   0.11000
   4     H2   8   2    5.00    0.00000    0.00933    0.00933   0.13834
   4     H8   8   8    5.00    0.00000    0.00909    0.00909   0.11122
   4    L12  12   4    4.94    0.02580    0.00930    0.03445   0.12788
   4     L2   2   4   16.75    0.00000    0.19447    0.19447   0.11469
   4     L4   4   4    6.88    0.00000    0.02790    0.02790   0.11516
   4     L6   6   4    5.00    0.00000    0.01284    0.01284   0.11690
   4     L8   8   4    5.00    0.00000    0.00972    0.00972   0.11912

