group,x,y,description,n,pearson_loglog,spearman
all,task_E_TQ_T,iso_E_F_T,subspace adequacy vs OOD model error,39,0.12776616823436596,0.28313473835625597
all,task_E_F_TQ,iso_E_F_T,model-use residual vs OOD model error,39,0.3992504219467788,0.5346070973694467
all,task_E_F_T,iso_E_F_T,task model error vs OOD model error,39,0.962524612245583,0.9450549450549453
all,dim_over_rT,iso_E_F_T,rank ratio vs OOD model error,39,0.5104754448628191,0.14801620797209056
all,task_max_closure,iso_E_F_T,closure defect vs OOD model error,39,0.07125562740437491,0.06636921823834817
all,task_E_TQ_T,iso_E_TQ_T,task Galerkin adequacy vs iso Galerkin adequacy,39,0.9932954529857375,0.9665991902834008
all,task_E_F_TQ,iso_E_F_TQ,task model-use vs iso model-use,39,0.7823928039145681,0.8765182186234819
2a,task_E_TQ_T,iso_E_F_T,subspace adequacy vs OOD model error,24,-0.005975769042065924,-0.08669214468630106
2a,task_E_F_TQ,iso_E_F_T,model-use residual vs OOD model error,24,0.4161433705341042,0.2994819543708583
2a,task_E_F_T,iso_E_F_T,task model error vs OOD model error,24,0.9675813035807567,0.8809523809523809
2a,dim_over_rT,iso_E_F_T,rank ratio vs OOD model error,24,0.7797338579018048,0.5960541812591202
2a,task_max_closure,iso_E_F_T,closure defect vs OOD model error,24,-0.0310143508340737,-0.15762208124782012
2a,task_E_TQ_T,iso_E_TQ_T,task Galerkin adequacy vs iso Galerkin adequacy,24,0.9915897554169576,0.9652173913043477
2a,task_E_F_TQ,iso_E_F_TQ,task model-use vs iso model-use,24,0.6598847467861971,0.7469565217391304
2b,task_E_TQ_T,iso_E_F_T,subspace adequacy vs OOD model error,15,0.7872191867892134,0.774673510337773
2b,task_E_F_TQ,iso_E_F_T,model-use residual vs OOD model error,15,0.8415219660169915,0.829227982896771
2b,task_E_F_T,iso_E_F_T,task model error vs OOD model error,15,0.935264469342996,0.9000000000000004
2b,dim_over_rT,iso_E_F_T,rank ratio vs OOD model error,15,-0.5761403566627279,-0.7613642837164638
2b,task_max_closure,iso_E_F_T,closure defect vs OOD model error,15,0.4659222757122786,0.3818813079129867
2b,task_E_TQ_T,iso_E_TQ_T,task Galerkin adequacy vs iso Galerkin adequacy,15,0.9960047571734961,0.9928571428571428
2b,task_E_F_TQ,iso_E_F_TQ,task model-use vs iso model-use,15,0.970641637230976,0.9714285714285713
