suite_exp,suite_smax,checkpoint,sweep,d_x,n_layers,n_heads,r_eff_T_task,dim_R_nat,dim_over_rT,task_E_F_T,task_E_TQ_T,task_E_F_TQ,task_X_use,task_X_sub,task_max_closure,task_mse_ratio,iso_E_F_T,iso_E_TQ_T,iso_E_F_TQ,iso_X_use,iso_X_sub,iso_mse_ratio,ood_gap_E_F_T,ood_gap_E_TQ_T
2a,1,H1,,5.0,8.0,1.0,5.0,4.6875,0.9375,0.015498826476561861,0.14175824838053663,0.15202335590796912,0.93517328118095,0.9351711744281613,0.6663316419556119,1.7745728208055522,0.5464410392098393,0.20007541734502687,0.6318381765213406,0.6742191460590286,0.8708372140247576,1.7745728208055522,35.25692993828895,1.4113846610741358
2a,1,H2,,5.0,8.0,2.0,5.0,4.6875,0.9375,0.009334228782272656,0.12126841431946714,0.12761515760306305,0.9518175402041139,0.9518926773621952,0.7056541393059086,1.3544119895492237,0.2607846029292878,0.19063248609609817,0.38539637660996967,0.8242384138912064,0.8829490839264633,1.3544119895492237,27.938527007669197,1.57198795057961
2a,1,H8,,5.0,8.0,8.0,5.0,4.8125,0.9625,0.009090269182886437,0.0697824569564049,0.07731111505535669,0.9736453134903289,0.9737448950025205,0.6582421740405807,1.6253934193315427,0.2720125841777433,0.11807375160337806,0.3454896866725672,0.8614864542249852,0.9255248537199646,1.6253934193315427,29.923490570536774,1.692026287884104
2a,1,L12,,5.0,12.0,4.0,5.0,4.0625,0.8125,0.00930412023042281,0.363216673854414,0.3647047135944351,0.8141665369242932,0.8142395996572442,0.6487709961795212,1.2165074272768641,0.26500298618615303,0.4567913434963329,0.5488183617769228,0.6638228345282415,0.7024984027541871,1.2165074272768641,28.482326068792688,1.2576276817055647
2a,1,L2,,5.0,2.0,4.0,5.0,6.0,1.2,0.19447347251380176,0.02047854531712266,0.19591930390905815,0.9515562242864762,0.9994076478082616,0.6401480577905078,29.934848563697493,1.5261009894762854,0.9870273062858425,1.9077792153817819,-0.30268767145268693,-0.5906073858749551,29.934848563697493,7.847347865750575,48.1981161748126
2a,1,L4,,5.0,4.0,4.0,5.0,5.25,1.05,0.027902640979709514,1.627571573156661e-05,0.027905226669059174,0.9986511825772388,0.9999999959864018,0.6619860134908492,3.8416397068923276,0.4706562030803873,0.0008166379591432668,0.47060730978462845,0.8116771779731953,0.9999897522742882,3.8416397068923276,16.86780127453323,50.17524099166985
2a,1,L6,,5.0,6.0,4.0,5.0,4.9375,0.9875,0.012843906389578476,0.028836185514961022,0.039899283517233965,0.986542011648436,0.9866955904799375,0.6856868054646099,6.0115845018113845,0.3443045520180901,0.046367353683708604,0.36606639234239274,0.865228391259917,0.9656010962294701,6.0115845018113845,26.806840658497656,1.60795725425098
2a,1,L8,,5.0,8.0,4.0,5.0,4.5,0.9,0.009723866568848449,0.22618033271090277,0.23128166875284453,0.8957067022463405,0.8960068540120453,0.6868435562130739,1.358201977679538,0.29707037400716146,0.27554653182655664,0.46358363606477637,0.771995136498987,0.8459177656816196,1.358201977679538,30.550642782250982,1.218260352365616
2a,2,H1,,5.0,8.0,1.0,5.0,5.0,1.0,0.015498826476561861,1.5348675243549735e-12,0.015498826476638389,0.9997529271765311,1.0,0.41135955855734285,1.7745728208055522,0.5464410392098393,7.221666972483385e-11,0.5464410392071597,0.7669277132349721,1.0,1.7745728208055522,35.25692993828895,47.050751012002046
2a,2,H2,,5.0,8.0,2.0,5.0,5.0,1.0,0.009334228782272656,4.9355407618414045e-12,0.009334228782758299,0.9999072540218981,1.0,0.4687683618272118,1.3544119895492237,0.2607846029292878,2.1852647514314956e-10,0.26078460294183436,0.9327632645114646,1.0,1.3544119895492237,27.938527007669197,44.2760957082278
2a,2,H8,,5.0,8.0,8.0,5.0,5.0,1.0,0.009090269182886437,1.1914511232781876e-12,0.009090269182874321,0.9999127674531754,1.0,0.41932492972479024,1.6253934193315427,0.2720125841777433,5.503647657052003e-11,0.27201258417653384,0.9289716138420365,1.0,1.6253934193315427,29.923490570536774,46.19281101443031
2a,2,L12,,5.0,12.0,4.0,5.0,4.75,0.95,0.00930412023042281,0.11350162170895241,0.12027290735470662,0.9458285692093871,0.9460956102303701,0.40794965735254674,1.2165074272768641,0.26500298618615303,0.13591387315471234,0.33904587756210147,0.862765962726037,0.9257785159215067,1.2165074272768641,28.482326068792688,1.1974619490744438
2a,2,L2,,5.0,2.0,4.0,5.0,10.75,2.15,0.19447347251380176,1.2545979374668345e-07,0.1944734633788044,0.951960893454201,0.9999999999997858,0.41713853933373946,29.934848563697493,1.5261009894762854,4.7749277404084275e-06,1.5261011332579666,0.3136728381384286,0.9999999997005357,29.934848563697493,7.847347865750575,38.05942603452314
2a,2,L4,,5.0,4.0,4.0,5.0,5.75,1.15,0.027902640979709514,3.8307710209837e-10,0.027902641006943955,0.9986513108643351,1.0,0.4205745524519479,3.8416397068923276,0.4706562030803873,1.4767375726022781e-08,0.47065620264843855,0.8116405955928896,0.9999999999999989,3.8416397068923276,16.86780127453323,38.54935637011967
2a,2,L6,,5.0,6.0,4.0,5.0,5.0,1.0,0.012843906389578476,2.464487044119145e-13,0.012843906389569417,0.9998174847563517,1.0,0.4225754615499546,6.0115845018113845,0.3443045520180901,4.1544724466437744e-12,0.34430455201818,0.8899551210290404,1.0,6.0115845018113845,26.806840658497656,4.154472446643775
2a,2,L8,,5.0,8.0,4.0,5.0,5.0,1.0,0.009723866568848449,1.5745958037699085e-12,0.009723866568986253,0.9998884607760786,1.0,0.4668350398470381,1.358201977679538,0.29707037400716146,6.612146987834255e-11,0.29707037401371156,0.9130476957176412,1.0,1.358201977679538,30.550642782250982,41.99266232009132
2a,4,H1,,5.0,8.0,1.0,5.0,5.0,1.0,0.015498826476561861,2.7137448649463487e-13,0.015498826476558251,0.999752927176534,1.0,0.11000258569678727,1.7745728208055522,0.5464410392098393,6.3331659854810515e-12,0.5464410392099144,0.7669277132324803,1.0,1.7745728208055522,35.25692993828895,6.333165985481052
2a,4,H2,,5.0,8.0,2.0,5.0,5.0,1.0,0.009334228782272656,3.094689823408805e-13,0.009334228782289745,0.9999072540219085,1.0,0.13834036988865672,1.3544119895492237,0.2607846029292878,4.485744654898641e-12,0.26078460292957806,0.9327632645186128,1.0,1.3544119895492237,27.938527007669197,4.485744654898641
2a,4,H8,,5.0,8.0,8.0,5.0,5.0,1.0,0.009090269182886437,1.862990496228961e-13,0.009090269182891027,0.9999127674531751,1.0,0.11122015737130592,1.6253934193315427,0.2720125841777433,1.879289894808321e-12,0.27201258417779345,0.9289716138414906,1.0,1.6253934193315427,29.923490570536774,1.879289894808321
2a,4,L12,,5.0,12.0,4.0,5.0,4.9375,0.9875,0.00930412023042281,0.025799161104256726,0.03445182262277404,0.9891123284479715,0.989350452589999,0.12788045419328828,1.2165074272768641,0.26500298618615303,0.032831692716576134,0.28255288309959325,0.9150910928339727,0.982753279906144,1.2165074272768641,28.482326068792688,1.2725876079419915
2a,4,L2,,5.0,2.0,4.0,5.0,16.75,3.35,0.19447347251380176,5.245523139237426e-10,0.1944734725791506,0.9519608850624418,1.0,0.11468546465650184,29.934848563697493,1.5261009894762854,1.926220626749312e-08,1.5261009894722042,0.3136729537036431,0.9999999999999959,29.934848563697493,7.847347865750575,36.72123019229191
2a,4,L4,,5.0,4.0,4.0,5.0,6.875,1.375,0.027902640979709514,5.714610911310155e-12,0.027902640979885842,0.9986513108655446,1.0,0.11515914753369534,3.8416397068923276,0.4706562030803873,1.8215918226292934e-10,0.4706562030873286,0.8116405952209325,1.0,3.8416397068923276,16.86780127453323,31.876042847012794
2a,4,L6,,5.0,6.0,4.0,5.0,5.0,1.0,0.012843906389578476,1.953267319119938e-13,0.012843906389567878,0.9998174847563519,1.0,0.11689804438905321,6.0115845018113845,0.3443045520180901,5.664639155796346e-13,0.3443045520180873,0.8899551210291095,1.0,6.0115845018113845,26.806840658497656,0.5664639155796346
