Experiment 2 Layerwise Sufficiency

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx128_ntgt128_scratch_seed42/checkpoint_final.pt
episodes=8, n_ctx=128, n_tgt=128, alpha=0.05, curve_r_max=64

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 24.8   47.1        nan  0.00     1.147       1.147    1.090
    1   22 24.8   47.1        nan  0.00     0.751       0.751    0.730
    2   31 24.8   47.1        nan  0.00     0.399       0.395    0.386
    3   37 24.8   47.1        nan  0.00     0.249       0.241    0.257
    4   40 24.8   47.1        nan  0.00     0.184       0.174    0.188
    5   43 24.8   47.1        nan  0.00     0.138       0.125    0.147
    6   42 24.8   47.1        nan  0.00     0.145       0.135    0.157
    7   55 24.8   47.1       35.0  0.25     0.087       0.060    0.103
    8   49 24.8   47.1        nan  0.00     0.109       0.090    0.123

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    7 24.8   47.1        nan  0.00     1.813       1.813    1.772
    1   16 24.8   47.1        nan  0.00     0.769       0.769    0.704
    2   18 24.8   47.1        nan  0.00     0.578       0.578    0.563
    3   18 24.8   47.1        nan  0.00     0.587       0.587    0.563
    4   18 24.8   47.1        nan  0.00     0.576       0.576    0.557
    5   18 24.8   47.1        nan  0.00     0.635       0.635    0.611
    6   19 24.8   47.1        nan  0.00     0.538       0.538    0.530
    7   28 24.8   47.1        nan  0.00     0.126       0.121    0.140
    8   28 24.8   47.1        nan  0.00     0.131       0.127    0.148

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   23 24.8   47.1        nan  0.00     0.696       0.696    0.672
    1   25 24.8   47.1        nan  0.00     0.554       0.553    0.544
    2   31 24.8   47.1        nan  0.00     0.364       0.360    0.361
    3   35 24.8   47.1        nan  0.00     0.292       0.286    0.290
    4   38 24.8   47.1        nan  0.00     0.222       0.215    0.222
    5   40 24.8   47.1        nan  0.00     0.185       0.177    0.187
    6   41 24.8   47.1        nan  0.00     0.159       0.150    0.165
    7   54 24.8   47.1       33.0  0.12     0.086       0.060    0.103
    8   49 24.8   47.1        nan  0.00     0.100       0.081    0.115
