basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,reach_alpha_mean,reach_alpha_std,rank_to_alpha_mean,rank_to_alpha_std
combined,0,16,0.25136900803141166,0.045691292122475836,0.1965724228210901,0.029307289157874932,0.12644759324618113,0.006961018385927497,22.9375,0.25,22.9375,0.25,0.0,0.0,0.2590207335849495,0.046610527896737114,0.25136900803141166,0.045691292122475836,0.2050431780328961,0.028453343914883127,0.1965724228210901,0.029307289157874932,0.12921640766083786,0.0069120765963321795,0.12644759324618113,0.006961018385927497,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,22.9375,0.25,0.0,0.0,,
combined,1,16,0.23262281219626996,0.04632085623762587,0.16330653039260587,0.018885190606134302,0.1155375946076949,0.00789251014514967,24.125,0.8850612031567836,24.125,0.8850612031567836,1.0,0.0,0.24262159283483892,0.044067363204369055,0.23262281219626996,0.04632085623762587,0.17505043762878797,0.01788341036075443,0.16330653039260587,0.018885190606134302,0.11966527901444643,0.007595895519902709,0.1155375946076949,0.00789251014514967,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,24.125,0.8850612031567836,0.0,0.0,,
combined,2,16,0.2048177936761772,0.042223109185001474,0.1317895702411957,0.021815958206191338,0.10362973052575458,0.008995144587324538,26.1875,1.42448821218944,26.1875,1.42448821218944,2.0,0.0,0.22004916047988338,0.04221007616831428,0.2048177936761772,0.042223109185001474,0.14864435088703748,0.01878021454884512,0.1317895702411957,0.021815958206191338,0.11023585472340951,0.008303508796877973,0.10362973052575458,0.008995144587324538,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,26.1875,1.42448821218944,0.0,0.0,,
combined,3,16,0.17851534402068397,0.0412693137688373,0.09349034612338777,0.013771877571900078,0.08737182097962987,0.007850180842952335,29.1875,1.42448821218944,29.1875,1.42448821218944,3.0,0.0,0.19977430482107705,0.04059336800018048,0.1785269747088699,0.04126509672109453,0.11527191298636917,0.011207517404044454,0.09349277433590589,0.013771095943978488,0.09719667956730885,0.007311017284857153,0.08737293407781718,0.007849353631713433,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,29.125,1.408308678285174,0.0,0.0,,
combined,4,16,0.1714733852093419,0.04357818524299921,0.08213458412119601,0.017863772285332497,0.08180010732591059,0.0108295468122043,30.625,1.857417562100671,30.625,1.857417562100671,4.0,0.0,0.19288603436117913,0.04185756637501617,0.1715505741144705,0.04351557979653279,0.10540718131990127,0.015598560072931464,0.0821686701203369,0.01783938348029181,0.09292545935107804,0.009728610200529062,0.08181782488747169,0.010811555498880736,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.0,1.591644851508443,0.0,0.0,,
combined,5,16,0.14996513702670144,0.04426711169327304,0.044472055175329574,0.0140718268959928,0.059689495779497795,0.009801376060791669,34.5,1.7511900715418263,34.5,1.7511900715418263,5.0,0.0,0.17758623545342558,0.04469652504272618,0.15035471514562293,0.044255353311190404,0.0744375031734499,0.012209805012897122,0.044685415440327725,0.01402401991229692,0.07799616537238829,0.00814747549832202,0.059842040923986484,0.009748914272945235,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.5625,1.5041608956491324,0.625,0.5,20.6,1.0749676997731399
combined,6,16,0.14091754366233655,0.04314184144683344,0.03404521954186142,0.012047815886895288,0.05217213098826866,0.010047826054670713,36.125,1.6683325008322931,36.125,1.6683325008322931,6.0,0.0,0.17017674121520168,0.04308344540217797,0.1414984499322821,0.04318033923834831,0.06675631394725151,0.00981096314534039,0.03435872137721592,0.01197031062962546,0.07395526107831984,0.007823176255564961,0.0524329419756781,0.00993920875751147,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.5625,1.5041608956491324,0.9375,0.25,20.2,0.8618916073713346
combined,7,16,0.1340967608522911,0.04388826224552725,0.025126248457119117,0.008979005492011544,0.04480496461281116,0.008572651214729015,37.75,1.879716290649558,37.75,1.879716290649558,7.0,0.0,0.16495004620278397,0.043300539048053796,0.13487444053009984,0.04400295368199375,0.0597403610037435,0.008232321965345598,0.02554170259732285,0.008899668617873361,0.06998039557003954,0.007086407956854823,0.04520146430112813,0.008431280445834247,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.5625,1.5041608956491324,1.0,0.0,19.6875,0.6020797289396148
combined,8,16,0.13323123283343322,0.04363454394440453,0.022959727094888853,0.0071789593247984645,0.042947726652374736,0.007460207484520911,38.125,1.7841898254763513,38.125,1.7841898254763513,8.0,0.0,0.1643163153531646,0.04329927481816842,0.13409075685039668,0.04375719041124154,0.05827098925069636,0.007195229432804501,0.023398793036015934,0.007094864571579697,0.06914410977010427,0.006702476179108003,0.04338066260707312,0.007309177860115793,18.3125,0.6020797289396148,30.5625,1.5041608956491324,18.3125,0.6020797289396148,30.5625,1.5041608956491324,1.0,0.0,19.5,0.5163977794943222
raw,0,16,0.6302382833824105,0.10091548914424989,0.6660156981321588,0.09945065490253792,0.2326495885945225,0.01147013802791766,7.0,0.0,7.0,0.0,0.0,0.0,0.6302382833824105,0.10091548914424989,0.6302382833824105,0.10091548914424989,0.6660156981321588,0.09945065490253792,0.6660156981321588,0.09945065490253792,0.2326495885945225,0.01147013802791766,0.2326495885945225,0.01147013802791766,18.3125,0.6020797289396148,30.5625,1.5041608956491324,7.0,0.0,7.0,0.0,0.0,0.0,,
raw,1,16,0.4392007645149436,0.07047775353340394,0.4265882201407804,0.0498836922048268,0.18668731830248686,0.012799686551234668,10.9375,1.1236102527122116,10.9375,1.1236102527122116,1.0,0.0,0.4392007645149436,0.07047775353340394,0.4392007645149436,0.07047775353340394,0.4265882201407804,0.0498836922048268,0.4265882201407804,0.0498836922048268,0.18668731830248686,0.012799686551234668,0.18668731830248686,0.012799686551234668,18.3125,0.6020797289396148,30.5625,1.5041608956491324,10.9375,1.1236102527122116,10.9375,1.1236102527122116,0.0,0.0,,
raw,2,16,0.41257449825377285,0.06726705717720381,0.40104639865081043,0.049334018550677275,0.18091975733250637,0.012104530835872372,11.5,1.1547005383792515,11.5,1.1547005383792515,2.0,0.0,0.41257449825377285,0.06726705717720381,0.41257449825377285,0.06726705717720381,0.40104639865081043,0.049334018550677275,0.40104639865081043,0.049334018550677275,0.18091975733250637,0.012104530835872372,0.18091975733250637,0.012104530835872372,18.3125,0.6020797289396148,30.5625,1.5041608956491324,11.5,1.1547005383792515,11.5,1.1547005383792515,0.0,0.0,,
raw,3,16,0.3733287447137661,0.04666501130674697,0.3607705642411987,0.04136164033238711,0.17181253387946815,0.013080933827897384,12.25,1.2382783747337807,12.25,1.2382783747337807,3.0,0.0,0.3733287447137661,0.04666501130674697,0.3733287447137661,0.04666501130674697,0.3607705642411987,0.04136164033238711,0.3607705642411987,0.04136164033238711,0.17181253387946815,0.013080933827897384,0.17181253387946815,0.013080933827897384,18.3125,0.6020797289396148,30.5625,1.5041608956491324,12.25,1.2382783747337807,12.25,1.2382783747337807,0.0,0.0,,
raw,4,16,0.37177111669963736,0.048361748954308996,0.35657676665103427,0.040299062922590764,0.1708290226844828,0.01306607258054314,12.4375,1.2632629707758134,12.4375,1.2632629707758134,4.0,0.0,0.37177111669963736,0.048361748954308996,0.37177111669963736,0.048361748954308996,0.35657676665103427,0.040299062922590764,0.35657676665103427,0.040299062922590764,0.1708290226844828,0.01306607258054314,0.1708290226844828,0.01306607258054314,18.3125,0.6020797289396148,30.5625,1.5041608956491324,12.4375,1.2632629707758134,12.4375,1.2632629707758134,0.0,0.0,,
