Experiment 2 Layerwise Sufficiency

checkpoint=model_rbf_fixed_l3.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 10.6   15.3        nan  0.00     0.417       0.405    0.471
    1   22 10.6   15.3        nan  0.00     0.226       0.201    0.278
    2   27 10.6   15.3        nan  0.00     0.161       0.130    0.210
    3   32 10.6   15.3       13.5  0.12     0.107       0.072    0.149
    4   36 10.6   15.3       13.4  0.69     0.079       0.041    0.129
    5   38 10.6   15.3       12.2  1.00     0.065       0.027    0.117
    6   39 10.6   15.3       11.8  1.00     0.058       0.019    0.109
    7   41 10.6   15.3       11.1  1.00     0.051       0.012    0.104
    8   42 10.6   15.3       11.1  1.00     0.049       0.009    0.102

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    7 10.6   15.3        nan  0.00     0.689       0.689    0.728
    1   12 10.6   15.3        nan  0.00     0.389       0.385    0.439
    2   13 10.6   15.3        nan  0.00     0.321       0.313    0.365
    3   14 10.6   15.3        nan  0.00     0.307       0.297    0.348
    4   14 10.6   15.3        nan  0.00     0.301       0.290    0.335
    5   15 10.6   15.3        nan  0.00     0.275       0.264    0.309
    6   16 10.6   15.3        nan  0.00     0.248       0.233    0.279
    7   19 10.6   15.3        nan  0.00     0.151       0.125    0.189
    8   20 10.6   15.3        nan  0.00     0.138       0.110    0.181

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   23 10.6   15.3        nan  0.00     0.225       0.200    0.282
    1   25 10.6   15.3        nan  0.00     0.186       0.158    0.240
    2   27 10.6   15.3        nan  0.00     0.148       0.117    0.196
    3   30 10.6   15.3        nan  0.00     0.114       0.081    0.158
    4   33 10.6   15.3       13.9  0.50     0.090       0.054    0.135
    5   36 10.6   15.3       12.9  0.94     0.074       0.036    0.125
    6   38 10.6   15.3       12.2  1.00     0.065       0.026    0.118
    7   40 10.6   15.3       11.4  1.00     0.054       0.014    0.106
    8   41 10.6   15.3       11.2  1.00     0.051       0.011    0.105
