episode,r_eff_T_task,r_eff_T_task_strict,rank_tau_task,krr_risk_total,krr_signal_total,E_F_T,F_T_excess_over_krr_risk
0,18,27,0.05646690038287007,3.8366310781780433,60.163368921822034,0.07202637067132045,0.06377367887821926
1,16,27,0.0649423678122371,4.978478486212498,59.021521513787974,0.061814253833583306,0.03575693828884529
2,18,29,0.06182699890583113,4.545396910096306,59.45460308990381,0.0808962124024024,0.07640777801295855
3,16,28,0.07300705223085613,6.165221692977352,57.83477830702236,0.08793294163395182,0.08656187122671415
4,18,27,0.0590665260535648,4.174452604928819,59.82554739507104,0.07235949206164105,0.06743647921128355
5,18,31,0.06185193144080174,4.548803016935389,59.45119698306455,0.06296491299612418,0.06036076051241327
6,16,27,0.07042997239051688,5.776240609327857,58.22375939067226,0.1017805657668785,0.08056180556579212
7,18,29,0.06303763643492097,4.711913124234008,59.28808687576564,0.07549925073819819,0.09245442173381503
8,17,27,0.06533030791902948,5.033443229744256,58.96655677025556,0.061121378225324846,0.053272555834416674
9,17,27,0.05964792815637649,4.251550680773738,59.74844931922629,0.06577785839393627,0.07755720568529571
10,17,27,0.06364976409726379,4.796975358220002,59.20302464177985,0.06132664686712024,0.05304736762699083
11,17,28,0.06512627222472604,5.004506678630184,58.99549332136995,0.08088831363022272,0.08011572455718678
12,17,28,0.06391656482931148,4.834230610424682,59.16576938957509,0.08547520096624106,0.04548119941981832
13,16,25,0.06159968098561622,4.5143877386207185,59.48561226137998,0.06668921559766418,0.057238990087899407
14,17,28,0.06221772298780616,4.598887643538979,59.40111235646052,0.08370995115936213,0.10401272038203109
15,17,28,0.0624120336613159,4.625578492937279,59.37442150706248,0.06965629600929152,0.07317634603359374
