episode,basis,layer,rank,candidate_dim,r_eff_T_task,r_eff_T_task_strict,op_excess_over_krr_risk,op_signal_error,model_excess_over_krr_risk,model_signal_error,E_F_T,F_T_excess_over_krr_risk
0,response,0,0,16,18,27,15.681301562718161,0.9999999999999922,11.886272784962745,0.8706263217750674,0.07202637067132045,0.06377367887821926
0,response,0,1,16,18,27,5.03679522979091,0.5667429079089619,4.82832239088007,0.5548902283656165,0.07202637067132045,0.06377367887821926
0,response,0,2,16,18,27,3.8398532055345855,0.4948416628668041,3.2237061646058076,0.45340538256867985,0.07202637067132045,0.06377367887821926
0,response,0,3,16,18,27,2.8362126432221717,0.4252833115511763,2.4118226733485852,0.39217656062941025,0.07202637067132045,0.06377367887821926
0,response,0,4,16,18,27,2.018830201702581,0.3588052948306648,1.6915794067681071,0.32843931778199853,0.07202637067132045,0.06377367887821926
0,response,0,5,16,18,27,1.3771585025746096,0.2963472561800871,1.3811127773748089,0.296772406410486,0.07202637067132045,0.06377367887821926
0,response,0,6,16,18,27,0.7972902216601725,0.22548474509254157,0.8604065658474133,0.2342398625777438,0.07202637067132045,0.06377367887821926
0,response,0,7,16,18,27,0.7018069371956527,0.2115523115462614,0.7716585006799669,0.22183063329074562,0.07202637067132045,0.06377367887821926
0,response,0,8,16,18,27,0.6376020968185654,0.2016433086705015,0.6769547715189644,0.20777283876384373,0.07202637067132045,0.06377367887821926
0,response,0,9,16,18,27,0.5873304676277918,0.193530853458457,0.6398398674915586,0.20199684911527985,0.07202637067132045,0.06377367887821926
0,response,0,10,16,18,27,0.5488596886369851,0.18708527821433493,0.6018788304774164,0.19591310189221575,0.07202637067132045,0.06377367887821926
0,response,0,11,16,18,27,0.5110788621667549,0.1805314649320568,0.5826454968274231,0.19275743730612666,0.07202637067132045,0.06377367887821926
0,response,0,12,16,18,27,0.4885736562373086,0.17651189186506025,0.5429384729172069,0.18607338368101303,0.07202637067132045,0.06377367887821926
0,response,0,13,16,18,27,0.47039843111780055,0.17319760368995005,0.5242751045108237,0.1828473053272525,0.07202637067132045,0.06377367887821926
0,response,0,14,16,18,27,0.4578798230283957,0.17087742850456694,0.49194624616169885,0.17712006876794342,0.07202637067132045,0.06377367887821926
0,response,0,15,16,18,27,0.44819141562527137,0.16905994123982268,0.49411625165202877,0.17751028274690628,0.07202637067132045,0.06377367887821926
0,response,0,16,16,18,27,0.44370565880595697,0.16821178926352257,0.483093411620501,0.17551914876325586,0.07202637067132045,0.06377367887821926
0,raw,0,0,7,18,27,15.681301562718161,0.9999999999999922,11.886272784962745,0.8706263217750674,0.07202637067132045,0.06377367887821926
0,raw,0,1,7,18,27,5.0490908384143856,0.5674342405005449,4.839925797448927,0.5555565833359314,0.07202637067132045,0.06377367887821926
0,raw,0,2,7,18,27,3.82661706721308,0.49398805643328164,3.2328787873004163,0.45404997641217837,0.07202637067132045,0.06377367887821926
0,raw,0,3,7,18,27,2.8295369688721395,0.4247825159814146,2.4200280560422813,0.39284311593844773,0.07202637067132045,0.06377367887821926
0,raw,0,4,7,18,27,2.0183093289163048,0.3587590046647279,1.6915228215713796,0.32843382440735747,0.07202637067132045,0.06377367887821926
0,raw,0,5,7,18,27,1.3757175740843242,0.2961921807260963,1.3653970830762292,0.29507908766032415,0.07202637067132045,0.06377367887821926
0,raw,0,6,7,18,27,0.8161078141071422,0.22813016507909004,0.8998443836531104,0.2395480565797211,0.07202637067132045,0.06377367887821926
0,raw,0,7,7,18,27,0.7784928304423073,0.22281080888647029,0.8741353853781872,0.23610125585860403,0.07202637067132045,0.06377367887821926
0,combined,0,0,23,18,27,15.681301562718161,0.9999999999999922,11.886272784962745,0.8706263217750674,0.07202637067132045,0.06377367887821926
0,combined,0,1,23,18,27,5.033854760095294,0.5665774521415324,4.822173794383865,0.5545368050943136,0.07202637067132045,0.06377367887821926
0,combined,0,2,23,18,27,3.784423118652184,0.49125704336154336,3.184877088004074,0.45066650897321825,0.07202637067132045,0.06377367887821926
0,combined,0,3,23,18,27,2.7688071711030675,0.4201992783370098,2.3526433387353203,0.3873352239470446,0.07202637067132045,0.06377367887821926
0,combined,0,4,23,18,27,1.9352889748117392,0.3513029994888673,1.629567290892927,0.32236293117066694,0.07202637067132045,0.06377367887821926
0,combined,0,5,23,18,27,1.2814578981101765,0.28586508697824525,1.2970154332773511,0.28759512399066534,0.07202637067132045,0.06377367887821926
0,combined,0,6,23,18,27,0.6969104826129905,0.21081302746839758,0.7791179953707429,0.22290025450781992,0.07202637067132045,0.06377367887821926
0,combined,0,7,23,18,27,0.5855599073684079,0.19323892524230493,0.6503210603979177,0.2036445800806424,0.07202637067132045,0.06377367887821926
0,combined,0,8,23,18,27,0.5166338405670386,0.18150992261386725,0.5426538909763183,0.18602461198035117,0.07202637067132045,0.06377367887821926
0,combined,0,9,23,18,27,0.45156745315087493,0.16969547541660418,0.5205115034562421,0.18218982246636253,0.07202637067132045,0.06377367887821926
0,combined,0,10,23,18,27,0.40136262705832104,0.1599843171491936,0.48497438493940465,0.17586051762370133,0.07202637067132045,0.06377367887821926
0,combined,0,11,23,18,27,0.3565016805601708,0.15077861072010676,0.48399170247048684,0.17568225802513562,0.07202637067132045,0.06377367887821926
0,combined,0,12,23,18,27,0.3163378202570374,0.14203144501325646,0.43705488559359135,0.16694635305315458,0.07202637067132045,0.06377367887821926
0,combined,0,13,23,18,27,0.2852215851612094,0.13486527468258377,0.380408117693112,0.15575207263153446,0.07202637067132045,0.06377367887821926
0,combined,0,14,23,18,27,0.26267864628229654,0.1294259410478051,0.36744176733462247,0.15307462610064226,0.07202637067132045,0.06377367887821926
0,combined,0,15,23,18,27,0.24443867165604183,0.12485154015944998,0.3421774985132182,0.14771842558190965,0.07202637067132045,0.06377367887821926
0,combined,0,16,23,18,27,0.23459041545605255,0.12231059499257634,0.3413684808960708,0.14754369531625633,0.07202637067132045,0.06377367887821926
0,combined,0,17,23,18,27,0.22545952577148207,0.1199066421549955,0.33560074562082504,0.14629194201582507,0.07202637067132045,0.06377367887821926
0,combined,0,18,23,18,27,0.2174983508753597,0.11777061171600002,0.32288214084482464,0.1434930803735673,0.07202637067132045,0.06377367887821926
0,combined,0,19,23,18,27,0.21325696390500273,0.11661664897186015,0.3253042247913039,0.14403027783564853,0.07202637067132045,0.06377367887821926
0,combined,0,20,23,18,27,0.21168538576963103,0.1161861564001986,0.32362593917992855,0.14365826219247882,0.07202637067132045,0.06377367887821926
0,combined,0,21,23,18,27,0.2107626940317776,0.11593266445187117,0.3212828248948534,0.1431372606635689,0.07202637067132045,0.06377367887821926
0,combined,0,22,23,18,27,0.21026389690099218,0.11579539837900392,0.32049195617120085,0.1429609790128796,0.07202637067132045,0.06377367887821926
0,combined,0,23,23,18,27,0.21010498808215072,0.1157516334050061,0.3201912580781771,0.1428938974825183,0.07202637067132045,0.06377367887821926
0,response,1,0,22,18,27,15.681301562718161,0.9999999999999922,11.886272784962745,0.8706263217750674,0.07202637067132045,0.06377367887821926
0,response,1,1,22,18,27,5.0344910593191345,0.5666132598295153,4.8255564361737475,0.5547312682771979,0.07202637067132045,0.06377367887821926
0,response,1,2,22,18,27,3.791878088138209,0.4917406711596215,3.183235673988487,0.45055036231537204,0.07202637067132045,0.06377367887821926
0,response,1,3,22,18,27,2.7764789710922426,0.42078101889619896,2.352666471172363,0.38733712818503724,0.07202637067132045,0.06377367887821926
0,response,1,4,22,18,27,1.949153834342357,0.35255916176965985,1.6242414728380552,0.32183572023793466,0.07202637067132045,0.06377367887821926
0,response,1,5,22,18,27,1.3007468249995933,0.2880085189750703,1.3057142981842678,0.2885579384526339,0.07202637067132045,0.06377367887821926
0,response,1,6,22,18,27,0.7175329373704028,0.21390939895372837,0.7889570396049644,0.22430328005480807,0.07202637067132045,0.06377367887821926
0,response,1,7,22,18,27,0.6086809020074062,0.19701703750952554,0.659607798015437,0.20509347202493172,0.07202637067132045,0.06377367887821926
