episode,r_eff_T_task,r_eff_T_task_strict,rank_tau_task,krr_risk_total,krr_signal_total,E_F_T,F_T_excess_over_krr_risk
0,10,10,0.0045180226992510815,0.5425066767015423,1328.8570802590418,0.011412168991737711,0.3341640616565696
1,10,10,0.0033068815784082313,0.32083942091396267,1466.9673315976179,0.011871686691028904,0.4864913965374171
2,10,10,0.008865490348049546,0.40310695678705244,256.43941349400137,0.011976071298500333,0.08127376062122768
3,10,10,0.005682809812035855,0.4884806062974949,756.2947524121437,0.010375778901893564,0.1852321493939637
4,10,10,0.004216093439510771,0.4244867477192926,1194.0257310303264,0.01248432780572637,0.4585919532238194
5,10,10,0.004530669115755392,0.3988314353824549,971.4818564390404,0.014241941615606211,0.40324157520957354
6,10,10,0.006008490896606272,0.5496817929181859,761.2907297201705,0.01541304519986644,0.3478394519885976
7,10,10,0.003634180302019148,0.36033418846067633,1364.1512774239964,0.011037452316445102,0.5541550580843708
8,10,10,0.0038198190189819344,0.4065196843437846,1393.0477736165315,0.014771346635209216,0.6114854895590351
9,10,10,0.0044110345473320125,0.5619449838899797,1444.0521745201568,0.013691172373536259,0.5346090408329249
10,10,10,0.004134070321557048,0.30039783384239627,878.8425618142207,0.011483154949957537,0.34194495010182924
11,10,10,0.008466890786407062,0.39533596720672737,275.73279067358465,0.021717332631205573,0.28092263323750843
12,10,10,0.005999605436399349,0.3903873470623829,542.2759671387511,0.011832299909870315,0.1915222619928198
13,10,10,0.00882227604438929,0.44776634819352346,287.64721296577636,0.017463748004325718,0.18910769200629018
14,10,10,0.009470188624965794,0.39939749573456407,222.66814097776586,0.019053945654393837,0.23370034867795417
15,10,10,0.007581815420197442,0.385604048520209,335.4016345246564,0.02042318634791668,0.35340145846521787
