Experiment 2 Layerwise Sufficiency

checkpoint=model_dx10.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 10.0   10.0       10.0  1.00     0.005       0.005    0.353
    1   44 10.0   10.0       10.0  1.00     0.001       0.001    0.350
    2   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    3   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    4   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    5   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    6   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    7   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    8   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   12 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    1   24 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    2   31 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    3   40 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    4   43 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    5   44 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    6   46 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    7   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    8   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   23 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    1   46 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    2   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    3   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    4   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    5   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    6   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    7   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    8   47 10.0   10.0       10.0  1.00     0.000       0.000    0.349
