basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,rank_to_alpha_mean,rank_to_alpha_std,reach_alpha_mean,reach_alpha_std
combined,0,16,0.09469259947405642,0.08068435748960233,0.00018901448038990612,0.0002175231799384247,0.0001910089579865365,0.00017719328608977152,12.1875,6.046693311223912,19.5625,1.5903353943953669,0.0,0.0,0.09469259947406647,0.08068435748957498,0.09469259947406647,0.08068435748957498,0.00018901448038990764,0.00021752317993842645,0.00018901448038990764,0.00021752317993842645,0.00019100895798653732,0.000177193286089772,0.00019100895798653732,0.000177193286089772,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
combined,1,16,0.09462732662774315,0.08093092174817239,3.8800628692452855e-05,4.737266537550262e-05,0.00010049014660190437,4.8777272479172333e-05,22.25,9.504384952922168,32.75,2.816617356570348,1.0,0.0,0.09462732662775669,0.08093092174820325,0.09462732662775669,0.08093092174820325,3.880062869245342e-05,4.737266537550348e-05,3.880062869245342e-05,4.737266537550348e-05,0.000100490146601905,4.877727247917276e-05,0.000100490146601905,4.877727247917276e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
combined,2,16,0.09481618717378498,0.08122161514764908,1.3730464031289162e-05,1.3819674401314002e-05,6.594351590432467e-05,2.3294839954997308e-05,18.1875,11.44388482989933,37.3125,1.4930394055974097,2.0,0.0,0.0948161871738138,0.08122161514771847,0.0948161871738138,0.08122161514771847,1.3730464031289314e-05,1.381967440131419e-05,1.3730464031289314e-05,1.381967440131419e-05,6.594351590432505e-05,2.3294839954997372e-05,6.594351590432505e-05,2.3294839954997372e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
combined,3,16,0.09468857660516163,0.08128651663540934,2.833087671281116e-06,2.766441021870911e-06,3.316240370937948e-05,1.0596370804661214e-05,23.6875,11.574217036154108,41.9375,1.4818344486930155,3.0,0.0,0.094688576605205,0.0812865166354451,0.094688576605205,0.0812865166354451,2.833087671281165e-06,2.766441021870965e-06,2.833087671281165e-06,2.766441021870965e-06,3.3162403709379774e-05,1.0596370804661253e-05,3.3162403709379774e-05,1.0596370804661253e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
combined,4,16,0.09472386308533395,0.08123488216269417,1.0590340825071797e-06,1.1084386486365527e-06,1.7600645048759145e-05,1.1461518245219341e-05,31.8125,14.675234240038556,44.875,1.4548768561863463,4.0,0.0,0.09472386308538974,0.08123488216276557,0.09472386308538974,0.08123488216276557,1.0590340825072e-06,1.1084386486365635e-06,1.0590340825072e-06,1.1084386486365635e-06,1.76006450490192e-05,1.146151824479378e-05,1.76006450490192e-05,1.146151824479378e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
combined,5,16,0.09470583246184872,0.08119608875529713,5.203505522273814e-07,1.0165143748536895e-06,8.66049763504555e-06,9.177901885017206e-06,31.8125,17.866985382729418,45.875,1.2041594578792296,5.0,0.0,0.09470583246187883,0.08119608875534873,0.09470583246187883,0.08119608875534873,5.203505522273886e-07,1.016514374853696e-06,5.203505522273886e-07,1.016514374853696e-06,8.66049763573111e-06,9.17790188432731e-06,8.66049763573111e-06,9.17790188432731e-06,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
combined,6,16,0.09469700908083739,0.08119306364109036,3.82262879227743e-07,1.0738976697037433e-06,5.057824164236285e-06,8.877909863134545e-06,36.875,14.912522701854751,46.3125,0.9464847243000456,6.0,0.0,0.09469700908090004,0.08119306364111888,0.09469700908090004,0.08119306364111888,3.822628792277461e-07,1.0738976697037462e-06,3.822628792277461e-07,1.0738976697037462e-06,5.057824165378443e-06,8.877909862440515e-06,5.057824165378443e-06,8.877909862440515e-06,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
combined,7,16,0.0946954534239145,0.08122375279969331,1.7825951137759024e-08,4.035422020727869e-08,9.288621290188171e-07,2.0657293852780493e-06,43.875,10.138211545106628,46.8125,0.4031128874149275,7.0,0.0,0.09469545342394357,0.08122375279972484,0.09469545342394357,0.08122375279972484,1.7825951137760325e-08,4.0354220207281465e-08,1.7825951137760325e-08,4.0354220207281465e-08,9.288621306820567e-07,2.0657293844804263e-06,9.288621306820567e-07,2.0657293844804263e-06,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
combined,8,16,0.09470422336861811,0.08121766463207351,3.0409163942419456e-07,9.637533415051067e-07,3.1843935667988792e-06,7.930644744203912e-06,40.625,11.014384534174694,46.6875,0.6020797289396148,8.0,0.0,0.09470422336865747,0.08121766463208854,0.09470422336865747,0.08121766463208854,3.040916394242016e-07,9.637533415051326e-07,3.040916394242016e-07,9.637533415051326e-07,3.184393568304163e-06,7.930644743559311e-06,3.184393568304163e-06,7.930644743559311e-06,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
raw,0,16,0.09469716913370771,0.08123447096937768,7.461995614142825e-17,2.2687290316707873e-17,2.017908394905496e-10,8.952827560752707e-11,4.375,0.8850612031567836,5.0,0.0,0.0,0.0,0.09469716913370896,0.0812344709693796,0.09469716913370896,0.0812344709693796,7.46199562968076e-17,2.2687290301138095e-17,7.46199562968076e-17,2.2687290301138095e-17,2.0179083965812326e-10,8.952827552346718e-11,2.0179083965812326e-10,8.952827552346718e-11,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
raw,1,16,0.0946925941832476,0.08120798010964048,7.056692101517611e-07,1.3165178125500768e-06,1.288198877294186e-05,6.551777637567774e-06,5.9375,3.3954626587059775,12.125,0.806225774829855,1.0,0.0,0.09469259418324745,0.08120798010964463,0.09469259418324745,0.08120798010964463,7.056692101517783e-07,1.316517812550104e-06,7.056692101517783e-07,1.316517812550104e-06,1.2881988772942037e-05,6.551777637567847e-06,1.2881988772942037e-05,6.551777637567847e-06,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
raw,2,16,0.09463933162592293,0.08110644966125317,1.4430249285778434e-05,7.924278171262752e-06,7.489654506845196e-05,2.3414895296760227e-05,9.1875,3.563121290853475,15.0625,0.7719024117939607,2.0,0.0,0.09463933162593821,0.08110644966128631,0.09463933162593821,0.08110644966128631,1.443024928577858e-05,7.92427817126283e-06,1.443024928577858e-05,7.92427817126283e-06,7.489654506845235e-05,2.341489529676032e-05,7.489654506845235e-05,2.341489529676032e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
raw,3,16,0.09460898572151236,0.08112145730980418,1.329172827938842e-05,7.177092029880841e-06,7.697380697074006e-05,2.1791513985507884e-05,9.125,4.924428900898052,18.1875,0.8341662504161466,3.0,0.0,0.09460898572154373,0.08112145730988211,0.09460898572154373,0.08112145730988211,1.329172827938859e-05,7.177092029880961e-06,1.329172827938859e-05,7.177092029880961e-06,7.697380697074054e-05,2.179151398550804e-05,7.697380697074054e-05,2.179151398550804e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
raw,4,16,0.09457151310672973,0.08086438635091954,9.000038071216427e-06,2.6283119622760708e-06,6.911382812041796e-05,2.563708025195111e-05,12.4375,4.732423621500228,20.5625,1.2632629707758134,4.0,0.0,0.09457151310677353,0.0808643863509714,0.09457151310677353,0.0808643863509714,9.000038071216537e-06,2.6283119622760924e-06,9.000038071216537e-06,2.6283119622760924e-06,6.911382812041836e-05,2.5637080251951208e-05,6.911382812041836e-05,2.5637080251951208e-05,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
