exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2a,L2,model_L2.pt,0,5,2,4,causal,0.95,0.001,8,0.01,0,0.0,5.0,5.0,5.0,2.359457753322358,3.0116186638114155,2578.1064621902738,0.9999978710530575,1.0,0.001459091135767319,0.001459091135767319,"[1142.7103723079886, 639.0806784854939, 572.7079607352723, 301.66124985783273, 181.74930379099482, 0.5325737567685442, 0.5241121494003763, 0.40279549421362265]",1.097703817862105,0.7724023004447134,0.445792291890068,3.8620115022235666,"[0, 1, 2, 3, 4]","[0.8649406813861263, 1.097703817862105, 0.445792291890068, 0.835763251491738, 0.6178114595935291]"
2a,L2,model_L2.pt,0,5,2,4,causal,0.95,0.001,8,0.01,0,1.0,16.0,12.0,16.0,5.153884597335964,8.901428369448228,43.77729110431066,0.9282650500487207,0.9601283526601108,0.3297672007109949,0.2678338103213983,"[16.866871800623127, 12.248007233255528, 8.378223559912175, 7.318758018800383, 6.337293790527529, 6.161057023192132, 5.030847763291723, 4.439014277908377]",1.396456340281624,0.49739033707459157,0.045613014632059155,7.958245393193467,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.7929495398310633, 1.396456340281624, 1.0654805184651157, 0.4868072349638061, 1.087488701861288, 0.32446607311873854, 0.49620450022476753, 0.2509860731088762, 0.6386816633769239, 0.17075966827878555, 0.3786479724548769, 0.2248054391438132, 0.25014613453754125, 0.15466384728686802, 0.19408867162731855, 0.045613014632059155]"
2a,L2,model_L2.pt,0,5,2,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,9.0,16.0,2.450578110568271,4.26172306386408,259.85844564267285,0.9916148003477464,0.9551891362438027,0.22982670725845858,0.09157073578525854,"[135.56458661135017, 69.4317954985915, 39.7897674671041, 33.39014602669582, 32.42494230767531, 29.91784899687318, 20.419497333830538, 19.825469831564867]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,1,5,2,4,causal,0.95,0.001,8,0.01,0,0.0,5.0,5.0,5.0,2.783288766307728,3.3233728712789876,2887.946553347203,0.9999979213391301,1.0,0.0014417561755982607,0.0014417561755982607,"[1069.2401665456184, 754.1829386013783, 572.9898943569203, 394.6334095517511, 138.00921845435525, 0.7085881399126099, 0.5884926618828829, 0.4254312015967053]",0.5326813086837878,0.4724669635009387,0.3994722951902407,2.3623348175046934,"[0, 1, 2, 3, 4]","[0.5318323516583656, 0.5326813086837878, 0.4024397412916498, 0.49590912068064946, 0.3994722951902407]"
2a,L2,model_L2.pt,1,5,2,4,causal,0.95,0.001,8,0.01,0,1.0,16.0,13.0,16.0,8.237865885004888,12.698230551195254,26.15932769842489,0.9290928323646095,0.9556955242655911,0.3347687836132553,0.2662839980836043,"[7.515953914309107, 5.279705416634372, 4.793535278443544, 4.263415904407709, 4.100977054956584, 3.6742679474401583, 3.266866577118514, 2.8154156817304434]",1.5751597742640238,0.269681062934863,0.06379973108642105,4.31489700695781,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.5751597742640238, 0.23712525121626418, 0.20133766749031162, 0.18605467305474285, 0.21475534839457064, 0.26459080040402216, 0.2942572748521645, 0.22255597575100866, 0.21628633440236794, 0.15405426509842163, 0.16055404914937715, 0.1891651242145213, 0.1393298209937835, 0.12724503182133495, 0.06862588476447226, 0.06379973108642105]"
2a,L2,model_L2.pt,1,5,2,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,13.0,16.0,8.685288313137264,11.97470795141801,47.02819868850755,0.9684753510341353,0.9576718378071364,0.26929246314040667,0.17755182050844823,"[11.795526719065943, 9.546967724627914, 7.606398536468143, 7.396814945482608, 6.847729138855845, 5.895115656427576, 5.634637344605782, 5.112638846402221]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,2,5,2,4,causal,0.95,0.001,8,0.01,0,0.0,5.0,5.0,5.0,1.8511861241765344,2.4409943285696825,1699.212802114269,0.999993539493217,1.0,0.002541752699037505,0.002541752699037505,"[940.7783642541647, 466.0991421967856, 318.7169817004279, 179.832890801937, 110.82505043177521, 0.6051924566152884, 0.5736712932584285, 0.5289444179410641]",0.4946431145215571,0.39859123240065936,0.3086318785173002,1.9929561620032967,"[0, 1, 2, 3, 4]","[0.4631760201683735, 0.3872323598210837, 0.33927278897498236, 0.4946431145215571, 0.3086318785173002]"
2a,L2,model_L2.pt,2,5,2,4,causal,0.95,0.001,8,0.01,0,1.0,16.0,13.0,16.0,3.6879063779863404,6.602691362712347,17.410085852416792,0.8865343037018071,0.9688409252142091,0.37561853650665317,0.3368466955429273,"[8.840188803633708, 5.148835889414146, 4.4297593342668975, 3.2301639202563703, 2.4114906016528357, 2.14272524126342, 1.810742711036371, 1.6487312947152108]",0.9537272805550798,0.1371748779968807,0.029465531992544158,2.194798047950091,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.9537272805550798, 0.07649738813721925, 0.16431934867610687, 0.1210926836620746, 0.1177227680433202, 0.12010089293239222, 0.045479820111967634, 0.04978549030436599, 0.10215430682168636, 0.03599054406322701, 0.06481582858340759, 0.14368170818916148, 0.0507526233549608, 0.04049398225560306, 0.029465531992544158, 0.07871785026697396]"
2a,L2,model_L2.pt,2,5,2,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,14.0,16.0,7.102806071735461,10.613975090887903,54.786790457397494,0.9459444226323759,0.9597719559793356,0.30349476312183826,0.2324985534742612,"[19.044203433423775, 14.448621360670181, 11.323893888085388, 10.85421294499143, 9.221607988204036, 7.889974979839559, 7.34665309964765, 6.473970192014051]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,3,5,2,4,causal,0.95,0.001,8,0.01,0,0.0,5.0,5.0,5.0,2.816005719743827,3.397644883380323,1821.3701047704349,0.9999956106948874,1.0,0.0020950668515830203,0.0020950668515830203,"[679.8578764736478, 521.5844069077833, 319.6310776176649, 261.12062580441557, 138.8094459895003, 0.646876003562902, 0.5868579291239696, 0.4239885497859685]",0.5809453362654824,0.3846695653366685,0.2248720172769281,1.9233478266833426,"[0, 1, 2, 3, 4]","[0.3548053679271467, 0.5809453362654824, 0.2248720172769281, 0.34461211609301434, 0.41811298912077116]"
