exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2a,L2,model_L2.pt,depth,2,5,128,2,4,0,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,47,26,0.5531914893617021,5.2,5,7.0,8.666666666666666,37,12.333333333333334,1.396456340281624,0.423264212506435,11.820256895417034,0.7186989572660911,2.3735149383594216e-13,0.718698957266108,0.6824170690202628,1.0,0.021392667082395858,0.008223939596197369,0.022536796700124855,0.008149196966482346,0.9999703169132352,0.6665804892082589,0.9999691226385963,0.6665717122605129,"[5, 16, 0]","[5, 16, 16]",0.6142769887557422,0.007042149106243683,87.2286257345949,0.08458957481950381
2a,L2,model_L2.pt,depth,2,5,128,2,4,1,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,47,25,0.5319148936170213,5.0,5,7.0,10.333333333333334,37,12.333333333333334,1.5751597742640238,0.24738267547860057,6.677231824462503,0.14392702469202898,1.2440485614643422e-11,0.14392702469131627,0.9796622760766034,1.0,0.01016958387051098,0.004467081702386264,0.010006271641693433,0.004096822151199512,0.9999735230413302,0.6666412170964436,0.9999683188100549,0.6666402684708757,"[5, 16, 0]","[5, 16, 16]",0.20468201226573474,0.007665760144633832,26.700810931191967,0.08335914972707902
2a,L2,model_L2.pt,depth,2,5,128,2,4,2,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,47,26,0.5531914893617021,5.2,5,7.0,10.666666666666666,37,12.333333333333334,0.9537272805550798,0.17858870346584668,4.187754209953388,0.17173674793061153,1.4591836498284616e-13,0.1717367479306072,0.9738005217695588,1.0,0.014198310150912675,0.0065426805634661465,0.012170571965583243,0.004832416966073083,0.9999524797370909,0.6666172262170252,0.9999565825465041,0.6666275061309169,"[5, 16, 0]","[5, 16, 16]",0.21062156420070355,0.026270121127669764,8.017533043609012,0.08889407869285638
2a,L2,model_L2.pt,depth,2,5,128,2,4,3,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,47,26,0.5531914893617021,5.2,5,7.0,10.333333333333334,37,12.333333333333334,0.5809453362654824,0.16171188958514504,3.530805481383608,0.12281378642113006,1.1457455654681778e-13,0.12281378642116479,0.9849472439907399,1.0,0.013100460661861962,0.005900661106200509,0.013412350012558893,0.005483591865788427,0.9999532848692516,0.6666224900507974,0.9999538678628118,0.6666213060836413,"[5, 16, 0]","[5, 16, 16]",0.3296185538348113,0.006403177826961856,51.47733871248846,0.11977535430561798
2a,L4,model_L4.pt,depth,4,5,128,4,4,0,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,46,10,0.2127659574468085,2.0,5,2.0,12.8,72,14.4,0.36662475768090247,0.03421604575640465,1.372943910389564,0.023185254094061736,9.812731417356943e-14,0.02318525409409586,0.9994556087175089,1.0,0.012006432592906334,0.0075972392502659265,0.01253924063802884,0.006828361376132815,0.9999886576159795,0.7999675916586515,0.9999900387935118,0.7999745355498231,"[6, 4, 0, 0, 0]","[8, 16, 16, 16, 16]",0.02332991004777446,0.014871900745351451,1.5687241629195752,0.01992604491325591
2a,L4,model_L4.pt,depth,4,5,128,4,4,1,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,46,10,0.2127659574468085,2.0,5,2.0,13.4,72,14.4,0.4252209805484818,0.040042951637032934,1.6711778114027116,0.017146910706096554,1.4853810635673917e-13,0.01714691070609921,0.9997028770802603,1.0,0.016418815571748693,0.010359833995149314,0.014052454327019437,0.006938885720344535,0.9999815843980973,0.7999411619149127,0.9999880129262678,0.7999752857275712,"[6, 4, 0, 0, 0]","[8, 16, 16, 16, 16]",0.008922227657659926,0.005800872041460714,1.5380838594421444,0.022206686309731726
2a,L4,model_L4.pt,depth,4,5,128,4,4,2,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,49,11,0.23404255319148937,2.2,5,2.2,12.8,72,14.4,0.4674889868427182,0.039754326047180946,1.6831464075286122,0.01709483376415754,4.852979107515651e-14,0.01709483376416185,0.9997071365151756,1.0,0.01613972462958702,0.009808341090737738,0.014207615804131157,0.007852968222032252,0.9999669877248917,0.7999422451807642,0.9999787462882188,0.7999638888229347,"[5, 6, 0, 0, 0]","[8, 16, 16, 16, 16]",0.00775554869252737,0.01007485197662672,0.769792817851811,0.018077999119102066
2a,L4,model_L4.pt,depth,4,5,128,4,4,3,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,53,5,0.10638297872340426,1.0,5,2.4,12.4,69,13.8,0.4884208182265297,0.08159234584360928,2.346285853835667,0.016741226184817114,1.8088128627599978e-13,0.016741226184854126,0.9997220963963948,1.0,0.012631165546744186,0.005349579926730744,0.012786473749276628,0.00467987423134267,0.9999928869460606,0.7999872591417047,0.9999959339597769,0.7999901005372967,"[5, 7, 0, 0, 0]","[5, 16, 16, 16, 16]",0.008433853279192167,0.003092721996506023,2.72700012762875,0.02175291009372377
2a,L6,model_L6.pt,depth,6,5,128,6,4,0,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,53,5,0.10638297872340426,1.0,5,1.1428571428571428,11.571428571428571,101,14.428571428571429,0.5594843766748919,0.06758844652869885,2.562115379249065,0.01096479074092555,1.7739032082377504e-13,0.01096479074088715,0.999880321286039,1.0,0.025456802720891826,0.013096181089056283,0.02911543953760777,0.014666741747657254,0.9999917897427784,0.857039071298707,0.999988649451828,0.8570104653426748,"[5, 3, 0, 0, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16]",0.015734929063965453,0.014077814845927168,1.1177110394030862,0.01030469075538872
2a,L6,model_L6.pt,depth,6,5,128,6,4,1,task,causal,0.95,0.001,8,0.01,0,0.001,8,16,16,41,5,0.10638297872340426,1.0,5,0.8571428571428571,13.428571428571429,103,14.714285714285714,0.7487100275628543,0.030379417947888742,1.554565372021821,0.01116534595299902,8.060755069486915e-14,0.011165345952998815,0.9998748044641947,1.0,0.03678615344846201,0.017279759411369007,0.03127977913679256,0.014415915462373632,0.999988354019767,0.8569631143645451,0.9999930776583471,0.8570071449268675,"[5, 1, 0, 0, 0, 0, 0]","[7, 16, 16, 16, 16, 16, 16]",0.018643238898944592,0.02045243983479627,0.9115410703825352,0.013063975693941831
