exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2a,L2,model_L2.pt,0,5,2,4,causal,0.95,0.001,8,0.05,0,0.0,5.0,4.0,5.0,2.628573279606419,3.3302524370515263,2437.318817530103,0.9999989243716596,0.9614457209106556,0.1963550693198662,0.001037125036006232,"[1803.499157846137, 1102.4719263157042, 930.5393153831524, 544.3650472910534, 447.91177492923504, 0.7414012392527911, 0.6694051477464454, 0.6409341196523769]",0.8685680492605717,0.6766417315158315,0.5003602576753781,3.3832086575791576,"[0, 1, 2, 3, 4]","[0.8685680492605717, 0.5658099100749654, 0.6871712812371907, 0.7612991593310517, 0.5003602576753781]"
2a,L2,model_L2.pt,0,5,2,4,causal,0.95,0.001,8,0.05,0,1.0,16.0,11.0,16.0,5.2661108202691,9.185364447969663,42.29825735019073,0.9573235307803141,0.9584061914073547,0.2872197780797774,0.2065828386378826,"[26.104037665167176, 19.983542359228895, 13.899483162333038, 10.956719091144812, 9.037050236648202, 8.808185982434068, 7.565997422535472, 7.152037419692563]",1.8424385494221405,0.5202457527505131,0.1916240430216828,8.32393204400821,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.6809368022606607, 1.580885723440695, 1.8424385494221405, 0.47122232547096243, 0.22350149908279293, 0.2227214774826482, 0.5890526985364609, 0.1916240430216828, 0.5592109290991518, 0.3843641352756977, 0.2957170124841799, 0.30038906678361116, 0.2806221057677628, 0.19782705666993142, 0.2834906919429005, 0.21992792726693108]"
2a,L2,model_L2.pt,0,5,2,4,causal,0.95,0.001,8,0.05,0,2.0,0.0,9.0,16.0,3.2522963280594817,5.423669094573156,244.24729099656554,0.9924798520319212,0.963128710212305,0.21003371205784177,0.08671878670783363,"[184.22622721866315, 120.37212188597496, 66.36911714716912, 58.79004160754094, 51.687438703162584, 50.39848191763946, 36.17614574000356, 31.53566958045779]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,1,5,2,4,causal,0.95,0.001,8,0.05,0,0.0,5.0,5.0,5.0,2.252629358522738,2.8211727778762605,2618.9728985846464,0.9999988339148943,1.0,0.0010798542057516417,0.0010798542057516417,"[2471.751679739233, 1653.4474491239373, 898.5284956965769, 525.176220912224, 453.0223786462179, 0.8054088524641267, 0.7096415488206492, 0.6621579347626584]",0.6243637342071335,0.5071276212635701,0.4123218332510272,2.5356381063178506,"[0, 1, 2, 3, 4]","[0.44817205070939964, 0.6243637342071335, 0.47030641206321644, 0.4123218332510272, 0.5804740760870736]"
2a,L2,model_L2.pt,1,5,2,4,causal,0.95,0.001,8,0.05,0,1.0,14.0,13.0,16.0,6.539562931697452,11.196505975025152,25.958815991642034,0.9431775435368712,0.959967719788093,0.30753862225023393,0.23837461371364033,"[16.85270101882199, 10.193184720281455, 9.17989998766667, 8.854577757330336, 7.261545824086063, 6.772639738791593, 5.960880578971281, 5.561575703169342]",1.238649909778381,0.19593447121286633,0.05095162400701651,3.063080258031261,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15]","[1.238649909778381, 0.048711388220770806, 0.20150796542812346, 0.1698215955603799, 0.2793712622621612, 0.12860159397920984, 0.2331620170358045, 0.11070556066536616, 0.08703386738220235, 0.13241616562167097, 0.05095162400701651, 0.08620470206766893, 0.10504204816107428, 0.023159893153829443, 0.16673502579692165, 0.07287692028528032]"
2a,L2,model_L2.pt,1,5,2,4,causal,0.95,0.001,8,0.05,0,2.0,0.0,13.0,16.0,8.567225888169736,12.095663987633548,47.350663811287994,0.9533405552341767,0.9537216977997397,0.30129458521638536,0.2160079738477792,"[26.184510417513604, 22.487654335870992, 20.796488416861525, 15.316467397797954, 13.617719321597914, 12.836096600855734, 11.97225157211136, 10.89497821372206]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,2,5,2,4,causal,0.95,0.001,8,0.05,0,0.0,5.0,5.0,5.0,2.5519004855559424,3.2343649453796948,1474.8808050939356,0.999996456038218,1.0,0.0018825413095009324,0.0018825413095009324,"[1098.6655558625107, 746.0037438326242, 444.82242679224544, 342.8089987308155, 282.30568618876225, 0.7528605154629997, 0.7239376756557092, 0.7072398401909191]",0.6789216792136302,0.387976964414846,0.21189502032439222,1.9398848220742302,"[0, 1, 2, 3, 4]","[0.3988900867574667, 0.6789216792136302, 0.25660198313495947, 0.21189502032439222, 0.3935760526437817]"
2a,L2,model_L2.pt,2,5,2,4,causal,0.95,0.001,8,0.05,0,1.0,10.0,12.0,16.0,4.319618484504666,8.139160692373867,17.21793861121381,0.9354332261850883,0.9583309328391971,0.32178471645070084,0.25409992879752713,"[10.543809031847774, 6.560798862388559, 5.211758556268011, 3.8071148650186233, 3.243365494281806, 3.0981374864411175, 2.4501318329938204, 2.314430336908333]",0.9607641730349501,0.13053936753527778,0.0518845700014378,1.9181422634782295,"[0, 1, 2, 3, 4, 5, 6, 8, 12, 15]","[0.9607641730349501, 0.12714934690856045, 0.1693644821499268, 0.0680659681828996, 0.14298989948267404, 0.11408786052096227, 0.07923919674202085, 0.025866374769350033, 0.13468981216435122, 0.04303711915047843, 0.024331518989446924, 0.0438474409037551, 0.0518845700014378, 0.01337382179467937, 0.02003134147850555, 0.06990695429044617]"
2a,L2,model_L2.pt,2,5,2,4,causal,0.95,0.001,8,0.05,0,2.0,0.0,14.0,16.0,5.489086963730375,10.512258936260027,63.23865088287218,0.9323505313701519,0.9691040162398,0.31057262517143025,0.2600951145828155,"[37.13148972909231, 18.86517814039956, 16.765433338634264, 15.287628604448784, 13.82195607507547, 12.798589582586219, 11.68626010646487, 10.864525923555103]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,3,5,2,4,causal,0.95,0.001,8,0.05,0,0.0,5.0,5.0,5.0,3.2293033351579483,3.8838114115386526,1540.8517976968903,0.9999970533016099,1.0,0.001716594998828212,0.001716594998828212,"[956.6357004502729, 649.5340406074497, 567.5941657343848, 415.77225916354024, 321.2984003145101, 0.840065469761618, 0.7171198744896333, 0.6185117577691336]",0.6605170314926353,0.43019882666542086,0.27499464197819556,2.1509941333271043,"[0, 1, 2, 3, 4]","[0.37311419201988244, 0.4035150617682574, 0.6605170314926353, 0.27499464197819556, 0.43885320606813344]"
2a,L2,model_L2.pt,3,5,2,4,causal,0.95,0.001,8,0.05,0,1.0,11.0,12.0,16.0,5.375917929371802,10.198821263673734,13.575900225567118,0.9171500266454916,0.951975989745928,0.3562235192104015,0.28783671300670266,"[8.377108624290502, 4.773483130253173, 4.376683732348863, 3.873163239060659, 2.924162600802916, 2.8040946909699644, 2.6333144620027316, 2.1052849253304116]",0.6140951399639951,0.11595953501610626,0.05073495898804282,1.653990320550422,"[0, 1, 2, 3, 5, 7, 10, 11, 13, 14, 15]","[0.6140951399639951, 0.05073495898804282, 0.1522383080400838, 0.19765978916281227, 0.04762829379553251, 0.10075253014667637, 0.04221076764271603, 0.08998312845262986, 0.04131408403140457, 0.023691784415101762, 0.0594675933030446, 0.07046060904979694, 0.046517309822523056, 0.06917849909917549, 0.15177033352462505, 0.09764943081953995]"
2a,L2,model_L2.pt,3,5,2,4,causal,0.95,0.001,8,0.05,0,2.0,0.0,15.0,16.0,10.467262315564438,15.119907964651308,37.228252721846154,0.8909474230579402,0.9737874718094083,0.3638771240203206,0.33023109626753694,"[17.93508997390175, 13.296455612686447, 12.03832180043081, 11.347826738496437, 9.787843470039931, 8.900133564523978, 8.118227758405046, 7.830303550974961]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.05,0,0.0,5.0,5.0,11.0,3.210438707827011,3.7681045572219642,925.2547059459973,0.9999900492059277,0.9999983515143512,0.003405769122740433,0.003154487925527956,"[595.6355970501075, 471.06604121216697, 354.24455248985, 246.38964986447303, 170.68675802475525, 0.9253662974020382, 0.8780232307020831, 0.7266848999637292]",0.5025914405320783,0.16759837696423535,0.2583653510092818,1.8160587442578653,"[0, 1, 2, 3, 4]","[0.5025914405320783, 0.30970348501470224, 0.37204294937539345, 0.3733555183264095, 0.2583653510092818, 0.0029766311527398555, 0.001145929206414485, 0.0092301258666555, 0.0022232197012311437, 0.0030417296911283576, 0.008905766730554585]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.05,0,1.0,1.0,14.0,16.0,4.913171908961062,8.976610183267002,4.988437852415667,0.7733502422615393,0.9637646257879002,0.504650763562037,0.47607747031173475,"[2.6831295784667573, 1.6784159565087107, 1.1895615866019527, 1.103966783006397, 0.8648034532724941, 0.8388240616367675, 0.7096823036017836, 0.6832401770799871]",0.18767994896216775,0.017673198838017785,0.18767994896216775,0.18767994896216775,[0],"[0.18767994896216775, 0.027866980662173472, 0.011498462094853053, 0.013025149291633563, 0.007342529997249061, 0.0040344078056244615, 0.0036500386524238432, 0.0021835779690475283, 0.005173544975354943, 0.002465924211011123, 0.002500945403631026, 0.001966413531703462, 0.0029884922118257424, 0.004771996909091375, 0.002568002282080403, 0.0030547664484137384]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.05,0,2.0,1.0,13.0,16.0,5.131474719883979,9.517778606363384,4.142890174658384,0.7859704421295514,0.9501382134937335,0.5032091496147846,0.4626332866000786,"[2.3392069137716867, 1.3131386888064331, 1.227010995592498, 0.8491588518443217, 0.8031212247283283, 0.7444381621348762, 0.6828468790721913, 0.6476284480038685]",0.05154803780291651,0.005354055412238406,0.05154803780291651,0.05154803780291651,[0],"[0.05154803780291651, 0.005975111662759159, 0.007570715183512783, 0.005875207541133598, 0.001974716476547711, 0.0015676645041430087, 0.0009882170267923609, 0.0010306334368526036, 0.000620632538303974, 0.0010981252049316389, 0.0020982925871949245, 0.0013698260379301894, 0.0008830058532333778, 0.0009349078742843508, 0.0012075881956758166, 0.0009222046696024908]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.05,0,3.0,0.0,15.0,16.0,11.364524901563485,14.752473693326648,4.7129304165963335,0.5572242563944344,0.9509745364806375,0.6856339555910625,0.665413964089664,"[1.5732398491594932, 1.5448391908330767, 1.3259751198699532, 1.280090102100706, 1.148108642135934, 1.0562981699855991, 1.0331300278254738, 0.9532035961820909]",0.003401250414608918,0.0012143058458101165,0.0,0.0,[],"[0.0030254037254347447, 0.003401250414608918, 0.0015769639545258419, 0.002156985372279591, 0.0009443011236309344, 0.0004931141180884073, 0.0007875128911010418, 0.0005126077931532888, 0.0008294685638260494, 0.0004967260476435718, 0.001199259415204427, 0.0005143164498468525, 0.0009628873520451987, 0.0010769154731658803, 0.0007021196403018365, 0.0007490611981052812]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.05,0,4.0,0.0,14.0,16.0,10.276038437115979,15.44265475354991,6.9582634559466605,0.7070693893113316,0.9502536026651358,0.5728042994536873,0.5412306446318869,"[3.042695596830298, 2.551609984649838, 2.15505626768126, 1.817996639693546, 1.6336763331175115, 1.4880242141292226, 1.3968557577890435, 1.3177775598894625]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
