checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_damage_mean,causal_max_damage_std,causal_max_keep_mean,causal_max_keep_std,causal_mean_damage_mean,causal_mean_damage_std,causal_min_kept_damage_mean,causal_min_kept_damage_std,causal_sum_kept_damage_mean,causal_sum_kept_damage_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,hidden_s_mean,hidden_s_std,min_explainable_frac_mean,min_explainable_frac_std,n_causal_mean,n_causal_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
H1,0.0,4,5.0,0.0,0.05,0.0,1.3730712866542532,0.5742584254002571,0.0,0.0,0.7490634981988802,0.2258455940299843,0.3533588245847352,0.04218217492690329,3.745317490994401,1.129227970149922,5.0,0.0,0.0,0.0,3.1984887863896776,0.4445746808635981,0.95,0.0,4.75,0.5,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,2.610656375633694,0.5051431887478166,5.0,0.0,0.9898332925947766,0.020333414810446926,0.9999978462320156,1.7824576384924317e-06,0.001379284023389369,0.0005788996081873818,0.05125668928253333,0.10027672025969195,2661.9179323082453,1090.3579941093624
H1,1.0,4,16.0,0.0,0.05,0.0,0.7446155962910526,0.48703340219425323,0.0,0.0,0.05119981125334433,0.032323151975949545,0.7446155962910526,0.48703340219425323,0.7446155962910526,0.48703340219425323,5.0,0.0,1.0,0.0,2.0519139724389155,0.7140463706089162,0.95,0.0,3.75,2.6299556396765835,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.3165126110672736,0.2306543694572132,1.0,0.0,0.9542006357216505,0.00458061138574511,0.9466547446796069,0.031443737035045494,0.22185875824114973,0.07415251591215756,0.3073305287847876,0.05391838683025274,11.213644028346145,5.025976847329206
H1,2.0,4,16.0,0.0,0.05,0.0,0.015835028922738633,0.010036483025558611,0.0,0.0,0.0043512102685415496,0.001580500745831451,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,12.719410073735705,2.7703133624052785,0.95,0.0,14.25,0.9574271077563381,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,7.989642715436067,3.1010671929543174,0.0,0.0,0.9632067571807101,0.011118943537496869,0.767353900436873,0.0882085661161715,0.47541545920344147,0.09399461483458997,0.5064886696107044,0.07919267385067356,3.7863015987973867,1.002455455830365
H1,3.0,4,16.0,0.0,0.05,0.0,0.015093603736724765,0.016606632290543256,0.0,0.0,0.0032164512378886952,0.0019173493722423418,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,14.63797801313456,2.134046695618187,0.95,0.0,14.5,0.5773502691896257,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,9.861730650533122,2.6130651560566562,0.0,0.0,0.9607052570537296,0.0027290662979141665,0.7538154779226984,0.08203358121680582,0.4909349389897274,0.08300528301557335,0.520793923553279,0.07695417811184731,3.7318652624112487,0.9434052300171656
H1,4.0,4,16.0,0.0,0.05,0.0,0.011678469235017815,0.011098943006890046,0.0,0.0,0.002905128260265696,0.0016601560051537924,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,17.18761128351697,2.314972912706563,0.95,0.0,14.75,0.9574271077563381,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,11.7632979979145,3.0803267528224647,0.0,0.0,0.9741334810613715,0.018091769072659122,0.6855255000244062,0.10523749723941517,0.5546812878881136,0.09524122946356534,0.573307243059986,0.08032841105583353,3.7857598832159525,0.909964633027148
H1,5.0,4,16.0,0.0,0.05,0.0,7.900431958007137,13.038582222767412,0.0,0.0,0.49551090448592117,0.8154687388460368,7.900431958007137,13.038582222767412,7.900431958007137,13.038582222767412,5.0,0.0,5.0,0.0,1.9757869960547878,0.5041512009562461,0.95,0.0,3.5,1.7320508075688772,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.2751883540065694,0.14785116797948902,1.0,0.0,0.9621357442194264,0.013156474030341357,0.9620587359030672,0.021401493837894584,0.18882632711270878,0.055207273506887956,0.26762355255757914,0.059172185854952056,11.84234439118245,3.4701512566303627
H1,6.0,4,16.0,0.0,0.05,0.0,0.4764448967799131,0.26533342053000014,0.0,0.0,0.030813151511836088,0.016592392538989507,0.4764448967799131,0.26533342053000014,0.4764448967799131,0.26533342053000014,5.0,0.0,6.0,0.0,1.09240056956045,0.03193068493586864,0.95,0.0,1.0,0.0,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.0212957000108807,0.008040658974263435,1.0,0.0,0.9906841437004197,0.007427041062933344,0.9920656179875016,0.005392779178754756,0.0857854200441992,0.02769461368420424,0.1256079498038641,0.04274126108062881,38.72918385924871,11.736122075954265
H1,7.0,4,16.0,0.0,0.05,0.0,0.01586277789661316,0.013883793792703344,0.0,0.0,0.0014381600656994723,0.0009011293972661102,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,4.881274075896768,2.224262256825939,0.95,0.0,11.0,2.70801280154532,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,2.208848495716344,0.7554790396306432,0.0,0.0,0.9557663623037833,0.004447880002683151,0.8336849437722804,0.07101684292016949,0.4000266083598442,0.09160617760701344,0.44569296159692684,0.07775336970674271,9.04277112468349,2.0467069809860785
H1,8.0,4,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,5.114587285740452,2.3169138209546456,0.95,0.0,11.0,2.70801280154532,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,2.293169853588152,0.7991292860514915,0.0,0.0,0.9537998442422163,0.003769121991895344,0.8291099453730248,0.07134496152741757,0.4058091985030286,0.09098680517738512,0.4526869911771809,0.07588698643144802,8.873212434067355,1.962042805803461
H2,0.0,4,7.25,4.5,0.05,0.0,43.11329074350597,48.854485845744186,0.0,0.0,10.346445899713009,10.619616867878618,1.2626102504772148,1.4131141818201993,53.40588539756064,51.1504435857945,5.0,0.0,0.0,0.0,3.656012334408654,0.17109180667390508,0.95,0.0,5.0,0.0,0.001,0.0,8.0,0.0,2.0,0.0,8.0,0.0,3.1608035768230454,0.17133054962876224,5.0,0.0,0.9999983602604539,3.2794790921775174e-06,0.9999936203811024,1.1405973767218507e-05,0.001828311049277198,0.002012261614770464,0.0019870732528050575,0.002329766745606512,4026.4444128439845,2231.064118542568
