exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2a,L2,model_L2.pt,depth,2,5,128,2,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,47,24,0.5106382978723404,4.8,5,7.0,8.0,37,12.333333333333334,1.8424385494221405,0.3989624947554482,11.707140701587367,0.7537400842548376,4.5429025389477963e-11,0.7537400842524781,0.6497696071219059,1.0,0.021281460025513798,0.007909164688698076,0.022649913155355042,0.00825901214005524,0.9999713652946396,0.6665887413822823,0.9999704857821152,0.6665806635119873,"[5, 16, 0]","[5, 16, 16]",0.6142769887557422,0.007042149106243683,87.2286257345949,0.08458957481950381
2a,L2,model_L2.pt,depth,2,5,128,2,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,43,22,0.46808510638297873,4.4,5,6.333333333333333,10.333333333333334,37,12.333333333333334,1.238649909778381,0.23435403082547882,5.598718364349112,0.14868496340942522,8.362436754358772e-12,0.14868496340964138,0.977619596110411,1.0,0.011303497957649134,0.005167599753244286,0.009790310223116097,0.004460424504271816,0.9999642958700754,0.6666351456805876,0.9999737424439175,0.6666429389147884,"[5, 14, 0]","[5, 16, 16]",0.20468201226573474,0.007665760144633832,26.700810931191967,0.08335914972707902
2a,L2,model_L2.pt,depth,2,5,128,2,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,35,20,0.425531914893617,4.0,5,5.0,10.333333333333334,37,12.333333333333334,0.9607641730349501,0.17283877731670794,3.8580270855524597,0.15191583808271475,1.6530877939800575e-13,0.15191583808271028,0.9792296649881947,1.0,0.016733161253985326,0.0074023161698762744,0.016738559805521122,0.007079540651766529,0.9999528659222371,0.6666042855927329,0.9999524444567849,0.6666041149835608,"[5, 10, 0]","[5, 16, 16]",0.21062156420070355,0.026270121127669764,8.017533043609012,0.08889407869285638
2a,L2,model_L2.pt,depth,2,5,128,2,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,37,21,0.44680851063829785,4.2,5,5.333333333333333,10.666666666666666,37,12.333333333333334,0.6605170314926353,0.1820527872271757,3.8049844538775264,0.12833394733165723,1.4037564358593517e-13,0.12833394733169515,0.9838835089751793,1.0,0.015791918296932248,0.0073611785111734164,0.015478626178230172,0.006913146602642886,0.9999530943019644,0.6666094647283848,0.9999542460694284,0.6666114816530343,"[5, 11, 0]","[5, 16, 16]",0.3296185538348113,0.006403177826961856,51.47733871248846,0.11977535430561798
2a,L4,model_L4.pt,depth,4,5,128,4,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,32,7,0.14893617021276595,1.4,5,1.4,12.2,75,15.0,0.5025914405320783,0.038367987412060336,2.05528673102295,0.026184040185173077,7.109135472702224e-14,0.026184040185194782,0.9993061639965288,1.0,0.013786049457559955,0.008701375146299303,0.013981485614099344,0.008420625290770506,0.9999820530446691,0.7999512906613849,0.9999844133775757,0.7999554164404491,"[5, 1, 1, 0, 0]","[11, 16, 16, 16, 16]",0.02332991004777446,0.014871900745351451,1.5687241629195752,0.01992604491325591
2a,L4,model_L4.pt,depth,4,5,128,4,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,29,6,0.1276595744680851,1.2,5,1.2,13.0,76,15.2,0.42665234033266,0.030941718031110132,1.7885505655513063,0.018732467379588162,1.3197474533481901e-13,0.01873246737958442,0.9996447136445978,1.0,0.019486794659298513,0.011680270271356008,0.01515085384780522,0.008720919343203142,0.999977777309707,0.7999180914054451,0.9999856746295507,0.7999551731481747,"[5, 1, 0, 0, 0]","[12, 16, 16, 16, 16]",0.008922227657659926,0.005800872041460714,1.5380838594421444,0.022206686309731726
2a,L4,model_L4.pt,depth,4,5,128,4,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,29,6,0.1276595744680851,1.2,5,1.2,12.0,73,14.6,0.5001560840815304,0.046690241247337706,2.099161198853162,0.01784606521792336,5.672474727415794e-14,0.017846065217929433,0.999680912772435,1.0,0.015189972739924475,0.009495897538050404,0.015440239583943423,0.009162933273599887,0.9999792307358523,0.7999438878239126,0.9999795095945504,0.7999473363596679,"[5, 1, 0, 0, 0]","[9, 16, 16, 16, 16]",0.00775554869252737,0.01007485197662672,0.769792817851811,0.018077999119102066
2a,L4,model_L4.pt,depth,4,5,128,4,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,29,5,0.10638297872340426,1.0,5,1.2,10.2,69,13.8,0.5538786679316684,0.09293359964315674,2.6173271562270504,0.01606208541978024,1.8579678624121866e-13,0.01606208541978438,0.9997438178852223,1.0,0.0116832779706348,0.005781892922246328,0.01283339299982787,0.006085450544009724,0.9999861133963535,0.79998022516315,0.9999872217352894,0.7999781827053544,"[5, 1, 0, 0, 0]","[5, 16, 16, 16, 16]",0.008433853279192167,0.003092721996506023,2.72700012762875,0.02175291009372377
2a,L6,model_L6.pt,depth,6,5,128,6,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,41,5,0.10638297872340426,1.0,5,0.8571428571428571,12.142857142857142,101,14.428571428571429,3.901850874508157,0.17053180518657163,6.126577439533034,0.010657608223202776,1.6786847366308125e-13,0.010657608223171754,0.9998865928433857,1.0,0.0220867759989455,0.01196176603248823,0.024706230481328088,0.012945908826969488,0.9999944035029332,0.8570577946147308,0.9999916924927406,0.8570419392284588,"[5, 1, 0, 0, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16]",0.015734929063965453,0.014077814845927168,1.1177110394030862,0.01030469075538872
2a,L6,model_L6.pt,depth,6,5,128,6,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,41,5,0.10638297872340426,1.0,5,0.8571428571428571,12.142857142857142,103,14.714285714285714,1.281688983243354,0.07292002045496405,3.6686984586806686,0.011152452842674394,8.928144741298833e-14,0.011152452842672154,0.9998752163111516,1.0,0.056190887911165346,0.023040835459965766,0.03990910156504831,0.016899228204280466,0.9999746365119454,0.8568172374380035,0.99998700037869,0.8569665694195744,"[5, 1, 0, 0, 0, 0, 0]","[7, 16, 16, 16, 16, 16, 16]",0.018643238898944592,0.02045243983479627,0.9115410703825352,0.013063975693941831
