checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_damage_mean,causal_max_damage_std,causal_max_keep_mean,causal_max_keep_std,causal_mean_damage_mean,causal_mean_damage_std,causal_min_kept_damage_mean,causal_min_kept_damage_std,causal_sum_kept_damage_mean,causal_sum_kept_damage_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,hidden_s_mean,hidden_s_std,min_explainable_frac_mean,min_explainable_frac_std,n_causal_mean,n_causal_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
H1,0.0,16,5.125,0.3415650255319866,0.05,0.0,1.3173472017066135,0.9338354537005489,0.0,0.0,0.7156876282877727,0.2987423267386461,0.36344540518710644,0.15139297539262872,3.628311672553161,1.4438458725549468,5.0,0.0,0.0,0.0,3.5331828502010563,0.39612846836784754,0.95,0.0,4.8125,0.4031128874149275,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,2.934340372445032,0.4944041602921242,5.0,0.0,0.9942227103495227,0.013775124955330892,0.9999979564676211,2.0528519981851047e-06,0.0013178200210406342,0.0005721377652122524,0.03326608102741204,0.07059888723664572,2807.7853963595035,809.1182011413813
H1,1.0,16,16.0,0.0,0.05,0.0,1966.116658676958,7856.480676181859,0.0,0.0,122.88643985398467,491.0309122100001,1966.0785902258665,7856.490836018965,1966.1213715247757,7856.47941860547,5.0,0.0,1.0,0.0,1.906570846959774,0.5047919486126115,0.95,0.0,4.0,2.7325202042558927,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.278947920735419,0.17619722860171846,1.0625,0.25,0.959179010263971,0.0077864204705745295,0.9552088671633552,0.023929115325895627,0.20453502203576676,0.05615747000440566,0.2852020250286249,0.05011183489470275,12.10396175066317,3.820223271724308
H1,2.0,16,16.0,0.0,0.05,0.0,0.015493027627282288,0.013458269543774265,0.0,0.0,0.0037936435858217134,0.0016570802859147402,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,13.357037052037771,3.846213072653159,0.95,0.0,13.875,1.2041594578792296,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,8.89557127074648,3.251408275332467,0.0,0.0,0.9628956014262886,0.007966531010587473,0.7640029054730242,0.0653891193846588,0.4812412136601426,0.06853895283172494,0.511099995024026,0.05931165050680565,3.797341076386127,0.5750155647794464
H1,3.0,16,16.0,0.0,0.05,0.0,0.04098869107942197,0.13961437469065394,0.0,0.0,0.004380365900480009,0.008891978049251185,0.03526786024511947,0.14107144098047786,0.03526786024511947,0.14107144098047786,5.0,0.0,3.0,0.0,12.816037968407985,4.8726302369282415,0.95,0.0,13.4375,2.1899391163530857,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,8.415742635390679,3.9736968525699172,0.0625,0.25,0.9623636872270864,0.007466958548275618,0.7712887877380188,0.08000048282055719,0.46984343002745416,0.09213534115679572,0.5021739389853692,0.07839349562751799,4.079353465328152,1.0502734345124318
H1,4.0,16,16.0,0.0,0.05,0.0,0.005073356465914206,0.003157231038105415,0.0,0.0,0.001855659699629991,0.0006265086154407229,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,16.225701357571776,4.969686910787052,0.95,0.0,14.3125,0.7932002689527196,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,11.023634771123824,4.333457206443551,0.0,0.0,0.9642014951768609,0.00721149016577417,0.6983222487779774,0.09027306499737407,0.5431967440989298,0.08400030744245209,0.5668418370137072,0.07638171734119188,3.893630720432136,0.5322397344793818
H1,5.0,16,16.0,0.0,0.05,0.0,2.2152830981204645,3.5676148433194093,0.0,0.0,0.1399697983035732,0.22310927839344105,2.2150798509743272,3.567749354209174,2.2150798509743272,3.567749354209174,5.0,0.0,5.0,0.0,2.7860739244325434,4.475501479300643,0.95,0.0,2.625,3.6124783736376886,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,2.074062313997529,3.4922877629539357,0.9375,0.25,0.9621456935536931,0.01038959304185572,0.9485656887529295,0.1017344040834121,0.18750466620076645,0.1317626609729211,0.27253548456602916,0.11677636190590249,13.885944500118544,5.28216662423395
H1,6.0,16,16.0,0.0,0.05,0.0,0.6685103310913494,0.5508613171673219,0.0,0.0,0.042721341764457015,0.03447116242977225,0.6685103310913494,0.5508613171673219,0.6685103310913494,0.5508613171673219,5.0,0.0,6.0,0.0,1.165805739694515,0.18872122962645022,0.95,0.0,1.0625,0.25,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.0419130918660642,0.05197455491784466,1.0,0.0,0.9898948334605875,0.010060353775665668,0.9900692760373628,0.010835148715817724,0.08902339416480796,0.04625216972511628,0.12749857133312276,0.06183111448349785,43.32438006348396,18.336351932896797
H1,7.0,16,16.0,0.0,0.05,0.0,0.010804135438805285,0.00397045716702818,0.0,0.0,0.0009922279250435075,0.0002423040900451566,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,3.548983196405171,1.741724360348846,0.95,0.0,8.3125,3.6827299656640586,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.7902659330259039,0.6114961243269292,0.0,0.0,0.9564585336536378,0.006708443044742607,0.8794050154113678,0.05266106300075058,0.3378287981365533,0.08305299665946339,0.3922351107865217,0.07250822027338083,11.233092448649817,3.6938102400366253
H1,8.0,16,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,3.7009970911430354,1.8228493230762401,0.95,0.0,8.5,3.847076812334269,0.001,0.0,8.0,0.0,1.0,0.0,8.0,0.0,1.8387320919978443,0.6390271546279702,0.0,0.0,0.9556593861761011,0.00648053094143633,0.8742327862270641,0.0547203520046211,0.3450623147618609,0.08453299287489184,0.399384815849237,0.072729657136452,10.977510373028089,3.5855567450403916
H2,0.0,16,6.4375,3.244867742553873,0.05,0.0,49.808839368588295,83.91681318255901,0.0,0.0,12.74674924956325,17.287086338655524,0.5442717713629578,0.2774874756569272,64.70628328646764,85.75151018156008,5.0,0.0,0.0,0.0,3.6161057804027097,0.3080618973598659,0.95,0.0,4.9375,0.25,0.001,0.0,8.0,0.0,2.0,0.0,8.0,0.0,3.0640905783824692,0.3921878363346641,5.0,0.0,0.9979802964313461,0.008075067284656061,0.9999959880537623,6.599097019133981e-06,0.001591706446902167,0.0012557778252201865,0.012866274571723815,0.04452023426409153,3774.4391121838657,1728.0977312259965
H2,1.0,16,16.0,0.0,0.05,0.0,725.8148234870547,2562.631562616809,0.0,0.0,45.36614983489966,160.1648436890639,725.8148234870547,2562.631562616809,725.8148234870547,2562.631562616809,5.0,0.0,1.0,0.0,6.989495309180944,2.7234801930220853,0.95,0.0,10.375,2.825479310370779,0.001,0.0,8.0,0.0,2.0,0.0,8.0,0.0,3.744389631156663,1.6540382489400918,1.0,0.0,0.9567537650182236,0.006010921619981264,0.8697503505993716,0.09352943419816294,0.3409859513159558,0.12210697127032781,0.39842662764662573,0.1000870300674115,8.866516573912346,3.2794207004262255
H2,2.0,16,16.0,0.0,0.05,0.0,0.006901042297339134,0.007678877211604073,0.0,0.0,0.0015302608952628613,0.0004603115401923101,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,12.600420053289323,1.0084488687229702,0.95,0.0,13.375,1.2041594578792296,0.001,0.0,8.0,0.0,2.0,0.0,8.0,0.0,8.224042776469416,1.1995288304815674,0.0,0.0,0.9591513401993238,0.009118467594251231,0.813336914943478,0.1009525056003858,0.420019011046944,0.10454786675647816,0.4604576450200969,0.09196317546226487,5.281985761849577,1.4500656213692151
H2,3.0,16,16.0,0.0,0.05,0.0,0.009970598748936512,0.010397725630514972,0.0,0.0,0.0016013927483934124,0.0006025045375523445,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,11.779723010690526,2.2023287301051946,0.95,0.0,13.125,1.4548768561863463,0.001,0.0,8.0,0.0,2.0,0.0,8.0,0.0,7.148709489423783,2.0247444897083193,0.0,0.0,0.9596960343765606,0.012760853653608264,0.8136358042885885,0.08076981677289914,0.42355656898863736,0.08618756957823516,0.463970834689077,0.07034428402567751,5.3396172580846,1.4724726993928745
