exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2a,L2,model_L2.pt,depth,2,5,128,2,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,47,24,0.5106382978723404,4.8,5,7.0,8.0,37,12.333333333333334,1.8424385494221405,0.3989624947554482,11.707140701587367,0.7537400842548376,4.5429025389477963e-11,0.7537400842524781,0.6497696071219059,1.0,0.021281460025513798,0.007909164688698076,0.022649913155355042,0.00825901214005524,0.9999713652946396,0.6665887413822823,0.9999704857821152,0.6665806635119873,"[5, 16, 0]","[5, 16, 16]",0.6142769887557422,0.007042149106243683,87.2286257345949,0.08458957481950381
2a,L2,model_L2.pt,depth,2,5,128,2,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,43,22,0.46808510638297873,4.4,5,6.333333333333333,10.333333333333334,37,12.333333333333334,1.238649909778381,0.23435403082547882,5.598718364349112,0.14868496340942522,8.362436754358772e-12,0.14868496340964138,0.977619596110411,1.0,0.011303497957649134,0.005167599753244286,0.009790310223116097,0.004460424504271816,0.9999642958700754,0.6666351456805876,0.9999737424439175,0.6666429389147884,"[5, 14, 0]","[5, 16, 16]",0.20468201226573474,0.007665760144633832,26.700810931191967,0.08335914972707902
2a,L2,model_L2.pt,depth,2,5,128,2,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,35,20,0.425531914893617,4.0,5,5.0,10.333333333333334,37,12.333333333333334,0.9607641730349501,0.17283877731670794,3.8580270855524597,0.15191583808271475,1.6530877939800575e-13,0.15191583808271028,0.9792296649881947,1.0,0.016733161253985326,0.0074023161698762744,0.016738559805521122,0.007079540651766529,0.9999528659222371,0.6666042855927329,0.9999524444567849,0.6666041149835608,"[5, 10, 0]","[5, 16, 16]",0.21062156420070355,0.026270121127669764,8.017533043609012,0.08889407869285638
2a,L2,model_L2.pt,depth,2,5,128,2,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,37,21,0.44680851063829785,4.2,5,5.333333333333333,10.666666666666666,37,12.333333333333334,0.6605170314926353,0.1820527872271757,3.8049844538775264,0.12833394733165723,1.4037564358593517e-13,0.12833394733169515,0.9838835089751793,1.0,0.015791918296932248,0.0073611785111734164,0.015478626178230172,0.006913146602642886,0.9999530943019644,0.6666094647283848,0.9999542460694284,0.6666114816530343,"[5, 11, 0]","[5, 16, 16]",0.3296185538348113,0.006403177826961856,51.47733871248846,0.11977535430561798
2a,L2,model_L2.pt,depth,2,5,128,2,4,4,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,47,23,0.48936170212765956,4.6,5,7.0,10.0,37,12.333333333333334,0.7628639330887979,0.24267003909176674,5.889506584712997,0.1738056237016267,3.0721028561660086e-11,0.17380562369963118,0.9719551919423342,1.0,0.009143442205706249,0.0038155252013946698,0.009711717229591401,0.003961134802706544,0.999984471575972,0.6666493530026824,0.9999822774416073,0.6666468096164561,"[5, 16, 0]","[5, 16, 16]",0.7242598242077781,0.012371233923959783,58.54386301798723,0.112453529215426
2a,L2,model_L2.pt,depth,2,5,128,2,4,5,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,43,24,0.5106382978723404,4.8,5,6.333333333333333,10.666666666666666,44,14.666666666666666,1.263058741268033,0.1292020582941258,5.195349281686706,0.19542041983260272,5.088780511968164e-14,0.19542041983260233,0.9608928257013943,1.0,0.020649398381351318,0.010598774896120293,0.019663400493478655,0.008501687937306024,0.9999306945425734,0.6665724909947,0.9999399224885942,0.6665821930460946,"[5, 14, 0]","[12, 16, 16]",0.20312454779957212,0.004980597738422181,40.78316669354642,0.15775695107648444
2a,L2,model_L2.pt,depth,2,5,128,2,4,6,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,33,18,0.3829787234042553,3.6,5,4.666666666666667,9.333333333333334,37,12.333333333333334,0.8050641285864553,0.2167039277895627,3.945722858395779,0.11222947521552153,5.297873954453642e-12,0.11222947521556201,0.9863786064790031,1.0,0.018016363901974343,0.007965025600442164,0.01784478734227362,0.0075890475001021305,0.9999397577617882,0.6665931605113984,0.9999434624529514,0.6665953146051569,"[5, 9, 0]","[5, 16, 16]",0.1217039731778905,0.005578482768022501,21.816679953827833,0.07641645582496347
2a,L2,model_L2.pt,depth,2,5,128,2,4,7,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,47,23,0.48936170212765956,4.6,5,7.0,9.666666666666666,37,12.333333333333334,0.6663827413234967,0.22338777485491326,5.754384340207697,0.17426532749106557,1.1433327596355112e-11,0.17426532749042284,0.9695600774515396,1.0,0.020391734140446906,0.007661879773282268,0.018056569619916932,0.00664085182816138,0.999952382178156,0.6665932189032392,0.9999591428144163,0.666608393222461,"[5, 16, 0]","[5, 16, 16]",0.3776053929347294,0.014356170959127371,26.302653681806103,0.10748707690359086
2a,L2,model_L2.pt,depth,2,5,128,2,4,8,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,33,19,0.40425531914893614,3.8,5,4.666666666666667,10.333333333333334,37,12.333333333333334,0.7584636630064472,0.2129431810657878,3.8419972034697674,0.09381952874201527,2.2076009462889115e-13,0.09381952874203583,0.9914631044960908,1.0,0.015184580960280712,0.007158337648454995,0.0137334475763174,0.006379073844512914,0.9999416303778764,0.6666087793273819,0.9999440011278377,0.6666165642965131,"[5, 9, 0]","[5, 16, 16]",0.14576473479925128,0.006717053903935934,21.700694513384622,0.03808459274160085
2a,L2,model_L2.pt,depth,2,5,128,2,4,9,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,39,22,0.46808510638297873,4.4,5,5.666666666666667,10.333333333333334,37,12.333333333333334,0.610334220702562,0.18252596975656998,3.8998991511753465,0.1332932217569674,1.5917498013171706e-13,0.13329322175694555,0.9819183588947836,1.0,0.019479411888171257,0.00840876691085904,0.02059944331278051,0.008486637859425833,0.999942494773321,0.6665842510095438,0.9999428473676234,0.6665768854409172,"[5, 12, 0]","[5, 16, 16]",0.1597649160013619,0.06896611407768456,2.316571234119412,0.053561244054174985
