exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,gamma,min_explainable_frac,ell,s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json
2a,L2,model_L2.pt,0,5,2,4,0.95,0.001,0.0,5.0,5.0,2.359457753322358,3.0116186638114155,2578.1064621902738,0.9999978710530575,1.0,0.001459091135767319,0.001459091135767319,"[1142.7103723079886, 639.0806784854939, 572.7079607352723, 301.66124985783273, 181.74930379099482, 0.5325737567685442, 0.5241121494003763, 0.40279549421362265]"
2a,L2,model_L2.pt,0,5,2,4,0.95,0.001,1.0,19.0,42.0,5.153884597335964,8.901428369448228,43.77729110431066,0.9999999999999996,0.9512707722316769,0.22074697680449137,9.149637253421958e-13,"[16.866871800623127, 12.248007233255528, 8.378223559912175, 7.318758018800383, 6.337293790527529, 6.161057023192132, 5.030847763291723, 4.439014277908377]"
2a,L2,model_L2.pt,0,5,2,4,0.95,0.001,2.0,8.0,18.0,2.1977255287429314,3.7157643478258184,251.90894960773048,1.0,0.9544325840582065,0.21346525698996904,1.1874592445100564e-12,"[135.08835792992434, 63.669009679717504, 38.665583076136464, 31.45688782566413, 30.10657116468549, 26.676486437032388, 18.08290457672126, 16.7185498999296]"
2a,L2,model_L2.pt,1,5,2,4,0.95,0.001,0.0,5.0,5.0,2.061580335637428,2.487717363880053,2365.801900613649,0.999997755643014,1.0,0.0014981178144651546,0.0014981178144651546,"[1564.4407120494946, 1085.1771633939443, 403.9970448623667, 305.87253027182294, 165.64228267291645, 0.6495497868973928, 0.4777608693220845, 0.4693334703708622]"
2a,L2,model_L2.pt,1,5,2,4,0.95,0.001,1.0,21.0,42.0,7.236359944671182,11.284826669946836,23.00952888248451,0.9999999999999981,0.9522547731461319,0.21850681191639343,1.894628890753947e-12,"[9.167436063630982, 6.921444012134372, 5.62121473932387, 5.147515160215731, 4.766930871315455, 4.140847205564307, 3.661467559843504, 2.8699354359453397]"
2a,L2,model_L2.pt,1,5,2,4,0.95,0.001,2.0,13.0,16.0,5.849364926502218,8.692337986537373,32.97283370420502,0.9999999999999991,0.9596460100796125,0.2008830254660327,4.657561692694671e-12,"[15.7894953700552, 10.042995636947335, 9.432838894293637, 7.961890636865921, 7.292158944292662, 6.082619018993406, 5.615704012091452, 4.84145644662368]"
2a,L2,model_L2.pt,2,5,2,4,0.95,0.001,0.0,5.0,5.0,2.7175594228847473,3.3191247039327485,1416.8467354143313,0.9999928873082456,1.0,0.0026669630208203737,0.0026669630208203737,"[917.064987020221, 539.3780937220567, 501.75265542590887, 390.5888127121781, 94.92386036224131, 0.7279137109357601, 0.5648756349588787, 0.4234272324716338]"
2a,L2,model_L2.pt,2,5,2,4,0.95,0.001,1.0,21.0,42.0,4.413083001632833,7.979385151359188,17.038457999139183,0.9999999999999964,0.9516440847282486,0.21989978461050824,1.4690552864318729e-12,"[9.367094052705582, 5.363363397515702, 4.620543927395543, 4.2745220154658865, 3.2912330284428744, 2.458983614018144, 2.2284958985369516, 2.1698914518940264]"
2a,L2,model_L2.pt,2,5,2,4,0.95,0.001,2.0,13.0,16.0,6.463721276211264,9.312462763294741,43.0404486341639,0.9999999999999996,0.9586288861203383,0.20339890333937713,1.516876701094967e-12,"[20.603408650677732, 15.297508742265563, 13.113859212852919, 9.875053636240706, 9.307108240603657, 8.653285291588652, 7.892860092651183, 7.063428440456223]"
2a,L2,model_L2.pt,3,5,2,4,0.95,0.001,0.0,5.0,5.0,1.937972473415132,2.5470544154261954,1714.9399457220063,0.9999937670308687,1.0,0.0024965915026966858,0.0024965915026966858,"[1044.42550274361, 512.6500276358809, 396.00816583655234, 248.79908596217712, 84.8989306613834, 0.6338012339185574, 0.604248644277733, 0.5305215957992305]"
2a,L2,model_L2.pt,3,5,2,4,0.95,0.001,1.0,23.0,42.0,5.247679197112534,9.277941688721922,15.456483294792605,0.9999999999999958,0.951771741600041,0.2196093313134824,7.346337923439916e-13,"[6.644935285332884, 4.5995489241054885, 3.3609628600801873, 2.850012927823668, 2.7220242223840576, 2.2379075276889058, 1.805153471141985, 1.687465986439994]"
2a,L2,model_L2.pt,3,5,2,4,0.95,0.001,2.0,12.0,14.0,8.298548634060142,10.172226380680955,30.463010151119693,0.9999999999999989,0.9599010458109578,0.20024723266262917,1.870875096000421e-12,"[9.239490468987107, 7.801549539355322, 7.208604696812165, 6.954279153424279, 5.816058284120387, 5.100779671900022, 4.995972876696869, 3.868114602411933]"
2a,L4,model_L4.pt,0,5,4,4,0.95,0.001,0.0,5.0,8.0,3.6674831832678394,4.119330182353337,790.276378027979,0.9999851329170308,0.9999988485068159,0.004002319206915904,0.003855785648757719,"[387.6336367529532, 337.1144266164319, 272.8575630145445, 197.510500632051, 139.48565411093637, 0.6770688385368624, 0.589356330658371, 0.5016302378148534]"
