checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
H1,0.0,4,5.0,0.0,5.0,0.0,0.0,0.0,2.7256085585875147,0.47981690647343045,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,2.1166228671242635,0.370498786657933,4.75,0.5,0.9903052795387937,0.019389440922412626,0.9999950172088001,5.7201188191453825e-06,0.0019817457958006333,0.0011862966468364998,0.05030498234667084,0.09776831047096801,2560.2170480028985,1090.9840937833987
H1,1.0,4,37.5,9.0,5.0,0.0,1.0,0.0,1.6462459777488554,0.52367563676451,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,1.2126308472046854,0.18221582239783887,12.0,10.98483803552272,0.9629866463615854,0.02258755824270358,0.9999770204993614,4.59590012563867e-05,0.0023968469233727535,0.004793693837629824,0.17909376925889958,0.0813361912272285,63.324835731286505,104.26559407110875
H1,2.0,4,25.5,11.67618659209133,5.0,0.0,2.0,0.0,7.529623669734644,3.7373771848916695,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,5.054679345647334,2.572649489952602,20.5,7.416198487095663,0.9576255812468448,0.006513135146655428,0.999999999999699,3.4096942199460174e-13,2.6548823706903582e-11,2.933138941266487e-11,0.2053861929639789,0.015955374961327318,3.2043040484008447,2.3804095825854272
H1,3.0,4,5.75,5.123475382979799,5.0,0.0,3.0,0.0,3.05897245981003,2.842562452646567,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,2.390118129259008,1.936911699622188,5.75,5.123475382979799,0.9999999999968979,4.015360387060688e-12,0.9999999999968979,4.015360387060688e-12,6.52855777513309e-11,4.97176914739502e-11,6.52855777513309e-11,4.97176914739502e-11,0.8505195096000908,0.4233769541941706
H1,4.0,4,3.75,1.2583057392117916,5.0,0.0,4.0,0.0,3.326639569156362,1.024363204632546,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,3.134447835825844,0.9160655028122782,3.75,1.2583057392117916,0.9999999999977984,2.5244980668522266e-12,0.9999999999977984,2.5244980668522266e-12,2.2337044414838412e-11,1.6252695064961163e-11,2.2337044414838412e-11,1.6252695064961163e-11,0.8857789379567156,0.332560308321366
H1,5.0,4,42.0,0.0,5.0,0.0,5.0,0.0,1.9185467922581139,0.43855491828311566,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,1.2762366417493451,0.13882828530746488,11.0,8.602325267042627,0.9549435761133426,0.004851861973017534,0.9999999999999918,4.160991878072102e-15,8.312700146196477e-13,3.257748456520757e-13,0.2120240590264103,0.011674603811381606,11.861393607618647,3.050043025333175
H1,6.0,4,39.25,2.5,5.0,0.0,6.0,0.0,1.1410519688930538,0.08624185506669683,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,1.0363954057079772,0.02449010229803652,1.0,0.0,0.9845283859095886,0.006726582665836901,0.9988408977890317,0.0017033476179598788,0.025602365450953412,0.02591321655792158,0.12614723228169908,0.030388273049565158,39.914663857944156,14.003034329302492
H1,7.0,4,42.0,0.0,5.0,0.0,7.0,0.0,4.333199322968162,1.4830609470529525,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,2.187279311516301,0.5576849478988302,33.0,4.08248290463863,0.9536287309717701,0.003174800030370766,0.9999999999999868,4.941012199577239e-15,1.5189030565660333e-12,7.43243772531362e-13,0.21524236903785993,0.007482566332152239,9.043222127101966,1.6756900359293556
H1,8.0,4,42.0,0.0,5.0,0.0,8.0,0.0,4.4615190361582,1.5365236958215627,0.95,0.0,0.001,0.0,1.0,0.0,8.0,0.0,2.2402297966563607,0.580987038045725,33.5,3.5118845842842465,0.9550017971067013,0.002526165994564812,0.9999999999999866,4.721168205332406e-15,1.6967209895640517e-12,7.311746831860235e-13,0.21206457108658977,0.005980031565791918,8.918001696600768,1.5538005946058937
H2,0.0,4,5.75,1.5,5.0,0.0,0.0,0.0,2.9971633251619156,0.7511355079028882,0.95,0.0,0.001,0.0,2.0,0.0,8.0,0.0,2.433141326282974,0.7541020776546412,5.0,0.0,0.9999990752881919,1.8494236161958888e-06,0.9999869850096217,2.375843282715338e-05,0.0025379052883869042,0.0029606366714827466,0.002602975700334767,0.0030906686875659273,4188.891175376415,2337.3648695153875
