exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,gamma,min_explainable_frac,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,sum_candidate_rank,mean_candidate_rank,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2a,L2,model_L2.pt,depth,2,5,128,2,4,0,task,0.95,0.001,0.001,8,16,16,61,36,0.7659574468085106,7.2,5,10.666666666666666,65,21.666666666666668,0.8909232047755455,1.7811647409376104e-11,0.8909232047748965,0.6296744509179479,1.0,0.008352349696873672,0.0037554586730553746,0.008513273070167004,0.0033948609600927813,0.9999703169132352,0.6665850855631844,0.9999691226385963,0.6665776206937744,"[5, 19, 8]","[5, 42, 18]",0.6142769887557422,0.007042149106243683,87.2286257345949,0.08458957481950381
2a,L2,model_L2.pt,depth,2,5,128,2,4,1,task,0.95,0.001,0.001,8,16,16,70,42,0.8936170212765957,8.4,5,13.0,63,21.0,0.15156820595679915,1.037695354033249e-11,0.15156820595593368,0.978200574205781,1.0,0.0033331034627699374,0.002124842471186414,0.003139694509740177,0.001492544234577665,0.9999690306569236,0.666645810203741,0.999973365771568,0.6666450370061224,"[5, 21, 13]","[5, 42, 16]",0.20468201226573474,0.007665760144633832,26.700810931191967,0.08335914972707902
2a,L2,model_L2.pt,depth,2,5,128,2,4,2,task,0.95,0.001,0.001,8,16,16,70,44,0.9361702127659575,8.8,5,13.0,63,21.0,0.16388291059513374,1.5315148470864132e-13,0.16388291059513108,0.975258938193329,1.0,0.002666963020820401,0.002300448569983063,0.001798810128083403,0.001208826209037288,0.99995202139685,0.6666269132361441,0.9999537728708644,0.6666288668557733,"[5, 21, 13]","[5, 42, 16]",0.21062156420070355,0.026270121127669764,8.017533043609012,0.08889407869285638
2a,L2,model_L2.pt,depth,2,5,128,2,4,3,task,0.95,0.001,0.001,8,16,16,73,45,0.9574468085106383,9.0,5,13.333333333333334,61,20.333333333333332,0.1180517326548678,1.2217585794860004e-13,0.1180517326548901,0.9860299972150014,1.0,0.002496591502696688,0.002121184535022196,0.00166275321342931,0.0011360581967403188,0.9999543250175387,0.6666308486207057,0.9999565821674695,0.666635302489636,"[5, 23, 12]","[5, 42, 14]",0.3296185538348113,0.006403177826961856,51.47733871248846,0.11977535430561798
2a,L4,model_L4.pt,depth,4,5,128,4,4,0,task,0.95,0.001,0.001,8,16,16,178,47,1.0,9.4,5,9.4,56,11.2,0.021739477936141782,7.504137813278225e-14,0.021739477936168553,0.9995256024016408,1.0,0.004955687421118755,0.002098958365893468,0.0016323734576357408,0.0004908792801677826,0.9999995875504667,0.7999933912940692,0.9999999955860828,0.7999964477855994,"[5, 36, 1, 1, 4]","[8, 42, 1, 1, 4]",0.02332991004777446,0.014871900745351451,1.5687241629195752,0.01992604491325591
2a,L4,model_L4.pt,depth,4,5,128,4,4,1,task,0.95,0.001,0.001,8,16,16,181,47,1.0,9.4,5,9.4,148,29.6,0.01629745630169258,5.5527954978052703e-14,0.016297456301688457,0.9997330451582073,1.0,0.005789269857608425,0.002244770932656551,0.0025391787143581,0.0006435625949935469,0.9999999999999943,0.7999948556974917,0.9999999999999916,0.7999971283743083,"[5, 38, 0, 0, 4]","[8, 42, 47, 47, 4]",0.008922227657659926,0.005800872041460714,1.5380838594421444,0.022206686309731726
2a,L4,model_L4.pt,depth,4,5,128,4,4,2,task,0.95,0.001,0.001,8,16,16,170,46,0.9787234042553191,9.2,5,9.2,108,21.6,0.019205170824067478,5.4932061427028224e-14,0.019205170824075662,0.9996315617897679,1.0,0.004487284044422787,0.0021603319691786693,0.0018596381803488939,0.0009531248333973598,1.0,0.7999930182653957,0.9999999999999981,0.7999965337669833,"[5, 30, 7, 0, 4]","[8, 42, 7, 47, 4]",0.00775554869252737,0.01007485197662672,0.769792817851811,0.018077999119102066
2a,L4,model_L4.pt,depth,4,5,128,4,4,3,task,0.95,0.001,0.001,8,16,16,169,5,0.10638297872340426,1.0,5,9.4,64,12.8,0.019418807755913415,1.6482759403781977e-13,0.019418807755914654,0.9996267203800205,1.0,0.011147170478560205,0.0032338584751752386,0.012642407232627799,0.003049339715470048,0.9999992911370476,0.7999951573319775,0.999999765716998,0.7999969361078575,"[5, 25, 12, 3, 2]","[5, 42, 12, 3, 2]",0.008433853279192167,0.003092721996506023,2.72700012762875,0.02175291009372377
2a,L6,model_L6.pt,depth,6,5,128,6,4,0,task,0.95,0.001,0.001,8,16,16,335,5,0.10638297872340426,1.0,5,14.0,196,28.0,0.011514897388442781,1.6061631351809522e-13,0.011514897388437334,0.9998673809474113,1.0,0.0257811501685252,0.011597607853316356,0.02638912299355823,0.011569905669967245,0.9999999999999942,0.8570466016999175,0.9999999999999913,0.8570417776533652,"[5, 24, 13, 0, 5, 25, 26]","[5, 42, 13, 47, 5, 42, 42]",0.015734929063965453,0.014077814845927168,1.1177110394030862,0.01030469075538872
2a,L6,model_L6.pt,depth,6,5,128,6,4,1,task,0.95,0.001,0.001,8,16,16,304,5,0.10638297872340426,1.0,5,11.714285714285714,194,27.714285714285715,0.013944282449301968,8.91696980794759e-14,0.013944282449300594,0.9998051484156717,1.0,0.04584795375407871,0.01427083736369293,0.04776954069429161,0.01408315098578516,0.9999999999999984,0.8569891416397198,0.9999999999999977,0.8569773258616733,"[5, 34, 3, 0, 5, 0, 35]","[8, 42, 3, 47, 5, 47, 42]",0.018643238898944592,0.02045243983479627,0.9115410703825352,0.013063975693941831
