exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2a,L2,model_L2.pt,0,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,5.0,4.0,5.0,2.628575249683612,3.330253922967077,2437.320321343957,0.9999989243765017,0.961445845027622,0.19635475325573687,0.0010371227016368323,"[1803.4983185431615, 1102.4727056312895, 930.5393107000947, 544.3647230717803, 447.91215277704924, 0.7413663372527726, 0.6693991013648101, 0.6409327512309979]",0.8685936812786703,0.6766679312752646,0.5004135081248754,3.383339656376323,"[0, 1, 2, 3, 4]","[0.8685936812786703, 0.5658503929482831, 0.6871518783099568, 0.7613301957145372, 0.5004135081248754]"
2a,L2,model_L2.pt,0,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,1.0,16.0,11.0,16.0,5.2660042840663,9.185322504950603,42.298221578992234,0.957325220641843,0.9584066500659687,0.28721619428748424,0.20657874856372915,"[26.104739668593417, 19.98312234138934, 13.899652940705254, 10.956596272312996, 9.036973345566194, 8.807904736345872, 7.566105331388764, 7.152612480999932]",1.8291585576879188,0.5196257854921652,0.1913314311010808,8.314012567874643,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.6853721002480051, 1.5811765340659942, 1.8291585576879188, 0.46897481354403847, 0.2245100278870815, 0.2224232738246741, 0.5877435944044684, 0.1913314311010808, 0.5590725959434113, 0.38465615270498316, 0.29509758552067367, 0.29952240128786833, 0.2811818581752965, 0.19728057126872464, 0.2849662321620928, 0.22154483804833155]"
2a,L2,model_L2.pt,0,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,2.0,0.0,9.0,16.0,3.053224882512402,5.337759741997583,285.3644678975143,0.9863094567347509,0.9600994585344717,0.2303146209894997,0.11700659496476701,"[221.48410450645167, 137.75472712546892, 76.14089843828421, 60.5105368956128, 57.84061497679058, 52.55276301964328, 42.90157343250448, 40.122289340614394]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,1,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,5.0,5.0,5.0,2.252628667795075,2.8211724309958366,2618.972771865172,0.9999988339197207,1.0,0.0010798519710197118,0.0010798519710197118,"[2471.753225773567, 1653.4472136951329, 898.5293218534941, 525.1762439488621, 453.02266760309317, 0.8054085108341476, 0.7096483897267526, 0.662166085265549]",0.6243726895214832,0.5071371805772704,0.4123416802138116,2.5356859028863523,"[0, 1, 2, 3, 4]","[0.4481737454613657, 0.6243726895214832, 0.4703404183484171, 0.4123416802138116, 0.5804573693412749]"
2a,L2,model_L2.pt,1,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,1.0,15.0,13.0,16.0,6.539115353346459,11.19586143025037,25.957631387877242,0.9431646735498155,0.9599709193823664,0.3075538021280358,0.2384016074823802,"[16.85287934059325, 10.193396248969295, 9.179897862908996, 8.85471977935612, 7.2617014275685605, 6.7720683731161975, 5.960213440455969, 5.561059424267729]",1.2401370427003213,0.19588219194626144,0.05004576877222894,3.1098144088992763,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15]","[1.2401370427003213, 0.05004576877222894, 0.20009862586387087, 0.169493748035206, 0.27869812111262876, 0.12638435440483586, 0.23293082769770576, 0.11025625438446027, 0.08786690684625216, 0.13476640018702138, 0.05117780794231659, 0.08436140093546317, 0.10447131632660968, 0.024300662240906584, 0.16634140545458845, 0.07278442823576718]"
2a,L2,model_L2.pt,1,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,2.0,0.0,14.0,16.0,9.97633774727459,14.059583038813793,48.56726539296195,0.928623937815413,0.9700389540534113,0.31495810301145766,0.2671629880514639,"[24.580639911772643, 21.513186864963345, 17.377695114494617, 15.273176417240938, 14.07743253706049, 13.282737798498667, 12.47840272054764, 11.38820898964622]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,2,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,5.0,5.0,5.0,2.551894069986716,3.23435910043538,1474.882226395949,0.9999964560712606,1.0,0.00188253253342382,0.00188253253342382,"[1098.6677497172645, 746.0035520517238, 444.8218495439557, 342.80890766633826, 282.3054707507699, 0.7528575699471217, 0.7239227501748529, 0.7072365084944032]",0.6789176705385561,0.38797985551660535,0.21189934023764948,1.9398992775830268,"[0, 1, 2, 3, 4]","[0.39887233951001705, 0.6789176705385561, 0.2566206276964655, 0.21189934023764948, 0.3935892996003387]"
2a,L2,model_L2.pt,2,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,1.0,10.0,12.0,16.0,4.319659164941991,8.139055317614133,17.21781028521822,0.9354389919016347,0.9583300190411957,0.32177745893555476,0.25408858317201477,"[10.54365454831818, 6.560941453080698, 5.211835520586866, 3.807100541211469, 3.243392726868941, 3.0980965704245045, 2.450261544397471, 2.314127564635226]",0.9604278010366591,0.13043937405346198,0.05276479717744672,1.9207480295477877,"[0, 1, 2, 3, 4, 5, 6, 8, 12, 15]","[0.9604278010366591, 0.12723255954044005, 0.16986449625013586, 0.06917758187671295, 0.14262843463578645, 0.11513220931540638, 0.07966084132658353, 0.025438354937597534, 0.13430214788239897, 0.04007392802302864, 0.02369760419938424, 0.04400907785542926, 0.05276479717744672, 0.013146215976635754, 0.01991677431552851, 0.06955716050621764]"
2a,L2,model_L2.pt,2,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,2.0,0.0,14.0,16.0,6.552071731648714,12.33966722557743,68.52883233751665,0.9017767045072673,0.9706588118286642,0.3531040858843285,0.3134059595679899,"[37.662802700090204, 20.136266202158623, 18.469504692175445, 17.20264716929259, 14.84655704449942, 14.224779265610476, 13.142418624706814, 12.258176540664257]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L2,model_L2.pt,3,5,2,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,5.0,5.0,5.0,3.2293037507390903,3.8838118479277046,1540.851238954245,0.9999970533468121,1.0,0.001716581832554015,0.001716581832554015,"[956.6358098201034, 649.5332473731025, 567.5951016799605, 415.7724179813008, 321.29831497109404, 0.8400774178745277, 0.7171120271106368, 0.6185181261610884]",0.6605077839575358,0.4302228485029853,0.2750322471990575,2.1511142425149266,"[0, 1, 2, 3, 4]","[0.37313773440189224, 0.4035758347881212, 0.6605077839575358, 0.2750322471990575, 0.43886064216832]"
