exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2a,L2,model_L2.pt,depth,2,5,128,2,4,0,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,21,21,0.44680851063829785,4.2,5,7.0,8.0,37,12.333333333333334,1.8291585576879188,0.3987645722558099,11.697352224250967,0.7537171069180544,0.0008011227710745743,0.7536851164406736,0.6497976427770376,0.9999993582023057,0.02366390160837847,0.008776399819672166,0.02506517737334515,0.009122158929140811,0.999971365333147,0.6665887467283708,0.9999704848291662,0.6665806690242806,"[5, 16, 0]","[5, 16, 16]",0.6142759683227252,0.007042147687357055,87.2284984061823,0.08458951755684349
2a,L2,model_L2.pt,depth,2,5,128,2,4,1,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,20,20,0.425531914893617,4.0,5,6.666666666666667,10.666666666666666,37,12.333333333333334,1.2401370427003213,0.2343397908411773,5.645500311785629,0.1486855397967362,0.0007028147533371347,0.14867935007376867,0.9776211145082216,0.9999995060514225,0.011128494321433308,0.004862431454708649,0.009313247221249866,0.003894603879653597,0.9999642989710159,0.666637389340993,0.9999737431925175,0.666645724333868,"[5, 15, 0]","[5, 16, 16]",0.20468241152540667,0.007665781971381429,26.700786989448048,0.0833592428585528
2a,L2,model_L2.pt,depth,2,5,128,2,4,2,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,15,15,0.3191489361702128,3.0,5,5.0,10.333333333333334,37,12.333333333333334,0.9604278010366591,0.17280640985668913,3.8606473071308143,0.15192456285408393,0.001034966141338623,0.15183413099630327,0.9792520376974059,0.9999989288450862,0.018133209714336903,0.008022942180963081,0.018009369569590122,0.007605825939304876,0.9999528660927206,0.6666043229697355,0.9999524434987319,0.6666041659083938,"[5, 10, 0]","[5, 16, 16]",0.21062159499844818,0.026270064947083758,8.017551362081017,0.08889415601221878
2a,L2,model_L2.pt,depth,2,5,128,2,4,3,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,16,16,0.3404255319148936,3.2,5,5.333333333333333,10.666666666666666,37,12.333333333333334,0.6605077839575358,0.18214930536162596,3.812307068975751,0.12833884544516266,0.0008572440695788883,0.12838386540101335,0.9838710355680399,0.9999992651326052,0.017385435758921444,0.00811459742745836,0.01683038626183061,0.007561439230645964,0.9999530931393323,0.6666094649684472,0.9999542460069138,0.6666114841263369,"[5, 11, 0]","[5, 16, 16]",0.3296186985222127,0.006403176324289366,51.47737338918186,0.11977534201114186
2a,L2,model_L2.pt,depth,2,5,128,2,4,4,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,21,21,0.44680851063829785,4.2,5,7.0,10.333333333333334,37,12.333333333333334,0.7596362398557913,0.2421246591812,5.8632247884317,0.17382089859022942,0.0003753555622068189,0.1738096162358437,0.9719545687418266,0.9999998591082019,0.009383954597271758,0.00396149995174537,0.010003420368411552,0.0041252245515185255,0.9999844708595972,0.6666493518380339,0.9999822769754971,0.6666468079593921,"[5, 16, 0]","[5, 16, 16]",0.7242594783255006,0.012371277358682504,58.54362951592831,0.11245351411207793
2a,L2,model_L2.pt,depth,2,5,128,2,4,5,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,19,19,0.40425531914893614,3.8,5,6.333333333333333,11.0,44,14.666666666666666,1.2623418823857884,0.129377540123595,5.200285167505254,0.19542011410591936,0.00217837664832198,0.1955444792716272,0.9608419827609085,0.999995254675178,0.023074235780026094,0.01171960404629624,0.02194153893699618,0.009370954903945058,0.9999306923286895,0.6665724801419771,0.9999399208900115,0.6665821863540144,"[5, 14, 0]","[12, 16, 16]",0.20312464176491654,0.004980597350851428,40.7831887334142,0.15775695302087786
2a,L2,model_L2.pt,depth,2,5,128,2,4,6,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,14,14,0.2978723404255319,2.8,5,4.666666666666667,9.666666666666666,37,12.333333333333334,0.8049912827772094,0.21694757494647135,3.9596531389076457,0.1122297857777063,0.0004073185402587877,0.11224353099463132,0.9863752809584319,0.9999998340916068,0.019460662708737596,0.008559210192592261,0.019277034473592837,0.008170499994020806,0.9999397570306849,0.6665931550651046,0.9999434637095725,0.666595308957735,"[5, 9, 0]","[5, 16, 16]",0.12170407645409417,0.005578462320992307,21.816778433029775,0.07641649259348426
2a,L2,model_L2.pt,depth,2,5,128,2,4,7,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,21,21,0.44680851063829785,4.2,5,7.0,9.666666666666666,37,12.333333333333334,0.6736550887831039,0.22354545641672205,5.762051853896054,0.17425609435681094,0.0004561631962088998,0.17422368316195935,0.9695750271452246,0.9999997919151384,0.021151893273097452,0.00799119606417869,0.01872970470376359,0.006925927574209851,0.9999523823614582,0.6665932262757296,0.9999591417190691,0.6666084007362073,"[5, 16, 0]","[5, 16, 16]",0.3776055077930236,0.014356137230516814,26.302723478454098,0.1074870946790477
2a,L2,model_L2.pt,depth,2,5,128,2,4,8,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,14,14,0.2978723404255319,2.8,5,4.666666666666667,10.333333333333334,37,12.333333333333334,0.758105378761711,0.21276405511329421,3.834118702507177,0.09381688812763928,0.00044590167661956074,0.09381975846621271,0.9914630681692692,0.9999998011716947,0.017065566471601044,0.007969948924987237,0.015589178372947326,0.007158906487694527,0.9999416301528037,0.6666087793554953,0.9999439996873377,0.6666165647889978,"[5, 9, 0]","[5, 16, 16]",0.14576451220496955,0.0067170298429364075,21.700739108410353,0.03808456859438136
2a,L2,model_L2.pt,depth,2,5,128,2,4,9,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,17,17,0.3617021276595745,3.4,5,5.666666666666667,10.333333333333334,37,12.333333333333334,0.6141991014099738,0.1827570122454282,3.9076556730952614,0.13327496170099862,0.000781680610321565,0.13323452492780238,0.9819345161975176,0.9999993889754234,0.021490864413482542,0.009304103512963251,0.02266465147114764,0.00941077785065443,0.9999424926740001,0.6665842547576012,0.9999428466563413,0.6665768883804524,"[5, 12, 0]","[5, 16, 16]",0.15976491543793725,0.06896607014443677,2.316572701668211,0.05356122647741901
