exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,10.666666666666666,131,14.555555555555555,4.973161457378627,0.27137727379035703,7.674804267915134,0.005353875475844502,1.9907381682180416e-13,0.005353875475847441,0.9999714046935807,1.0,0.016745867877072686,0.009488116233418121,0.01622950360366452,0.009239445189496105,0.9999975385713168,0.8888297106161112,0.9999975532012448,0.8888323177328864,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.014883903564457915,0.01650283107858338,0.9019000130088931,0.004753614882735176
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,45,3,0.06382978723404255,1.0,3,0.6666666666666666,11.333333333333334,136,15.11111111111111,1.1735724001815098,0.03881079755697239,2.870799163312787,0.007295656217270803,4.391983962279211e-14,0.007295656217266892,0.9999467365451528,1.0,0.03785165010369769,0.018866095905589957,0.0381908209434235,0.019087930141494243,0.9999899241821782,0.8886575846688414,0.9999899501823372,0.8886452003390515,"[3, 1, 1, 0, 0, 0, 1, 0, 0]","[8, 16, 16, 16, 16, 16, 16, 16, 16]",0.0019225857825818172,0.0024362826635629707,0.7891472575559474,0.007305611424720733
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,12.333333333333334,132,14.666666666666666,1.9968358836941782,0.10049781843485822,3.744417171421917,0.006348567641211033,8.682957134323825e-14,0.006348567641199075,0.9999596239632036,1.0,0.025950684539252075,0.014619008102371822,0.02771354769275787,0.014919565095521344,0.9999931018276949,0.8887479611065988,0.9999933959635403,0.888738457077209,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[4, 16, 16, 16, 16, 16, 16, 16, 16]",0.01906015090790114,0.017243523224904467,1.1053513054903394,0.0054086651848543
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,45,3,0.06382978723404255,1.0,3,0.6666666666666666,11.555555555555555,136,15.11111111111111,1.4034776485958647,0.04832285101631898,3.527966725705257,0.00897273694885964,4.40812791729938e-13,0.008972736948735514,0.9999196710167128,1.0,0.03664937968254275,0.019283322808702916,0.04349445647344524,0.02206789146042801,0.9999878052405186,0.888643964319609,0.999986004825741,0.8885585166344274,"[3, 1, 1, 0, 0, 0, 1, 0, 0]","[8, 16, 16, 16, 16, 16, 16, 16, 16]",0.005264468888637075,0.006806994134923132,0.7733911304003972,0.00959775700554823
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,57,5,0.10638297872340426,1.0,5,0.7777777777777778,10.444444444444445,133,14.777777777777779,53.74143946930438,2.1862903047634195,99.31292738165021,0.012137684700355516,2.915291361750397e-13,0.01213768470036316,0.9998518486216319,1.0,0.01628977704336587,0.009292763348826064,0.014744537587676503,0.00844667491633669,0.9999965899547865,0.8888350676900195,0.9999971371229541,0.888843619937652,"[5, 1, 0, 0, 0, 1, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.007963216506779294,0.009346638379402642,0.8519872261590841,0.011578431727539326
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,68,5,0.10638297872340426,1.0,5,1.0,12.666666666666666,133,14.777777777777779,580.1467300624456,13.62913941878711,613.547415592621,0.010206951736397064,3.0110997322803403e-13,0.010206951736365768,0.9998950786961125,1.0,0.01673224386111368,0.009197708541441208,0.018115388134069637,0.009303696528116865,0.9999969024779801,0.8888345660211192,0.9999970725010933,0.888831016886634,"[5, 2, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.016858384935091397,0.016377206997479368,1.0293809523007242,0.007668807696538315
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,9.88888888888889,133,14.777777777777779,99.1655367183004,2.5631650528037118,115.52817990784027,0.005841241911437802,1.8621084891760075e-13,0.0058412419114415885,0.9999659412836494,1.0,0.023697804127561267,0.01311503861195422,0.027809388683904823,0.014983072664592346,0.9999952307277071,0.8887796222427149,0.9999955787469765,0.888741496722083,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.007419675841272566,0.0037061001577739622,2.002017086804565,0.014328417401741393
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,13.222222222222221,133,14.777777777777779,2.0485675645016936,0.07867285324630563,3.907538171721276,0.005869792793828716,1.317878345149386e-12,0.005869792793861722,0.9999654188937744,1.0,0.031453641984737095,0.01654751692627318,0.024621102549420973,0.012220889165532298,0.9999935158765126,0.8887123120393243,0.9999973044890421,0.888786781540566,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.005768602916561557,0.006003941346143602,0.9608026767727826,0.014506358234450822
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,92,8,0.1702127659574468,1.0,8,1.2222222222222223,10.88888888888889,136,15.11111111111111,14480.423166396626,216.82256486731967,15655.901889598328,0.01496801653706668,1.6060863472508777e-12,0.01496801653727879,0.9997712882745411,1.0,0.02374719605330764,0.013843941569606097,0.01978850019777444,0.011488695800084558,0.9999973891405207,0.8888066838483301,0.999997964924998,0.888799614813402,"[8, 2, 0, 0, 0, 1, 0, 0, 0]","[8, 16, 16, 16, 16, 16, 16, 16, 16]",0.017011616328460377,0.007442037654094978,2.2858815178259335,0.010170203737376319
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,8,16,16,86,8,0.1702127659574468,1.0,8,1.2222222222222223,11.777777777777779,136,15.11111111111111,30.660848507667943,0.4584142283941991,33.38823527998294,0.009465436986365922,1.7682248859171228e-12,0.009465436986455206,0.9999106677519238,1.0,0.21791255792142813,0.04436931712094585,0.03776791390778761,0.02155469838705496,0.9999937147523914,0.8886019080729821,0.9999962791913495,0.8885858988340766,"[7, 2, 0, 0, 0, 1, 1, 0, 0]","[8, 16, 16, 16, 16, 16, 16, 16, 16]",0.04195703131113793,0.03545306511505075,1.1834528601400411,0.008401976222376885
