exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,9.222222222222221,131,14.555555555555555,7.388584813834462,0.3477407786606615,9.574669858371879,0.005835268618142008,2.3457127589870827e-13,0.005835268618108409,0.9999660810363318,1.0,0.01862208425516897,0.010102613060539863,0.018472224220757644,0.01000618668419788,0.9999976883063529,0.8888196663098241,0.9999975790691554,0.8888206637938624,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.014883903564457915,0.01650283107858338,0.9019000130088931,0.004753614882735176
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,38,3,0.06382978723404255,1.0,3,0.5555555555555556,10.222222222222221,138,15.333333333333334,1.1020741407852215,0.032978483413559814,2.971135008028955,0.005262425771845042,4.2662245483735456e-14,0.0052624257718421885,0.9999723094276911,1.0,0.03757988820912922,0.019005387333214215,0.04288150192230532,0.02074260339560903,0.9999906388691998,0.8886543087060328,0.9999907554457735,0.8886050084641268,"[3, 1, 0, 0, 0, 0, 1, 0, 0]","[10, 16, 16, 16, 16, 16, 16, 16, 16]",0.0019225857825818172,0.0024362826635629707,0.7891472575559474,0.007305611424720733
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,11.0,132,14.666666666666666,2.5605625811726975,0.14737828406490772,5.496135050377573,0.004924931250557952,8.446592410385882e-14,0.004924931250535536,0.9999757612162183,1.0,0.02905277274565574,0.0160206415560359,0.028303511620345403,0.015773264759473916,0.9999925475944146,0.8887131933828903,0.9999928781387649,0.8887192932608614,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[4, 16, 16, 16, 16, 16, 16, 16, 16]",0.01906015090790114,0.017243523224904467,1.1053513054903394,0.0054086651848543
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,45,3,0.06382978723404255,1.0,3,0.6666666666666666,11.0,140,15.555555555555555,1.8446837569738754,0.03174375230689582,3.3672602550850015,0.007816410490148147,3.8284980268753547e-13,0.007816410490185508,0.999938942210435,1.0,0.04162031412104893,0.021634883515940905,0.043019647283388744,0.022146040466698106,0.999986872898673,0.8885744458473896,0.9999846277702666,0.8885545961291174,"[3, 1, 1, 0, 0, 0, 1, 0, 0]","[12, 16, 16, 16, 16, 16, 16, 16, 16]",0.005264468888637075,0.006806994134923132,0.7733911304003972,0.00959775700554823
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,57,5,0.10638297872340426,1.0,5,0.7777777777777778,9.11111111111111,133,14.777777777777779,16.71628762130456,0.46685072023996443,21.883289609859965,0.011613552589341953,2.69747307210493e-13,0.011613552589381041,0.9998642914114874,1.0,0.016168513484451263,0.009294169410746476,0.016202832542541443,0.009338314244742794,0.9999966277268173,0.8888359308820059,0.9999964782756315,0.8888350838015433,"[5, 1, 0, 0, 0, 1, 0, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.007963216506779294,0.009346638379402642,0.8519872261590841,0.011578431727539326
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,10.222222222222221,133,14.777777777777779,80.2813146237464,2.4943686213956626,112.51768529451137,0.010247655041790546,2.7291186415288126e-13,0.01024765504177366,0.9998940737527139,1.0,0.016935673537320332,0.0093547312883338,0.01724878948614532,0.009105934114945122,0.9999966164492422,0.8888324239634412,0.9999969073019791,0.8888340101676805,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.016858384935091397,0.016377206997479368,1.0293809523007242,0.007668807696538315
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,8.555555555555555,133,14.777777777777779,13.509490717333428,0.6169965383297629,28.00076863839286,0.006792645992726924,2.17906232679196e-13,0.006792645992718755,0.9999537631724166,1.0,0.022886867983336872,0.012663084294747726,0.02171173600177193,0.011986395604620224,0.9999958451143174,0.8887859066958381,0.9999955130690573,0.8887964668256458,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.007419675841272566,0.0037061001577739622,2.002017086804565,0.014328417401741393
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,60,5,0.10638297872340426,1.0,5,0.8888888888888888,13.333333333333334,133,14.777777777777779,0.4533261212696477,0.04912648654305728,2.52407902529219,0.006761491855085855,6.313087694504299e-13,0.006761491855117268,0.9999541489820768,1.0,0.02651712564671489,0.014030718130393372,0.026090635887136896,0.013717500098617587,0.9999949196990975,0.8887598475341728,0.9999966983443553,0.8887613182115567,"[5, 1, 0, 0, 0, 1, 1, 0, 0]","[5, 16, 16, 16, 16, 16, 16, 16, 16]",0.005768602916561557,0.006003941346143602,0.9608026767727826,0.014506358234450822
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,84,8,0.1702127659574468,1.0,8,1.1111111111111112,11.777777777777779,136,15.11111111111111,509.8514609575879,14.279828465526966,1028.4725429521716,0.014510304078294985,1.0590981266449235e-12,0.01451030407826287,0.9997852827017161,1.0,0.020187283417450314,0.01172272974086603,0.01841590404150999,0.011011963311278732,0.999997763896686,0.888797024908667,0.9999980508373948,0.8888097193155301,"[8, 1, 0, 0, 0, 1, 0, 0, 0]","[8, 16, 16, 16, 16, 16, 16, 16, 16]",0.017011616328460377,0.007442037654094978,2.2858815178259335,0.010170203737376319
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,87,8,0.1702127659574468,1.0,8,1.2222222222222223,10.777777777777779,136,15.11111111111111,4811.530109261718,72.82318499915743,5243.636120251371,0.011022065440740478,1.2794968217138592e-12,0.011022065440856776,0.9998782480162824,1.0,0.04335611844134477,0.023983688225710027,0.04122616377656872,0.0222905564990726,0.9999924437711317,0.8884865266987715,0.9999949082758096,0.8885327673932208,"[8, 1, 0, 0, 0, 1, 1, 0, 0]","[8, 16, 16, 16, 16, 16, 16, 16, 16]",0.04195703131113793,0.03545306511505075,1.1834528601400411,0.008401976222376885
