exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,0.0,3.0,3.0,3.0,2.822341935921592,2.908997371418593,7117.010181616668,0.9999989250157398,1.0,0.001036814477169466,0.001036814477169466,"[4608.7691449266495, 3830.5329593276156, 3421.900201306734, 2.2802361667774704, 2.212781525284375, 2.1260908720196596, 1.8562139342355375, 1.817525102361713]",7.388584813834462,3.0960422264515155,0.525093158633829,9.288126679354546,"[0, 1, 2]","[0.525093158633829, 7.388584813834462, 1.3744487068862554]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,1.0,1.0,12.0,16.0,5.308404339225809,9.0483082788504,10.170294560467314,0.8344879158792531,0.9568132864758319,0.44894417769159845,0.4068317639033822,"[5.659370319456092, 4.686840079878981, 3.5226185642014665, 2.4013202215120533, 1.7378668294957795, 1.605690721102001, 1.5373785714391615, 1.4174241012051425]",0.11380449729754319,0.011274188795414728,0.11380449729754319,0.11380449729754319,[0],"[0.11380449729754319, 0.008933651353816897, 0.006199698830583848, 0.0319376282310529, 0.003754862840689321, 0.0015409244717253595, 0.0007578245614322387, 0.0021039971967382947, 0.0011812149803368415, 0.0020096011256067726, 0.0014910648561431133, 0.0008447816340568584, 0.0015320874569342711, 0.0018799502162589307, 0.001301833109146189, 0.0011134025645706325]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,2.0,0.0,13.0,16.0,6.052927931076493,10.276112350107862,8.335192138486219,0.837655378159863,0.9609849751518853,0.44161721799899606,0.4029201184355563,"[4.655023067557091, 3.7941297634636357, 3.0582924225308283, 2.07071836593108, 1.5794360579947062, 1.4707530594968379, 1.4143208644465646, 1.2785443302527801]",0.03284154389704357,0.003918172932830391,0.0,0.0,[],"[0.03284154389704357, 0.002724965898986634, 0.014790817978057692, 0.001557535781622785, 0.0016707811372622928, 0.0007142027178978236, 0.0010177403386620668, 0.0011127595216213469, 0.001279914079166912, 0.0005479446735624037, 0.0009035018240712812, 0.0005996383853303863, 0.000799264747984191, 0.0008515700922238125, 0.00046435282829970217, 0.0008142330234933549]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,3.0,0.0,12.0,16.0,3.851003109506661,7.4676121264398905,9.248368600470178,0.8697217056456495,0.9567816532177046,0.4097148137827223,0.36094084605976473,"[6.200394725482021, 3.507702520576364, 3.1400685336770406, 1.7201593385116518, 1.5151211869759467, 1.4392132724798463, 1.3925151298922605, 1.1865011852215521]",0.03523054465159434,0.0030470473433433167,0.0,0.0,[],"[0.03523054465159434, 0.00168443538104315, 0.003650346891594498, 0.0010272186157867364, 0.0009497411397803693, 0.0006229871539682926, 0.0008204625970894034, 0.0007168045583274399, 0.0005097222822046691, 0.00041023954097628115, 0.0005761432757892471, 0.0005573255599705375, 0.0007588714854243315, 0.00043325709098215935, 0.0003241784398626481, 0.0004804788290989741]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,4.0,0.0,12.0,16.0,4.708991112193868,9.076707987564538,9.304954023594597,0.8504102853739683,0.9579998541328604,0.43047307773963256,0.3867682957870515,"[5.932235116976318, 3.6315614197931696, 3.2560824309168845, 1.8954458578543805, 1.777078220343228, 1.5200287580368061, 1.4685820002492658, 1.361102918789633]",0.033584958750732724,0.0027658008288822204,0.0,0.0,[],"[0.033584958750732724, 0.0026552954355946136, 0.0012737621288342593, 0.0007742678157013608, 0.0010736213978891967, 0.00040911842156050393, 0.00038926161127556967, 0.0006428841333584708, 0.0005139992632407467, 0.0006632316521312327, 0.00026838994434494155, 0.000359781618073986, 0.0004099034927921193, 0.0004873486933808442, 0.0004134459069790901, 0.00033354299622585657]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,5.0,1.0,6.0,16.0,2.1730595772077512,4.402250750355689,14.235425852671915,0.9328810856462582,0.956815908116113,0.3277263139771057,0.2590731833936829,"[11.288323805625092, 4.148445160718348, 3.2826979847657296, 2.9482604969448696, 1.8320660321434437, 1.735184510235774, 1.528636254101174, 1.4738915544328404]",0.08752706816207295,0.006025543407530731,0.08752706816207295,0.08752706816207295,[0],"[0.08752706816207295, 0.0015776713727448995, 0.0006903145075252383, 0.0009593666439608547, 0.00044567640213008465, 0.0010931840427790428, 0.0004085003379266632, 0.00033133065529054504, 0.00039696222797658016, 0.0005221796375547839, 0.0005250844961400953, 0.00024114262010720922, 0.0004209036078814316, 0.0002956766901724034, 0.0005855290368924088, 0.00038810407933649723]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,6.0,1.0,5.0,16.0,1.9238014651922282,3.7914153358348908,15.237796039328328,0.9382381264222509,0.9555764805780662,0.3216235582311382,0.24851936258115756,"[12.599796672410596, 4.137697553524173, 3.30219017651357, 2.8829767024042594, 1.8178703391729838, 1.734264475125532, 1.5292368340853921, 1.5145074469038757]",0.08521161355771642,0.005865131426437223,0.08521161355771642,0.08521161355771642,[0],"[0.08521161355771642, 0.0013857125263900146, 0.0006224480736064902, 0.000999897288028904, 0.0003846172734561654, 0.0008503576446566846, 0.0002803539630570917, 0.0004978976249541405, 0.0006684945375770581, 0.0006342921626085657, 0.00044627457944730484, 0.00019587035560324033, 0.00045748961291913954, 0.0002486192889027083, 0.0005224033975188252, 0.0004357609365528236]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,7.0,0.0,10.0,16.0,3.5545904059940088,7.4810556448414065,11.943678299844546,0.864656950031052,0.9561023077697531,0.41629255896081246,0.36788999710367365,"[8.46848118485059, 4.123579632350221, 3.3572164335532304, 2.9312573922560925, 1.9467633667987263, 1.8981999811483619, 1.7731233076104131, 1.737695541524664]",0.004609783766559436,0.0007288967599994346,0.0,0.0,[],"[0.004609783766559436, 0.0011857777445491307, 0.0004899516235239261, 0.0005869732041413547, 0.0002605495058551914, 0.0004353306927809988, 0.00020807250879555526, 0.0003694197828262541, 0.0008138166589626307, 0.000654214925277898, 0.00036953882143635105, 0.00025072721447280764, 0.00023868431592417795, 0.0003228723739048135, 0.0004288460333500942, 0.0004377889876303357]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.05,0,8.0,0.0,10.0,16.0,3.1616232595364,6.814832745704866,12.716589139638325,0.8692015561240832,0.9588629289364666,0.4081113206696367,0.3616606750476344,"[9.432629124238389, 4.159948481226636, 3.3743746310457157, 3.0689676112404687, 2.0520494487744383, 1.993444073468964, 1.8942882931241611, 1.7826283899914328]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.05,0,0.0,3.0,3.0,10.0,2.603655515775391,2.7513616012172357,2294.0197137849527,0.9999896878948876,0.999997733064766,0.0035466909887023335,0.00321124666015536,"[1587.5468088295656, 1504.5931552212785, 923.4603955686281, 2.6292811184531253, 2.3759624602784797, 2.164821633651154, 1.957287350939376, 1.8945866421076538]",1.1020741407852215,0.27144971674180784,0.7501261301762239,2.7012298433819795,"[0, 1, 2]","[0.8490295724205342, 1.1020741407852215, 0.7501261301762239, 0.002342140327320169, 0.002099808787102441, 0.0027939545896055315, 0.0004746183837545161, 0.0017833250050526828, 0.0016370968201495479, 0.0021363801231138366]"
