checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_damage_mean,causal_max_damage_std,causal_max_keep_mean,causal_max_keep_std,causal_mean_damage_mean,causal_mean_damage_std,causal_min_kept_damage_mean,causal_min_kept_damage_std,causal_sum_kept_damage_mean,causal_sum_kept_damage_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,hidden_s_mean,hidden_s_std,min_explainable_frac_mean,min_explainable_frac_std,n_causal_mean,n_causal_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx10,0.0,16,10.0,0.0,0.05,0.0,486.55614065474913,1490.924922199971,0.0,0.0,59.42301091948974,158.0744115741226,0.3207135794587745,0.11893837234504502,594.2301091948975,1580.7441157412259,10.0,0.0,0.0,0.0,5.270006174504997,0.34642971695337,0.95,0.0,8.6875,0.704154339142587,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,4.009201982583637,0.44572515718838235,10.0,0.0,0.9696842555302483,0.014507626356929915,0.9999985174134656,2.3763486024793676e-06,0.0010381501398618372,0.0006571297763321686,0.16152166133267368,0.06715504459309059,5835.649239178948,1783.1049981849653
dx10,1.0,16,16.0,0.0,0.05,0.0,0.2259859791776774,0.07922703259109634,0.0,0.0,0.019731719324175785,0.005215806431580109,0.2259859791776774,0.07922703259109634,0.2259859791776774,0.07922703259109634,10.0,0.0,1.0,0.0,8.132318232748776,2.636060665160755,0.95,0.0,13.375,0.7187952884282609,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,4.2324818250581515,1.638163330997472,1.0,0.0,0.9588083883951035,0.003998576135329212,0.8452211042668696,0.038324792648762186,0.39063164685720253,0.048285950550121005,0.4335939504246895,0.04140684021532085,8.715472240674446,1.4200753071001393
dx10,2.0,16,16.0,0.0,0.05,0.0,0.00664067956001072,0.002919692925959752,0.0,0.0,0.0034906591455332757,0.0013637368778388192,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,13.066594687432541,1.3366087610124822,0.95,0.0,14.0,0.5163977794943222,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,8.777652105768906,1.3550215930978644,0.0,0.0,0.9606098379062321,0.006923872011240741,0.8869091886854386,0.028700553685300736,0.3338884944199439,0.0414315127538115,0.3833687752361164,0.034175395043168466,5.464543759936808,1.256301412387795
dx10,3.0,16,16.0,0.0,0.05,0.0,0.00803982937688148,0.006287942063513989,0.0,0.0,0.00279940803402322,0.0013164210732716883,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,15.129824762081844,1.6774995866259892,0.95,0.0,14.3125,0.47871355387816905,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,10.024472407437312,1.3961294019164434,0.0,0.0,0.9629321949352219,0.008852307586707195,0.8455380552862426,0.025302110996496437,0.39179354384603615,0.0319960616623362,0.43043493552810785,0.025725502485500148,5.721172116949807,1.4379390588664565
dx10,4.0,16,16.0,0.0,0.05,0.0,0.008456408851977338,0.007975115644843881,0.0,0.0,0.002330705474060759,0.0011397373755556689,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,18.05368180348016,1.1818665824669996,0.95,0.0,14.375,0.6191391873668903,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,11.695075171016107,1.3309629004981323,0.0,0.0,0.9609918467016076,0.012002610847618144,0.7882619822673429,0.05275152841764974,0.45705608140469567,0.055017632893278004,0.4906639730954891,0.046090815449658075,5.895388013049759,1.3213556754317002
dx10,5.0,16,16.0,0.0,0.05,0.0,0.22188896333016075,0.2647624579100754,0.0,0.0,0.01508657317430053,0.01660491601463271,0.22188896333016075,0.2647624579100754,0.22188896333016075,0.2647624579100754,10.0,0.0,5.0,0.0,7.5683244396778395,1.4471130766158908,0.95,0.0,12.375,0.7187952884282609,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.231085405055632,0.6462927516460569,1.0,0.0,0.9593987398183074,0.0047312421031010495,0.8856112893156078,0.03613468321562797,0.3348908471706097,0.04884622035983752,0.38581395261575724,0.040647644872663265,8.515410566391438,1.850063323889964
dx10,6.0,16,16.0,0.0,0.05,0.0,0.05386490379223255,0.022697580428269266,0.0,0.0,0.004289054481290832,0.001336047283200876,0.03513776011347896,0.038884926440415926,0.03513776011347896,0.038884926440415926,10.0,0.0,6.0,0.0,10.643799037207458,1.9632286951749582,0.95,0.0,13.375,0.6191391873668903,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,4.7331712956866525,1.2692198318087693,0.5,0.5163977794943222,0.9594931197660125,0.009470552173894973,0.8094777621465166,0.06088794119482526,0.4320359162854813,0.06422630732303128,0.4692378865907183,0.058068453887520466,8.062877108957926,1.50658087030245
dx10,7.0,16,16.0,0.0,0.05,0.0,0.005942616196674953,0.002136932448762072,0.0,0.0,0.001047390987464464,0.00021279669260735527,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,15.033123326666821,1.8197471701958732,0.95,0.0,14.375,0.5,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,8.003254668838485,2.161876468708597,0.0,0.0,0.9612832357572477,0.008634416156338504,0.7161182911518076,0.07407350455061647,0.5290321840466605,0.06537405879803544,0.5555334061452506,0.05850305174330128,8.064749778178097,1.2432857345247428
dx10,8.0,16,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,10.728045472744778,2.7072042148464166,0.95,0.0,13.4375,0.963932916061417,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.437390720629182,1.8783289876504687,0.0,0.0,0.9591090771053223,0.0053131801040288895,0.7993751899626507,0.07435488400070572,0.4411099156797555,0.08031174145019325,0.4782325304331069,0.07097836182145931,12.561166612319113,4.011285494951958
dx15,0.0,16,15.0,0.0,0.05,0.0,0.9173381076938136,0.48062464067971067,0.0,0.0,0.2895978687048149,0.08833018221090379,0.08657790889453557,0.02608276981975392,4.3180761199860065,1.335328806861113,15.0,0.0,0.0,0.0,6.587396226296272,0.4489759405377723,0.95,0.0,12.6875,0.7932002689527196,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.005705862094017,0.5386629211415739,14.125,0.806225774829855,0.9677008173129529,0.01198736011023574,0.9999304680070107,0.0002158896357163951,0.00431646386117979,0.007368410609219253,0.1760468382199065,0.03827613921731022,4245.808541693496,1928.8187307486976
