exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,9.222222222222221,131,14.555555555555555,7.388584813834462,0.3477407786606615,9.574669858371879,0.005835268618142008,2.3457127589870827e-13,0.005835268618108409,0.9999660810363318,1.0,0.01862208425516897,0.010102613060539863,0.018472224220757644,0.01000618668419788,0.9999976883063529,0.8888196663098241,0.9999975790691554,0.8888206637938624,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.014883903564457915,0.01650283107858338,0.9019000130088931,0.004753614882735176
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,38,3,0.06382978723404255,1.0,3,0.5555555555555556,10.222222222222221,138,15.333333333333334,1.1020741407852215,0.032978483413559814,2.971135008028955,0.005262425771845042,4.2662245483735456e-14,0.0052624257718421885,0.9999723094276911,1.0,0.03757988820912922,0.019005387333214215,0.04288150192230532,0.02074260339560903,0.9999906388691998,0.8886543087060328,0.9999907554457735,0.8886050084641268,"[3, 1, 0, 0, 0, 0, 1, 0, 0]","[10, 16, 16, 16, 16, 16, 16, 16, 16]",0.0019225857825818172,0.0024362826635629707,0.7891472575559474,0.007305611424720733
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,11.0,132,14.666666666666666,2.5605625811726975,0.14737828406490772,5.496135050377573,0.004924931250557952,8.446592410385882e-14,0.004924931250535536,0.9999757612162183,1.0,0.02905277274565574,0.0160206415560359,0.028303511620345403,0.015773264759473916,0.9999925475944146,0.8887131933828903,0.9999928781387649,0.8887192932608614,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[4, 16, 16, 16, 16, 16, 16, 16, 16]",0.01906015090790114,0.017243523224904467,1.1053513054903394,0.0054086651848543
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,45,3,0.06382978723404255,1.0,3,0.6666666666666666,11.0,140,15.555555555555555,1.8446837569738754,0.03174375230689582,3.3672602550850015,0.007816410490148147,3.8284980268753547e-13,0.007816410490185508,0.999938942210435,1.0,0.04162031412104893,0.021634883515940905,0.043019647283388744,0.022146040466698106,0.999986872898673,0.8885744458473896,0.9999846277702666,0.8885545961291174,"[3, 1, 1, 0, 0, 0, 1, 0, 0]","[12, 16, 16, 16, 16, 16, 16, 16, 16]",0.005264468888637075,0.006806994134923132,0.7733911304003972,0.00959775700554823
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,4,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,47,3,0.06382978723404255,1.0,3,0.7777777777777778,9.666666666666666,131,14.555555555555555,3.3627223632428573,0.25701081449804103,7.227643411892827,0.003987059208519891,1.5684551395691418e-13,0.0039870592085246214,0.9999841315791975,1.0,0.020476637845966414,0.01159753502881105,0.021569074171037483,0.011979523153411708,0.9999969206326756,0.8887977637794617,0.9999969211026751,0.8887895507370865,"[3, 1, 0, 0, 1, 1, 1, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.003377033996068937,0.003655116968972785,0.9239195420380762,0.0060604498074287114
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,5,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,10.0,131,14.555555555555555,4.376116911157532,0.2517386870490871,7.060712238406094,0.007312391495395514,2.0385847567018793e-13,0.007312391495418789,0.9999466977733208,1.0,0.019755193880989067,0.01109867912719104,0.02052045065917712,0.011125205073709211,0.9999962937212098,0.8888096726840543,0.999996920372115,0.888806316489921,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.00672397921591128,0.0020234007971175645,3.3231079208281047,0.014235991614750192
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,6,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,11.11111111111111,143,15.88888888888889,4.819641743766412,0.05893501128287945,7.7303037048030205,0.0050902577895322355,6.788238821958674e-14,0.005090257789530851,0.9999740944529388,1.0,0.04296325454023528,0.023435027325366672,0.047048705045926634,0.02508157147909828,0.9999827478139488,0.8885269813955882,0.9999807839149978,0.8884601867787567,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[15, 16, 16, 16, 16, 16, 16, 16, 16]",0.0014003428982456573,0.0013895675557225888,1.007754457477575,0.004322106217403373
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,7,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,50,3,0.06382978723404255,1.0,3,0.7777777777777778,6.888888888888889,131,14.555555555555555,5.230671171997474,0.39342352301811223,10.888311736789486,0.007721583742432354,2.926104449865915e-13,0.007721583742419757,0.9999407374487758,1.0,0.01860676628536034,0.010015177403016193,0.0182646639327707,0.009855385880082314,0.9999981285819534,0.8888196246144322,0.9999982451868852,0.8888211051863438,"[3, 2, 0, 0, 0, 1, 1, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.0025171424642618234,0.0010883920034889894,2.3127167933913326,0.005427180722582479
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,8,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,11.0,131,14.555555555555555,2.645586737450981,0.2284578591780456,6.488064273502587,0.006613827095949913,2.675853405511369e-13,0.006613827095951994,0.9999562527798908,1.0,0.021353420082380125,0.01271808189595618,0.02383990412302512,0.01360394273793092,0.9999952748866293,0.8887844970014176,0.9999952799335066,0.8887647592757948,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.001821664848720748,0.003820847653767343,0.47676982015354435,0.010744733731084975
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,9,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,42,3,0.06382978723404255,1.0,3,0.6666666666666666,11.0,131,14.555555555555555,3.6781415452173443,0.2675308736991818,7.453052415999392,0.007070238420260281,1.0813791116821387e-13,0.007070238420248787,0.9999499447285064,1.0,0.02449240033320786,0.013441828937835068,0.023283739175832766,0.01301276493398739,0.9999950333025972,0.8887652992884463,0.999995966048256,0.8887728519409045,"[3, 1, 0, 0, 0, 1, 1, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.0026504336769584353,0.001355344365577113,1.9555426239071472,0.01025097529762407
