exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,0.0,16.0,14.0,16.0,6.79033781232507,8.865036523679324,1164.8829858391252,0.7914984649523455,0.9610896084456123,0.48918202157647517,0.4566196831583747,"[604.2212448218278, 505.6212232960272, 400.289066587278, 379.9496214186227, 335.8689236212207, 329.63917939481905, 238.78135781788433, 201.5272609606575]",3.8359601148640046,2.089499127535949,1.058457439402657,33.43198604057518,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.2147767756596792, 1.058457439402657, 2.8837822822276085, 1.2957207547156038, 3.6882411839184366, 3.3060756071382245, 1.5144531307696467, 3.8359601148640046, 1.6850088066623667, 1.5639474696046316, 2.519446221225311, 1.5021545802808798, 1.7802643895892267, 1.080229788383769, 1.8920689206726904, 2.611398575460444]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,1.0,16.0,8.0,16.0,3.030704242096624,4.339144664774608,17506.763637416516,0.9996517952435303,0.9663107225408218,0.18446070434917713,0.018660245348591575,"[12705.430558284741, 8942.330931687475, 5449.218613769422, 4477.37738695306, 3365.0522010189156, 2478.76490924183, 1978.3634714344496, 1851.197729138392]",32.74022207344997,5.835942046672681,0.9735953106452189,93.37507274676288,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[15.616568436699568, 5.181145690890772, 32.74022207344997, 8.371854227137318, 2.48247557070099, 1.1726604134565002, 1.7949966663438908, 1.8851817621925062, 6.404281020616273, 1.883655283625206, 1.2490356208755067, 4.866032867232745, 2.198192971538172, 3.0914058194887586, 0.9735953106452189, 3.4637690118695006]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,2.0,16.0,0.0,16.0,1.9792140894514325e-19,2.40329573487323,2.5064637987446085e-08,0.0,0.0,0.0,0.0,"[1.8852683205796e-08, 6.581607425503844e-09, 4.324621613022203e-09, 2.425277627413134e-09, 1.808834719731009e-09, 1.7063355385036465e-09, 1.5785262996009528e-09, 1.476193089158421e-09]",122.23142934492927,41.56081824763485,1.8498803052808765,664.9730919621577,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.8498803052808765, 102.56185430586314, 21.758291633866094, 17.03501460150153, 10.785404581535428, 6.7347424371120015, 95.6953507203989, 47.5630716942484, 74.95955635741598, 52.711632851924236, 22.27929783327839, 122.23142934492927, 6.706191227155224, 46.66680792047588, 5.779184260225361, 29.655381886946902]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,3.0,16.0,0.0,16.0,3.9662993103903837e-19,2.7029866709168617,2.955976627183098e-08,0.0,0.0,0.0,0.0,"[2.1999068696439213e-08, 7.373661674398447e-09, 5.823562228421961e-09, 4.594334049505419e-09, 2.709053847206061e-09, 2.6446405678029553e-09, 2.0496723189074173e-09, 1.7813874597173299e-09]",58.363993094212965,14.676860242181752,0.9186265133622179,234.829763874908,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[58.363993094212965, 47.79705411598929, 3.2949345578460125, 25.102263335332424, 4.717156577415866, 2.922044652995741, 33.46922105910739, 1.9421984595390185, 1.3847752332348797, 13.105376340204431, 2.1832506838158734, 4.241278754025453, 4.0777092887534, 13.41181065987008, 17.89807054920298, 0.9186265133622179]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,4.0,16.0,0.0,16.0,1.2990458663045295e-18,4.361786766550744,3.7888343609200106e-08,0.0,0.0,0.0,0.0,"[2.51173496730537e-08, 1.4289584344749215e-08, 1.1673724493082073e-08, 8.335566066701398e-09, 5.4954032186133894e-09, 4.650824349875764e-09, 2.77410857829444e-09, 2.4358058172677034e-09]",39.964215981905454,9.925163441289806,0.6542875869962562,158.8026150606369,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[6.221420017053869, 20.80741621309793, 39.964215981905454, 28.204346360194826, 5.390907063772692, 6.5061506110804945, 18.13914342523305, 1.376184696803602, 1.0642676910142204, 18.88558301052612, 3.0116188007051417, 1.519389629741955, 2.4786318997336734, 2.789608845006387, 1.7894432277712176, 0.6542875869962562]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,5.0,2.0,1.0,2.0,1.1047385797278755,1.219208483570037,11390.086098892762,1.0,0.9577336363904931,0.20558784888583978,2.091353885218015e-12,"[9235.46788660783, 2116.3877809551313, 1.5124289525734246e-08, 1.1880515968575521e-08, 8.3327163602016e-09, 5.680120252991261e-09, 4.37287094210651e-09, 2.8274196082387284e-09]",7.0145615021342955,3.667415467526317,0.32026943291833837,7.334830935052634,"[0, 1]","[7.0145615021342955, 0.32026943291833837]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,6.0,11.0,3.0,16.0,1.8434414573494304,2.3810531661733823,74885.44585559277,0.9998348812743242,0.9637958635898438,0.1906915759937072,0.012849853138300067,"[58379.85454831536, 34035.57078322033, 11938.423849101928, 10065.847181417477, 7214.22001798972, 3553.56829150883, 2912.518001549158, 1926.299834678649]",19.730571452216058,2.060711021897459,0.051382808266485946,32.84285797466358,"[0, 1, 2, 3, 6, 7, 9, 10, 12, 13, 14]","[5.129130584027816, 19.730571452216058, 3.8366901137159757, 2.296022148063552, 0.041536187987886435, 0.028152388475273217, 0.31274688225578057, 0.051382808266485946, 0.02559965772495374, 0.24291827527337181, 0.17720661272173896, 0.020629586782071923, 0.5845983411098824, 0.31037166720411175, 0.17121908980880576, 0.012600554725575626]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,7.0,13.0,3.0,16.0,1.6154229280650942,2.1250765886434912,176177.60551171156,0.9999673785267963,0.9771585092248394,0.1512394364089113,0.005711521093701059,"[145025.91344422966, 63964.02651360171, 39821.476949302625, 21795.30398732381, 7968.399399768124, 5686.87422565646, 3876.5724670989953, 2841.6665154161024]",3.329841562880046,0.8047519605814251,0.09093332573636033,12.829702225345363,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15]","[2.0010627835158825, 0.5037103483053905, 3.329841562880046, 1.2199020619787622, 0.38722355115915863, 0.03422619072155989, 0.31534564395842557, 0.40093800112712724, 1.637557404311811, 0.006282524645606351, 0.09093332573636033, 1.5278170262970039, 0.628124420855951, 0.00582042859027488, 0.4711141693253722, 0.3161319258940708]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,0.95,0.001,8,0.05,0,8.0,0.0,3.0,16.0,2.335801996939957,2.786454201097875,121790.25286076328,0.999954459624435,0.9634233961727844,0.19136477860490822,0.006748360953970266,"[82921.70633991716, 65806.83981454691, 30273.438912270485, 16348.258213191535, 8572.829282649936, 4172.97629586857, 2855.8335153308917, 2560.257750008027]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx30,model_dx30.pt,1,30,8,4,causal,0.95,0.001,8,0.05,0,0.0,16.0,15.0,16.0,5.8952596132570765,7.905717488369216,4017.064320154187,0.8393733255287203,0.9533198945240441,0.4469996754368666,0.4007825775545634,"[2309.6396604762695, 1909.2857672951513, 1560.09796488628, 1348.1955160270484, 1042.7979099636923, 1027.0246381285367, 946.3942663810178, 663.4261092292487]",2.688252146362645,1.3064772495822958,0.9877135614135849,20.903635993316737,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.0040291049303889, 0.9998685874116493, 0.9902893104590922, 0.9919190032532607, 1.0122725032754278, 1.0112779977331932, 2.1172204979033094, 1.0120044744406869, 1.120423928836345, 1.0736919411673056, 1.769372908602755, 1.006051505664772, 0.9877135614135849, 2.688252146362645, 1.0509661828171404, 2.0682823390451794]"
2b,dx30,model_dx30.pt,1,30,8,4,causal,0.95,0.001,8,0.05,0,1.0,16.0,4.0,16.0,1.820078218994762,2.5437970980030995,88168.53834082239,0.9999773092739411,0.9586601204064127,0.20337559413007994,0.0047634783571371825,"[90524.49104994735, 42746.08462948524, 29290.037267274063, 16458.612692576437, 9235.832604341143, 7661.527564595924, 5796.935166570382, 4863.479231397969]",12.304536018316378,2.8096950230892412,0.9818145934177581,44.95512036942786,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.0262931259378971, 2.8594140547236946, 12.304536018316378, 1.4144290892227966, 5.466368778448899, 1.9487062947144151, 1.1744432261384983, 3.35515762893382, 1.0038240538737444, 3.7867346458050797, 1.0026579593663185, 3.0104980629240963, 1.0550715233448233, 3.580778448367207, 0.9818145934177581, 0.9843928658924322]"
2b,dx30,model_dx30.pt,1,30,8,4,causal,0.95,0.001,8,0.05,0,2.0,16.0,0.0,16.0,3.4099527760617783e-14,1.3041770428231991,4.184032143198857e-07,0.0,0.0,0.0,0.0,"[4.209821065866177e-07, 5.305207616245854e-08, 2.7675351990605807e-08, 2.341519681787439e-08, 2.1025071383758356e-08, 1.9323680597057926e-08, 1.804213232777403e-08, 1.6349594572077897e-08]",79.23093158197437,15.07383016931137,1.2786444191671693,241.18128270898188,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[2.9679582005242313, 3.4365232675301867, 4.574102851573339, 12.097589414511091, 1.2786444191671693, 31.951354539167212, 4.710803539077396, 7.742867851620597, 2.2046285134187564, 21.227649126747593, 3.6544518951469165, 6.751388406541613, 79.23093158197437, 3.9376609218464877, 15.944036048958917, 39.47069213117604]"
2b,dx30,model_dx30.pt,1,30,8,4,causal,0.95,0.001,8,0.05,0,3.0,16.0,0.0,16.0,4.130670149080603e-14,1.5013384776042153,4.3938659523878505e-07,0.0,0.0,0.0,0.0,"[4.3562949057679867e-07, 5.892072411627797e-08, 5.082132839073916e-08, 3.5261092884635106e-08, 3.1456459407571096e-08, 2.858127598757963e-08, 2.3845826597052367e-08, 2.2363621803459788e-08]",162.02706140366908,44.62974198907423,3.1234607395009513,714.0758718251876,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[3.3159336075412127, 112.70030889649685, 37.22694147826591, 162.02706140366908, 92.39444969256441, 78.14740971804117, 81.47323159240821, 12.420744680385036, 19.48575688125642, 5.100046309558327, 23.325199780277586, 28.69411188538792, 3.1234607395009513, 9.239543710079081, 25.768484999928038, 19.633186449827488]"
2b,dx30,model_dx30.pt,1,30,8,4,causal,0.95,0.001,8,0.05,0,4.0,1.0,1.0,1.0,1.0,1.0,18709.37169324697,1.0,1.0,2.934633788292563e-11,2.934633788292563e-11,"[12846.974943561294, 5.463641540098451e-07, 7.72394536188127e-08, 6.212522991640146e-08, 3.939376825493974e-08, 3.8394506301667994e-08, 3.36462820283022e-08, 3.0634353174985597e-08]",0.7569220961661163,0.7569220961661163,0.7569220961661163,0.7569220961661163,[0],[0.7569220961661163]
2b,dx30,model_dx30.pt,1,30,8,4,causal,0.95,0.001,8,0.05,0,5.0,12.0,2.0,16.0,1.185816846441183,1.423550203886012,382814.6064621794,0.9995909168586636,0.9815949291196809,0.1371372481036542,0.02022580384895465,"[374300.43962014903, 100458.47126192784, 44484.930759934854, 17042.185428466753, 13735.974570912083, 10202.70103193847, 8095.742207452083, 7709.5578173250315]",18.998821970879277,1.8371269471032239,0.08814238915969717,29.23288611439057,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12]","[8.217031748065082, 18.998821970879277, 0.5201494933223068, 0.3295759915721761, 0.31531713855232907, 0.16769752145109704, 0.12309191424152156, 0.10838290235186987, 0.1577768493276896, 0.08814238915969717, 0.11825473104545939, 0.04208928198240596, 0.08864346442206134, 0.04223502777160444, 0.03053771579887136, 0.046283013708134854]"
