exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,0,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,627,23,0.48936170212765956,1.4375,16,11.777777777777779,3.5555555555555554,130,14.444444444444445,122.23142934492927,8.957906839480026,1238.419920820102,1.1404990585245331,0.3965415389000316,1.0307646459694002,-2.474603989118451,0.8427548079271092,0.45661968315837453,0.10701915561583425,0.24439579968115974,0.05617817043136775,1.0000000000000018,0.8887671398214105,1.0000000000000018,0.8887683244569379,"[16, 16, 16, 16, 16, 2, 11, 13, 0]","[16, 16, 16, 16, 16, 2, 16, 16, 16]",58.74541925159316,0.06418321166937394,915.277028426181,1.0045531035547435
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,1,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,600,20,0.425531914893617,1.25,16,11.555555555555555,3.2222222222222223,129,14.333333333333334,162.02706140366908,7.8403751431221265,1117.3715006275204,1.816997296793074,0.6976217791844943,1.640981027475757,-0.21045362130122314,0.5133238532084341,0.4007825775545627,0.10369524647058737,0.2579828261323947,0.059240590771318,1.0000000000000002,0.8885661872433087,1.0000000000000004,0.8885618981039806,"[16, 16, 16, 16, 1, 12, 13, 14, 0]","[16, 16, 16, 16, 1, 16, 16, 16, 16]",164.6808553773596,0.27654177241401123,595.5008313565575,1.013103702467518
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,2,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,682,20,0.425531914893617,1.25,16,13.333333333333334,3.5555555555555554,135,15.0,3939.153184538592,286.0711158776618,40907.39475958182,0.9986949146297487,0.5114039306552837,0.8603510894114089,-518.3096986692632,0.738466019710849,0.40712569169900803,0.09685946386956573,0.1972212495623553,0.05628893307629479,1.0000000000000082,0.8887130704645855,1.000000000000007,0.8886207615438226,"[16, 16, 16, 16, 16, 16, 10, 14, 0]","[16, 16, 16, 16, 16, 16, 10, 14, 15]",221.69209630761304,0.3022203031259211,733.5446825200368,1.006821711701605
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,3,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,704,22,0.46808510638297873,1.375,16,14.222222222222221,4.111111111111111,144,16.0,184.8101086151377,12.455505019067315,1793.5927227456934,1.0923280474472739,0.5387414608988567,0.9930328830428659,-1.912150973321722,0.7097576383091462,0.37801871775076357,0.1139766136215868,0.23766542297398274,0.08191710435410099,1.0000000000000107,0.8883383071244672,1.0000000000000089,0.8880886835638135,"[16, 16, 16, 16, 16, 16, 16, 16, 0]","[16, 16, 16, 16, 16, 16, 16, 16, 16]",154.047752111484,0.08495466835723996,1813.2935492573883,0.9974716210275606
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,4,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,460,21,0.44680851063829785,1.3125,16,9.11111111111111,3.7777777777777777,94,10.444444444444445,128.72395923481525,8.402537883407483,755.4011372866755,1.0180740759609306,0.5874035146924844,0.7887747414694037,-17.672592597916235,0.6549571109276063,0.34567130054116835,0.09912492660924659,0.21173062585019178,0.05845529112374675,1.0000000000000089,0.888475149735084,1.0000000000000098,0.8884835999173808,"[16, 14, 1, 2, 16, 15, 9, 9, 0]","[16, 14, 1, 2, 16, 16, 9, 9, 11]",100.64906171752227,0.17459506174061573,576.4714117003485,1.0409957132378387
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,5,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,704,21,0.44680851063829785,1.3125,16,14.222222222222221,2.6666666666666665,144,16.0,713.3538018741438,15.534764343560404,2237.006065472698,1.1179245184398234,0.5394656636819101,0.9574289882242262,-2.181250430592525,0.7089767977088184,0.3364365884171481,0.09448868946450774,0.1658602047532663,0.05328690495869176,0.9999999999999939,0.8885247948254933,0.9999999999999942,0.8885582418375955,"[16, 16, 16, 16, 16, 16, 16, 16, 0]","[16, 16, 16, 16, 16, 16, 16, 16, 16]",89.7491359201512,0.18930148282418363,474.1068827416791,1.0012530901634535
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,6,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,628,23,0.48936170212765956,1.4375,16,11.88888888888889,3.5555555555555554,129,14.333333333333334,32.95984924939705,2.0328198456806645,277.45359175872863,6.834948322117208,0.4278665210856449,6.809485231198991,-0.030893219933028737,0.8169302401344335,0.40539309831887266,0.0901702207218662,0.13915678630631675,0.04499388902803034,1.0000000000000018,0.8885711890149104,1.0000000000000016,0.8885742941560822,"[16, 16, 16, 16, 16, 1, 12, 14, 0]","[16, 16, 16, 16, 16, 1, 16, 16, 16]",31.65576904996008,0.0908300119818108,348.51662307717544,1.013376310981465
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,7,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,704,23,0.48936170212765956,1.4375,16,14.222222222222221,3.7777777777777777,144,16.0,87.30120482692398,4.523445474360226,651.3761483078727,2.525083169978276,0.4490384083332855,2.4886522659055803,-0.23287873575385998,0.7983645078419128,0.38050779346784047,0.08882768367890387,0.14521159338738268,0.047276146108099465,1.0000000000000056,0.888665340678843,1.0000000000000056,0.8886338339349996,"[16, 16, 16, 16, 16, 16, 16, 16, 0]","[16, 16, 16, 16, 16, 16, 16, 16, 16]",91.35071658449819,0.1269284936501866,719.7022036380552,1.000135956436746
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,8,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,692,24,0.5106382978723404,1.5,16,13.777777777777779,4.0,144,16.0,313.3524594300526,19.978729493356482,2876.805657195009,1.1678689606552162,0.4824317548878247,1.059705112676441,-3.574718348371027,0.7672596018763194,0.40300257386912397,0.08506978637477268,0.17250852753384235,0.04280024946502922,0.9999999999999974,0.8885556971918553,0.9999999999999951,0.8884043985001175,"[16, 16, 16, 16, 16, 15, 14, 15, 0]","[16, 16, 16, 16, 16, 16, 16, 16, 16]",151.7595282125842,0.17218970170112313,881.3507818022681,0.9963295363193515
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,9,task,causal,0.95,0.001,8,0.05,0,0.001,16,16,16,695,20,0.425531914893617,1.25,16,13.777777777777779,3.5555555555555554,140,15.555555555555555,5289.321584449606,89.1514964886414,12798.910117253912,0.9973425728043809,0.5801131799896965,0.7893853568783766,-129.96476434790762,0.6634686984029152,0.3412398501676146,0.12550433341587977,0.31031859786111526,0.09194604845676649,1.000000000000005,0.8871190808098312,1.0000000000000024,0.8869529404974063,"[16, 16, 16, 16, 16, 16, 15, 13, 0]","[16, 16, 16, 16, 16, 16, 15, 13, 16]",408.4461900464899,0.11366913850686268,3593.2900997734782,1.0362349296023845
