exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,16.0,14.0,16.0,6.790332196784649,8.86503487577368,1164.8824612475933,0.7914982154295066,0.961089610860406,0.48918226473999415,0.45661995638659225,"[604.2217523474543, 505.6207695724834, 400.2888545966047, 379.94934741765024, 335.8682943501689, 329.63920675137103, 238.7812604255453, 201.52690728096698]",3.8427876249314576,2.081640132883897,1.0654019576110312,33.30624212614235,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.2146684001800934, 1.0654019576110312, 2.7713703837369645, 1.294503214153225, 3.6858064607416137, 3.306418288806556, 1.514173725592358, 3.8427876249314576, 1.6833446883977101, 1.5601304513217769, 2.520257221458385, 1.5014443333310066, 1.7597214477091405, 1.0794599221651457, 1.895041370440624, 2.6117126355652656]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,1.0,16.0,8.0,16.0,3.030754415295907,4.339170166649693,17506.454230033916,0.9996518661610166,0.9663089564109294,0.18446530415151224,0.018658345022624513,"[12705.37136659898, 8942.533066771231, 5449.223097954239, 4477.55535243107, 3365.1220828544424, 2478.5573169400914, 1978.4400342356669, 1851.2012154668264]",31.327938774891244,5.7288827032325305,0.9732108515104496,91.66212325172044,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[15.616984498420631, 5.1799246676722825, 31.327938774891244, 8.091507306951277, 2.48581066109291, 1.168568314689227, 1.7992454616928726, 1.896273038360522, 6.413001696699566, 1.8876877645964778, 1.2702720879774203, 4.861700297923348, 2.1417849584529183, 3.0925135971697912, 0.9732108515104496, 3.455699273619536]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,2.0,15.0,2.0,15.0,1.273785493507206,1.5244761206079558,41453.0493115235,1.0,0.981451208324397,0.13619394874811067,2.1567833905120242e-13,"[34744.0861965066, 12233.895641129024, 3125.831487362542, 1831.4050165611025, 982.6243743090378, 873.3886526905654, 633.8453414117893, 582.0265201536713]",3.6207415434123678,1.338341911930937,0.07183302166420018,20.07512867896406,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[2.598958758290689, 3.6207415434123678, 0.830596726446818, 2.123102265631187, 1.2812863724818846, 0.979186377520241, 0.9620865706692384, 0.8392513281498358, 0.8471272811343897, 1.018244066749461, 1.830436194742364, 1.4371440052822124, 0.7520805023709776, 0.07183302166420018, 0.8830536644181903]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,3.0,16.0,0.0,16.0,2.578995510576571e-19,3.366052274942902,2.641716239503619e-08,0.0,0.0,0.0,0.0,"[1.8782035018621543e-08, 8.984557407528543e-09, 4.272631030207365e-09, 4.112951692941179e-09, 2.632063318369486e-09, 2.390749939723455e-09, 1.7989338657405554e-09, 1.5232463688425395e-09]",92.29162407548331,23.571103315228683,1.2375739710315277,377.1376530436589,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[27.41871071262657, 74.4684189487301, 1.7232326864412033, 18.92096995554183, 2.170615767395657, 57.08388790630506, 5.680770262210501, 48.41046672066557, 1.2375739710315277, 1.717481544090944, 92.29162407548331, 4.440724857135236, 9.649811528882898, 18.217859268015918, 6.136730214317025, 7.568774624785537]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,4.0,16.0,0.0,16.0,7.832026207060806e-19,4.63336967333643,3.448350804230011e-08,0.0,0.0,0.0,0.0,"[2.2257180379950763e-08, 1.2417430269524209e-08, 9.960486486954145e-09, 7.013000346094844e-09, 4.838219771415652e-09, 3.2737930398548315e-09, 2.9695102692259113e-09, 2.4184617655633975e-09]",38.92813372196874,11.34300491461149,0.5376601847447595,181.48807863378386,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[19.044367677798853, 8.752406265864158, 36.835561485020534, 0.6940241119922189, 1.6979610993582226, 11.80046220642186, 4.605274467178974, 9.87290500149915, 12.24001485431724, 38.92813372196874, 0.5376601847447595, 10.379047240059613, 0.9032104050644888, 11.370477049752072, 11.411860774693325, 2.4147120880496056]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,5.0,16.0,0.0,16.0,7.34799774206809e-19,5.021213463662133,3.30535459089005e-08,0.0,0.0,0.0,0.0,"[2.1266548262300656e-08, 1.2623959200459472e-08, 9.24159090071722e-09, 8.128146394106193e-09, 4.89260380724052e-09, 3.71988912033542e-09, 2.908716140202762e-09, 2.8804192281279066e-09]",85.7184122093151,17.58595822349361,0.8029416147552354,281.37533157589775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[31.225227963518947, 4.795695873938754, 12.12583114167643, 11.711696783724971, 33.59072653174262, 2.9089521825251956, 30.318046426530895, 2.7352896108065936, 4.527930967499737, 5.097389433963066, 0.8029416147552354, 2.304514176903872, 37.887251962363436, 3.5570007087072786, 12.06842398792558, 85.7184122093151]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,6.0,16.0,0.0,16.0,8.954711212372585e-19,4.614323252702756,3.472878121225271e-08,0.0,0.0,0.0,0.0,"[2.3031263212219096e-08, 1.3214462869145174e-08, 9.469066731456764e-09, 7.440082042863153e-09, 4.84947818510131e-09, 3.842639357463119e-09, 3.1454177548591672e-09, 2.8472440086844504e-09]",24.919968811735426,8.570203991861401,0.9564462350251604,137.1232638697824,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5.809900153431348, 8.671209003752027, 17.42508769498251, 9.175399672562142, 12.875604166289222, 4.074846437700946, 1.7218657043796148, 3.949139850999804, 24.919968811735426, 2.0525067390328333, 7.418668153653747, 0.9564462350251604, 6.148484892522766, 9.013134125752405, 18.702090100209155, 4.208912127753314]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,7.0,16.0,0.0,16.0,5.384887289666342e-19,5.071102445855345,2.9589979043014334e-08,0.0,0.0,0.0,0.0,"[1.967877814652671e-08, 1.1292285717087887e-08, 9.224443405300773e-09, 7.067782025618784e-09, 4.6305128785648855e-09, 3.754446805725237e-09, 2.799430450964545e-09, 2.475217765173159e-09]",18.631119260625137,3.9429304338068136,0.8618575152953213,63.086886940909004,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[3.1115964305270762, 12.267566677637758, 3.1116056307825417, 1.5629365147697167, 4.976061891163301, 1.2056516931654924, 6.282095397459832, 1.5108673433870081, 1.1673437361816916, 0.8618575152953213, 18.631119260625137, 1.0997200280914985, 1.7883646617015307, 1.9366313746636745, 1.2395593388077946, 2.333909446649643]"
2b,dx30,model_dx30.pt,0,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,8.0,0.0,0.0,16.0,7.438371259749973e-20,5.659928039245593,1.7597002207950853e-08,0.0,0.0,0.0,0.0,"[1.1375095912280414e-08, 6.994049369755393e-09, 5.993673133490108e-09, 4.827336614235518e-09, 3.1210625852170487e-09, 2.495132499853786e-09, 1.6803644481679072e-09, 1.5668992105523317e-09]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx30,model_dx30.pt,1,30,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,16.0,15.0,16.0,5.895265551628602,7.905723204829121,4017.0640033615555,0.8393734384646023,0.9533198980201486,0.44699955172472366,0.4007824366603378,"[2309.63855538739, 1909.283691916638, 1560.0989078866303, 1348.195394814488, 1042.7985826811318, 1027.0252792088077, 946.394565785058, 663.426750416039]",3.004046810726646,1.324875801940736,0.9879619959758784,21.198012831051773,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1.0040407192519982, 0.9998637996076871, 0.9902981018327358, 0.991899871336925, 1.012157653828803, 1.0112957345373725, 2.116466716664044, 1.0121347123788638, 1.118921415517908, 1.0737219508884939, 1.7689072073208099, 1.0060649198696123, 0.9879619959758784, 3.004046810726646, 1.0329880161778608, 2.067243205136136]"
