exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,0,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,127,47,1.0,2.9375,16,14.11111111111111,2.6666666666666665,143,15.88888888888889,92.29162407548331,8.240229514116596,1185.2547081208588,1.1404943324924612,5.727318312612335e-14,1.14049433249247,-3.2551488286120467,1.0,0.45661995638659164,0.051685687860098514,0.004696911462181084,0.0005233997400583673,1.000000000000002,0.8888637968936455,1.0000000000000024,0.8888641743735481,"[16, 16, 15, 16, 16, 16, 16, 16, 0]","[16, 16, 15, 16, 16, 16, 16, 16, 16]",58.7454211697744,0.06418317928345256,915.2775201480227,1.0045530576991863
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,1,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,127,47,1.0,2.9375,16,14.11111111111111,2.4444444444444446,143,15.88888888888889,668.3078403620217,37.31479857112629,5372.0953780674245,1.816995104903856,1.7662047071726582e-13,1.8169951049038569,-0.48399646173058386,1.0,0.4007824366603382,0.0447704945489675,0.0011946563629661466,0.00013388944285490657,0.9999999999999963,0.8888754972523296,0.9999999999999963,0.8888768645049141,"[16, 16, 15, 16, 16, 16, 16, 16, 0]","[16, 16, 15, 16, 16, 16, 16, 16, 16]",164.691993476726,0.27654063528492384,595.5435565809033,1.0131383940923104
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,2,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,111,47,1.0,2.9375,16,12.333333333333334,2.4444444444444446,127,14.11111111111111,42518.671144749445,1291.7761589782415,185877.6746468359,0.9986925867353819,2.4642278892005345e-13,0.9986925867354475,-699.7244344922938,1.0,0.4071253973086272,0.04560105563954115,0.0018175121115889265,0.00020768274623110696,1.0000000000000047,0.8888792057581311,1.0000000000000049,0.8888784966670424,"[16, 16, 11, 4, 16, 16, 16, 16, 0]","[16, 16, 11, 4, 16, 16, 16, 16, 16]",221.6921316654376,0.30221895059667786,733.548082367918,1.006821687731035
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,3,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,127,47,1.0,2.9375,16,14.11111111111111,2.6666666666666665,143,15.88888888888889,653.7511094062592,31.36956293533863,4514.572906452198,1.0919066781174516,2.3941801461478343e-13,1.0919066781174718,-2.5311987227938464,1.0,0.378018324355165,0.0425131791517086,0.00290698363641649,0.0003241100794862572,1.0000000000000104,0.8888770016609805,1.0000000000000084,0.8888776028408175,"[16, 16, 15, 16, 16, 16, 16, 16, 0]","[16, 16, 15, 16, 16, 16, 16, 16, 16]",154.0477734486737,0.08495499382681157,1813.2868535393457,0.997471726837996
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,4,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,111,47,1.0,2.9375,16,12.333333333333334,2.5555555555555554,127,14.11111111111111,5858.428283673535,236.41346445194918,33994.949341126994,1.0180721661549301,2.836592317117786e-13,1.018072166154969,-30.110780068759514,1.0,0.3456718370238348,0.03846374306127073,0.00028703594269189784,3.447931658465771e-05,0.9999999999999979,0.8888839793015509,0.999999999999997,0.8888840339300093,"[16, 14, 11, 6, 16, 16, 16, 16, 0]","[16, 14, 11, 6, 16, 16, 16, 16, 16]",100.64906878480042,0.17459472446071242,576.4725657987944,1.0409955691301611
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,5,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,127,47,1.0,2.9375,16,14.11111111111111,2.2222222222222223,143,15.88888888888889,211.00615496675061,8.036728218636751,1156.0048084173527,1.1179780096139071,1.1548628331809042e-13,1.1179780096139067,-3.3334944686145693,1.0,0.33643605461759923,0.037782648223656436,0.003728725220295914,0.0004154208997639114,0.9999999999999961,0.8888699656468619,0.9999999999999969,0.8888698204076589,"[16, 16, 15, 16, 16, 16, 16, 16, 0]","[16, 16, 15, 16, 16, 16, 16, 16, 16]",89.7491205042692,0.18930089888814813,474.10826378219735,1.0012530411522231
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,6,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,127,47,1.0,2.9375,16,14.11111111111111,3.111111111111111,143,15.88888888888889,60.84259227308149,5.339472365693969,767.4375971249501,6.827213700242027,7.313983574425201e-14,6.82721370024203,-0.03878004953447256,1.0,0.40539293404559745,0.04648317814132407,0.007202539482041777,0.0008014866602267728,1.0000000000000053,0.8888689856467282,1.0000000000000062,0.8888710479088955,"[16, 16, 15, 16, 16, 16, 16, 16, 0]","[16, 16, 15, 16, 16, 16, 16, 16, 16]",31.65589869922137,0.09083003452052273,348.5179639788514,1.0133779518752317
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,7,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,127,47,1.0,2.9375,16,14.11111111111111,2.7777777777777777,143,15.88888888888889,166.0486188257581,11.878652130459578,1708.84189644267,2.5244071061976476,1.0004003569463893e-13,2.5244071061976223,-0.26839798958642236,1.0,0.3805074937602413,0.04311516186640104,0.00556321932836744,0.0006193028950436077,1.0000000000000009,0.8888277558463911,1.000000000000001,0.8888325008058698,"[16, 16, 15, 16, 16, 16, 16, 16, 0]","[16, 16, 15, 16, 16, 16, 16, 16, 16]",91.35068155805037,0.1269281519370325,719.7038652494391,1.0001359386561475
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,8,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,127,47,1.0,2.9375,16,14.11111111111111,3.0,143,15.88888888888889,838.5970974860481,28.554438782636666,4110.677259722542,1.1678669529374754,1.8331438632119176e-13,1.1678669529374714,-4.556317100382771,1.0,0.403002349320818,0.045090490731831225,0.0022689480642893336,0.0002533964810244531,1.000000000000003,0.8888717227970055,1.000000000000004,0.8888719367531128,"[16, 16, 15, 16, 16, 16, 16, 16, 0]","[16, 16, 15, 16, 16, 16, 16, 16, 16]",151.75949154854248,0.17218843682421237,881.3570431763322,0.9963295341235774
2b,dx30,model_dx30.pt,dx,30,30,128,8,4,9,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,111,47,1.0,2.9375,16,12.333333333333334,2.3333333333333335,128,14.222222222222221,13119.955936158396,143.25144650542848,20624.220922521734,0.99734250833652,4.121272961369452e-13,0.9973425083365436,-208.283812020019,1.0,0.3412389748237436,0.03803030382485999,0.0005424236921044025,6.418522962933026e-05,1.0000000000000124,0.8888861506364057,1.0000000000000118,0.8888861121666052,"[16, 16, 14, 1, 16, 16, 16, 16, 0]","[16, 16, 15, 1, 16, 16, 16, 16, 16]",408.4462450013671,0.11366905268775576,3593.2932961388556,1.03623489403324
