checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx10,0.0,4,8.0,0.0,10.0,0.0,0.0,0.0,4.2723762039866475,0.43397330182408744,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.363887940374868,0.6324617642590473,7.25,0.5,0.9680828237167596,0.021355114361513435,0.9104759698006316,0.038100814901985795,0.2947695159539811,0.059272958012055114,0.33995711268159906,0.062353241312567795,3429.8375556690194,1041.056474676308
dx10,1.0,4,37.0,2.449489742783178,10.0,0.0,1.0,0.0,1.9365595780577625,0.33604507628085634,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.616063498550299,0.30636232120609536,2.75,0.5,0.9955404729743667,0.004523787690390897,0.9999857500093294,1.2441582012642569e-05,0.0031776972882721164,0.002352935929034196,0.06175043244889248,0.02967759958437858,728.1771566462609,117.47146973064267
dx10,2.0,4,29.75,0.5,10.0,0.0,2.0,0.0,10.364978773915526,1.6099819818277779,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,6.51724862705993,1.2189733316508757,26.25,1.707825127659933,0.9679844393494045,0.015149919991798702,0.9999999999999556,5.294650384036901e-15,8.40259619931908e-12,2.3658223174613463e-12,0.1740704269959743,0.04781976015540454,4.7639298721055,0.29389587467899403
dx10,3.0,4,14.0,22.105806175452337,10.0,0.0,3.0,0.0,3.8632294109412992,4.2001540677959275,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,1.1284598750058086,0.8372104096820977,2.25,2.6299556396765835,0.7499999999968995,0.499999999997933,0.7499999999968995,0.499999999997933,3.1515706512624965e-11,2.4077102573156642e-11,3.1515706512624965e-11,2.4077102573156642e-11,0.6252366437666682,0.6824518415406572
dx10,4.0,4,7.5,0.5773502691896257,10.0,0.0,4.0,0.0,4.121608038110837,1.5296831025215307,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.3186543764624146,1.3669080413848183,6.0,2.160246899469287,0.9754404610970889,0.02012200216721691,0.9999999999998225,1.3547136785080884e-13,5.673984653172714e-12,1.709620974853926e-12,0.13368722328190236,0.09442644568769426,3.2622099183783995,2.1614534345024836
dx10,5.0,4,37.0,0.0,10.0,0.0,5.0,0.0,6.589024944457229,0.7853155975654704,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,2.948815937328973,0.34273815728053864,28.5,1.2909944487358056,0.9544946131414526,0.005455122281661936,0.9999999999999725,5.525149190006904e-15,1.1730291152833022e-12,4.376105941155269e-13,0.21301378666047016,0.013191590810687832,6.09129505644654,0.6170705335220432
dx10,6.0,4,37.0,0.0,10.0,0.0,6.0,0.0,9.609255758363982,0.4659571056986982,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,4.574999491595735,0.2559402910187996,31.75,0.5,0.9552709933135117,0.005394542837293943,0.9999999999999722,4.0448295986654295e-15,1.0961936836725035e-12,3.6051204907788054e-13,0.21119363661199725,0.012974566970821463,6.054939744687459,0.4520436324262923
dx10,7.0,4,37.0,0.0,10.0,0.0,7.0,0.0,12.493795742046961,0.8747131687079839,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,7.2416110649237755,0.5554793855550666,33.5,0.5773502691896257,0.9595286240218526,0.004478368773341309,0.9999999999999756,2.6906211672440984e-15,1.0509349632882897e-12,3.889407340157652e-13,0.2009543512656457,0.010876561069654586,6.41638249505289,0.35199108610853463
dx10,8.0,4,37.0,0.0,10.0,0.0,8.0,0.0,10.161314886662062,1.6850897890023806,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,5.726886770558321,1.111225115089162,32.25,0.9574271077563381,0.957874398803202,0.005067306589539933,0.9999999999999888,1.6579165288486218e-15,9.26973250094549e-13,2.676867705122786e-13,0.20494772640724235,0.012755685649359473,9.4921880192619,0.7937275874297294
dx15,0.0,4,8.0,0.0,15.0,0.0,0.0,0.0,5.01630258151021,0.1794667437162622,0.95,0.0,0.001,0.0,4.0,0.0,8.0,0.0,3.968496440081138,0.3088328099723875,7.5,0.5773502691896257,0.9799622814889334,0.023706845309449207,0.7380346068030896,0.08807659690091627,0.5052030745365285,0.09476459729771902,0.5228657234858652,0.0755729065459373,4650.027461851501,1593.3828399123452
