exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,gamma,min_explainable_frac,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,sum_candidate_rank,mean_candidate_rank,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,0,task,0.95,0.001,0.001,8,16,16,653,3,0.06382978723404255,1.0,3,18.666666666666668,233,25.88888888888889,0.005731029125457709,2.3961124929312877e-13,0.005731029125448314,0.9999672099837678,1.0,0.01674586787707275,0.00836144756873737,0.01622950360366452,0.008040044765482264,0.9999997797307375,0.8888358061590087,0.9999999952175663,0.8888387217359772,"[3, 34, 7, 2, 1, 27, 26, 34, 34]","[3, 44, 7, 2, 1, 44, 44, 44, 44]",0.014883903564457915,0.01650283107858338,0.9019000130088931,0.004753614882735176
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,1,task,0.95,0.001,0.001,8,16,16,578,3,0.06382978723404255,1.0,3,17.11111111111111,278,30.88888888888889,0.006218838860541572,4.575835133453012e-14,0.006218838860540495,0.9999612419855938,1.0,0.041060174853329315,0.017441576124843358,0.03315558849257698,0.013966993320388746,1.0000000000000007,0.8886415049942172,1.0000000000000007,0.8887245301242656,"[3, 41, 0, 1, 2, 0, 31, 38, 38]","[6, 44, 47, 1, 2, 47, 43, 44, 44]",0.0019225857825818172,0.0024362826635629707,0.7891472575559474,0.007305611424720733
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,2,task,0.95,0.001,0.001,8,16,16,688,3,0.06382978723404255,1.0,3,20.11111111111111,277,30.77777777777778,0.00498028709378378,8.349812837727085e-14,0.004980287093781159,0.9999751590602837,1.0,0.027640202215660062,0.013861021641721179,0.028384525144277795,0.013910515353113086,1.0000000000000016,0.8887429067219897,1.0,0.8887359663377379,"[3, 38, 3, 0, 3, 30, 30, 37, 37]","[4, 44, 3, 47, 3, 44, 44, 44, 44]",0.01906015090790114,0.017243523224904467,1.1053513054903394,0.0054086651848543
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,3,task,0.95,0.001,0.001,8,16,16,544,3,0.06382978723404255,1.0,3,17.77777777777778,206,22.88888888888889,0.0071977581033117015,1.010658159732973e-13,0.007197758103284473,0.9999482357175024,1.0,0.19309999968843636,0.04058092011083024,0.1949154513523786,0.0373506737960648,0.9999954338402798,0.8885956065394404,0.9999999982432588,0.8886928860467357,"[2, 1, 36, 5, 2, 1, 35, 39, 39]","[8, 16, 42, 5, 2, 1, 44, 44, 44]",0.005264468888637075,0.006806994134923132,0.7733911304003972,0.00959775700554823
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,0,task,0.95,0.001,0.001,8,16,16,532,5,0.10638297872340426,1.0,5,14.555555555555555,231,25.666666666666668,0.01201410086559681,2.888572370277645e-13,0.0120141008656217,0.9998546415860791,1.0,0.017213573541267575,0.00901818326268234,0.016154185408610692,0.008367967385021706,0.9999998574487067,0.8888319751521203,0.9999999733015398,0.8888393088990546,"[5, 26, 11, 4, 1, 10, 14, 31, 29]","[5, 42, 11, 4, 1, 42, 42, 42, 42]",0.007963216506779294,0.009346638379402642,0.8519872261590841,0.011578431727539326
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,1,task,0.95,0.001,0.001,8,16,16,613,5,0.10638297872340426,1.0,5,17.11111111111111,228,25.333333333333332,0.01032261238059301,3.344677963226339e-13,0.010322612380585579,0.999892479298746,1.0,0.016031328821872148,0.007695904368491082,0.0174856047149359,0.00814665608879438,0.9999998420435331,0.8888442402822863,0.9999999811854874,0.8888379533581197,"[5, 29, 8, 3, 2, 22, 23, 33, 29]","[5, 42, 8, 3, 2, 42, 42, 42, 42]",0.016858384935091397,0.016377206997479368,1.0293809523007242,0.007668807696538315
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,2,task,0.95,0.001,0.001,8,16,16,550,5,0.10638297872340426,1.0,5,15.333333333333334,277,30.77777777777778,0.005737271573156158,1.8730387753777905e-13,0.00573727157317059,0.9999671250302895,1.0,0.022075824004746905,0.0113634250251693,0.020536481942744517,0.010357675991360657,1.000000000000001,0.8887962331746155,1.0000000000000022,0.8888079212714186,"[5, 27, 10, 0, 5, 12, 17, 33, 29]","[5, 42, 10, 47, 5, 42, 42, 42, 42]",0.007419675841272566,0.0037061001577739622,2.002017086804565,0.014328417401741393
2b,dx5,model_dx5.pt,dx,5,5,128,8,4,3,task,0.95,0.001,0.001,8,16,16,655,5,0.10638297872340426,1.0,5,20.77777777777778,240,26.666666666666668,0.006274440128520615,2.625682424616755e-13,0.006274440128554931,0.9999605487387904,1.0,0.1612218805109423,0.033934436161930294,0.1001477150006301,0.0241604182844712,0.9999974452058142,0.8887087854299208,0.9999999941948966,0.888767139240447,"[4, 1, 31, 6, 4, 30, 34, 39, 38]","[6, 17, 38, 6, 5, 42, 42, 42, 42]",0.005768602916561557,0.006003941346143602,0.9608026767727826,0.014506358234450822
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,0,task,0.95,0.001,0.001,8,16,16,526,8,0.1702127659574468,1.0,8,15.444444444444445,252,28.0,0.014848989388426834,7.129179980560917e-13,0.014848989388451743,0.9997749420839077,1.0,0.13090927081434808,0.026734246360924946,0.018669481671265916,0.011495839630600222,0.9999977751843361,0.8887867100706571,0.9999986651489458,0.888811107732471,"[7, 1, 23, 9, 1, 22, 22, 27, 27]","[8, 39, 32, 10, 7, 39, 39, 39, 39]",0.017011616328460377,0.007442037654094978,2.2858815178259335,0.010170203737376319
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,1,task,0.95,0.001,0.001,8,16,16,522,8,0.1702127659574468,1.0,8,15.222222222222221,243,27.0,0.013002546001173319,1.056736718447486e-12,0.013002546001283742,0.9998303565624963,1.0,0.18061765935676463,0.04611267662299464,0.04413305844824601,0.028180214350102508,0.9999977405263415,0.8883917346699132,0.9999999316178337,0.8884784331466025,"[7, 1, 27, 4, 5, 18, 19, 28, 28]","[8, 37, 32, 4, 6, 39, 39, 39, 39]",0.04195703131113793,0.03545306511505075,1.1834528601400411,0.008401976222376885
