exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,3.0,3.0,3.0,2.8223422329772316,2.908997520647163,7117.0121062192775,0.999998925021082,1.0,0.0010368119010024494,0.0010368119010024494,"[4608.769711948345, 3830.534607261766, 3421.9012575753895, 2.280226886364438, 2.212784692770668, 2.126076408455484, 1.8562006655735674, 1.8175629469672885]",7.386267770062341,3.0951304258991486,0.5250626121447802,9.285391277697446,"[0, 1, 2]","[0.5250626121447802, 7.386267770062341, 1.3740608954903244]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,1.0,1.0,12.0,16.0,5.308473028372262,9.048351091782616,10.170193945895825,0.8344886150773183,0.9568085623268331,0.44894782317073584,0.40683090458158666,"[5.659310773840661, 4.686897440292351, 3.5226049575773297, 2.401447763815769, 1.7378675691816683, 1.6056429097739617, 1.5373306833876976, 1.4174684068748244]",0.1150805746749102,0.011378894635520623,0.1150805746749102,0.1150805746749102,[0],"[0.1150805746749102, 0.010014652988208288, 0.005458051359684049, 0.03190939096587861, 0.0031026312635553804, 0.0016119270075484362, 0.0006472509532229517, 0.0021645429251429065, 0.001857642972159957, 0.001621804186480442, 0.0016653629750751065, 0.0009076951208770552, 0.001016848857474629, 0.0026257688430981405, 0.001251784060680306, 0.0011263850143335198]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,2.0,0.0,13.0,16.0,6.249349867233859,10.645526839965056,8.784124988311422,0.8160072770665876,0.957699754662849,0.46745056524749684,0.4289437293321811,"[4.788038871511321, 3.9437498465289282, 3.2801495883430407, 2.2040467970303825, 1.6776376356533007, 1.5189439577562671, 1.4203440547250228, 1.3490062550535271]",0.02411588344208101,0.0036324015541291934,0.0,0.0,[],"[0.02411588344208101, 0.005587780805782311, 0.01644056980450542, 0.0013784185118564053, 0.0015450214545885963, 0.0008277773826723767, 0.0013217059480535034, 0.0006100646390245694, 0.0007869042079948982, 0.0010335594456518825, 0.0007826903120258997, 0.0004969578386883112, 0.000998338447985248, 0.00047193260376156027, 0.0008855511793928132, 0.0008352688420022917]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,3.0,0.0,12.0,16.0,4.1902139335203845,8.20862971133516,9.580194218713945,0.855330501537878,0.955940362160983,0.42703050311719476,0.3803544379419164,"[6.278010668139936, 3.706362929018938, 3.276173147628529, 1.7771548624663276, 1.7492110076436886, 1.4857801689055343, 1.3972202585868618, 1.3350079799997052]",0.033734008057318056,0.003089247168168294,0.0,0.0,[],"[0.033734008057318056, 0.003289810649003701, 0.003537369864300316, 0.0008586695472311358, 0.0014837551429736945, 0.0005143271830362635, 0.0008336022880225684, 0.00037939815597730234, 0.0006295876024906107, 0.0006498682603027039, 0.0006486747656511997, 0.0008002272689101825, 0.0008049231019195068, 0.0005309999972420471, 0.0005104402189182023, 0.00022229258739520468]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,4.0,0.0,12.0,16.0,4.635511538611954,8.94509710409266,9.320268983071278,0.8505625220060803,0.956453593128393,0.431829155623974,0.38657143970281643,"[5.92684270733855, 3.6252267320707205, 3.2569301048530463, 1.8247277213039728, 1.7739098142279341, 1.4619188123873375, 1.4547066482206599, 1.3469656599139692]",0.03366047720882324,0.0027917174082107993,0.0,0.0,[],"[0.03366047720882324, 0.002839164426160483, 0.0013679931450549575, 0.0006516548581232815, 0.0012353024524678834, 0.0003766362063953288, 0.00032459311055737903, 0.0006120341064493014, 0.0006741169763510527, 0.0006540837580567241, 0.0002429600156064059, 0.00042059184671749744, 0.00038064943959800594, 0.00044513097499492775, 0.0004998586263411353, 0.0002822313796751943]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,5.0,0.0,11.0,16.0,3.4360142214565528,7.16581694386052,10.197106709523927,0.8745654170375623,0.9552096115159922,0.40571752210892964,0.35416745045589415,"[7.159380331042906, 3.5976178648612613, 3.126422849744223, 1.8051160731166356, 1.7283983868915502, 1.4919193834477886, 1.4715192216453665, 1.3632240552165036]",0.02861427470258924,0.002333461955030772,0.0,0.0,[],"[0.02861427470258924, 0.0017009413938192048, 0.0009245453997842203, 0.000490387022746771, 0.0011972062361312607, 0.0002598720731063551, 0.000445156788867927, 0.00027623674662870023, 0.0005989538865260504, 0.0006455997579648074, 0.00018483814799641937, 0.00039468065300109955, 0.0004398957239489326, 0.0005046013845440979, 0.0004237560657414195, 0.0002344452970958507]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,6.0,0.0,10.0,16.0,3.0427918382757873,6.464466399712682,10.679341754991071,0.8800426044064803,0.9545282384343843,0.399968102564014,0.34634866189074687,"[7.83805672172422, 3.640667377859332, 3.0702533649480053, 1.81483130969343, 1.728108025216357, 1.5322308187917002, 1.513290376311863, 1.3994595108776426]",0.03135331215052828,0.002451223441731372,0.0,0.0,[],"[0.03135331215052828, 0.0011750979461667007, 0.0008523430817206473, 0.0004288928584785652, 0.0008615758649262213, 0.00029043430438802277, 0.00045061276498641626, 0.0005509372731491329, 0.0005820994159488816, 0.0004925266956471112, 0.00019613816190697757, 0.0004424669684659432, 0.0002989172726144247, 0.0005925761999797367, 0.00038669258500338905, 0.00026495152379150857]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,7.0,0.0,13.0,16.0,5.544208950740029,10.654443862147199,9.389153578851353,0.7909996469719012,0.963769375985007,0.4875025782839593,0.4571655641319538,"[5.786450000787486, 3.625510254670726, 3.0510767121822924, 1.955790602275306, 1.8897918885503293, 1.7757851979632284, 1.7396543725986229, 1.5816950325216734]",0.004794022328815472,0.0007489946615124224,0.0,0.0,[],"[0.004794022328815472, 0.0012188647157839272, 0.0007657979361326191, 0.0002849113743730381, 0.0005081649788780369, 0.00014992150487077216, 0.0003773950754791056, 0.0008608381254235357, 0.0007412114678810463, 0.00040336895425310034, 0.00024420129254886555, 0.0002274378805220451, 0.0003417152807989883, 0.00042298364116017447, 0.00043003689472835197, 0.00021304313254968035]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,8.0,0.0,12.0,16.0,5.008771819984838,10.003429666291172,9.918110890403215,0.7971027150822481,0.9520411529198164,0.4910452241266185,0.45044121138916876,"[6.3709598140678665, 3.665640380776869, 3.159687477691964, 2.0279332604751423, 1.944144157161165, 1.876392292362848, 1.768171820090664, 1.6561974899870766]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,3.0,3.0,10.0,2.6036555260463548,2.751361569007232,2294.0201148967362,0.9999896879423036,0.9999977330544036,0.0035466857650460746,0.003211239277361702,"[1587.5462639673012, 1504.5934560571047, 923.4601887268178, 2.62926963487668, 2.3759798188441796, 2.164817248997023, 1.9572869805163933, 1.8945897921823942]",1.1031199510289054,0.2715559361809244,0.7500586525284163,2.702237495363658,"[0, 1, 2]","[0.849058891806336, 1.1031199510289054, 0.7500586525284163, 0.0024676892040123542, 0.002119012741102893, 0.002885881390959178, 0.0004768353827518607, 0.001702911259643234, 0.0015805815870428743, 0.002088954880073987]"
