exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,mean_hidden_s,sum_candidate_rank,mean_candidate_rank,max_causal_damage,mean_causal_damage,sum_kept_causal_damage,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,0,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,4,4,0.0851063829787234,1.3333333333333333,3,0.4444444444444444,10.88888888888889,131,14.555555555555555,7.386267770062341,0.34683959630260575,9.400471852372357,0.005838539745544798,0.0004519239734289604,0.005860198718106,0.9999657908706148,0.9999997957647222,0.013354191916423556,0.007921931977030026,0.01365348929058192,0.007885989041113695,0.9999976883544784,0.8888496586823609,0.9999975790720529,0.8888509961422082,"[3, 1, 0, 0, 0, 0, 0, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.01488390055060175,0.016502830034625885,0.9018998874358318,0.004753625807544732
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,1,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,4,4,0.0851063829787234,1.3333333333333333,3,0.4444444444444444,12.555555555555555,138,15.333333333333334,1.1031199510289054,0.031961647869615466,2.8133395978332794,0.005266858864646061,0.0015081481018114349,0.0053838841254684276,0.9999710164329404,0.999997725489303,0.02262991178626947,0.012604728306541964,0.02199108254175973,0.012060717551965777,0.9999906388021981,0.8887982567029312,0.9999907554721955,0.8888103685058496,"[3, 1, 0, 0, 0, 0, 0, 0, 0]","[10, 16, 16, 16, 16, 16, 16, 16, 16]",0.0019225909042127629,0.002436283230954717,0.7891491760009154,0.007305658910131869
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,2,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,4,4,0.0851063829787234,1.3333333333333333,3,0.4444444444444444,12.444444444444445,132,14.666666666666666,2.5594106238102006,0.1465270593253157,5.341509109456953,0.004941601345149932,0.0012589540353616796,0.004936174831657716,0.9999756499496084,0.9999984150347369,0.022427566301453577,0.012336945711488549,0.02192538829723611,0.01196568452366039,0.9999925476848028,0.888795509251512,0.999992878201333,0.8888048136455567,"[3, 1, 0, 0, 0, 0, 0, 0, 0]","[4, 16, 16, 16, 16, 16, 16, 16, 16]",0.019060206740574737,0.01724355022435968,1.105352812650419,0.005408669686153667
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,3,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,5,5,0.10638297872340426,1.6666666666666667,3,0.5555555555555556,13.0,140,15.555555555555555,1.8446445690804767,0.030661544898806944,3.232282941610916,0.007816125217980386,0.004140831950511922,0.008616251628512215,0.9999258062756008,0.9999828535107577,0.02374741611112069,0.013187388449251023,0.027311470673021362,0.01420644839494481,0.9999868729507264,0.888784465957049,0.9999846276070413,0.8887763928008487,"[3, 1, 1, 0, 0, 0, 0, 0, 0]","[12, 16, 16, 16, 16, 16, 16, 16, 16]",0.0052644984301074005,0.006807002074329599,0.7733945682139204,0.009597751155646468
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,4,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,5,5,0.10638297872340426,1.6666666666666667,3,0.5555555555555556,11.555555555555555,131,14.555555555555555,3.3599898059493007,0.2553458273467118,6.980744377221467,0.003978076398190394,0.0005484563295032449,0.0039934715831783305,0.9999840806599019,0.9999996991956547,0.014200511149884758,0.008066198465945865,0.01432809412735602,0.0079795171381871,0.9999969206743208,0.888847738683066,0.9999969211187741,0.8888496305130303,"[3, 1, 1, 0, 0, 0, 0, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.003377040841704315,0.003655114322640567,0.9239220838555432,0.006060492428502697
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,5,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,4,4,0.0851063829787234,1.3333333333333333,3,0.4444444444444444,12.444444444444445,131,14.555555555555555,4.377541380536945,0.25013249869481924,6.81564097890026,0.007314899278433702,0.0006826509354054438,0.007250162643352371,0.999947600740477,0.9999995339877004,0.013754119485409931,0.007753357568425369,0.012173802020186003,0.006920588502244893,0.9999962937017913,0.8888532086345239,0.9999969203386233,0.8888613414376451,"[3, 1, 0, 0, 0, 0, 0, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.006723989044097545,0.0020234023553281975,3.3231102189791155,0.014236009944407432
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,6,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,5,5,0.10638297872340426,1.6666666666666667,3,0.5555555555555556,12.88888888888889,143,15.88888888888889,4.818475142341954,0.057794136778253374,7.563195311548854,0.005088080135524565,0.0021588101096850294,0.00531236993499378,0.9999717841555993,0.9999953395389103,0.027733383377534285,0.016136319587776702,0.032917907838356235,0.017659892174692802,0.9999827477702173,0.8887162864539784,0.9999807836566385,0.8887020658252196,"[3, 1, 0, 0, 0, 1, 0, 0, 0]","[15, 16, 16, 16, 16, 16, 16, 16, 16]",0.0014003458460225549,0.0013895693865100698,1.0077552510994434,0.004322138545996578
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,7,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,5,5,0.10638297872340426,1.6666666666666667,3,0.5555555555555556,9.333333333333334,131,14.555555555555555,5.232736362444258,0.39200430019776494,10.665586824678618,0.007731732143989785,0.0002894079353109066,0.0076324546258491575,0.9999420979769702,0.999999916243047,0.009242002392209242,0.005641327531696627,0.008912183962305366,0.005385484002105685,0.9999981285466425,0.8888686887130887,0.9999982451737878,0.8888705926293416,"[3, 2, 0, 0, 0, 0, 0, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.0025171815209006354,0.0010883962545831368,2.312743644882105,0.00542722293553771
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,8,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,4,4,0.0851063829787234,1.3333333333333333,3,0.4444444444444444,12.666666666666666,131,14.555555555555555,2.6445403026673078,0.22603370689767802,6.132507474212213,0.00661575018146454,0.0006725182645356312,0.0066240935491275335,0.9999561171516806,0.9999995477191839,0.016133624817227618,0.009231481705398593,0.017356772074237435,0.009715044772965566,0.9999952748764835,0.8888365141622937,0.9999952799322412,0.8888345948034453,"[3, 1, 0, 0, 0, 0, 0, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.0018216551759264732,0.003820838750881375,0.4767683994793713,0.0107447844116001
2b,dx3,model_dx3.pt,dx,3,3,128,8,4,9,task,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.001,16,16,16,4,4,0.0851063829787234,1.3333333333333333,3,0.4444444444444444,12.0,131,14.555555555555555,3.6791498945464958,0.2665292300053276,7.205731879909823,0.0070590800254195065,0.0010725303528435059,0.007309920136356049,0.9999464935779372,0.9999988496786423,0.020729785762909177,0.011401525382922708,0.018427497954220443,0.010401302554046435,0.9999950332195061,0.8888145792476967,0.9999959660445208,0.888830609259255,"[3, 1, 0, 0, 0, 0, 0, 0, 0]","[3, 16, 16, 16, 16, 16, 16, 16, 16]",0.0026504245495419113,0.0013553418061215843,1.955539582392361,0.010250970231751347
