exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.0,14.0,1.0,16.0,1.0922864105640824,1.2821390357409101,293.0075536657299,0.9983165872056815,0.9604560422245676,0.20288125040351496,0.041029413770105196,"[286.9200445490614, 36.13989638863578, 32.40940075972037, 24.51596133415167, 21.393922029512307, 13.90422284412247, 6.6196250553647396, 5.217872882459889]",0.6492760737965811,0.1312123088989226,0.052471635180527935,2.022264730337243,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15]","[0.6492760737965811, 0.12122619392725323, 0.21528853168273557, 0.19391045484204006, 0.16238779807799392, 0.1192667623918636, 0.1046640847753003, 0.0570290855574432, 0.052471635180527935, 0.07412961292354271, 0.043803354485341006, 0.08670007625296633, 0.05816750507474163, 0.0560092466700318, 0.0333288575601772, 0.07173766918422207]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,1.0,7.0,14.0,16.0,2.2278528777024325,2.889463918908266,12.460966006290887,0.8281723824111971,0.9810850201122909,0.4330040202419075,0.4145209495173875,"[4.261513692465401, 2.9052318160492456, 1.5911980075305183, 0.49182903229796565, 0.40691524579153043, 0.3884040293052543, 0.3261613182317842, 0.2774928767508604]",0.07010407635498726,0.041739250425795064,0.05085487211777116,0.41336156690941445,"[0, 1, 3, 4, 5, 8, 9]","[0.07010407635498726, 0.05435657861102608, 0.03811407264598854, 0.06510682389175397, 0.05189384993616176, 0.054048709114217525, 0.03318695234687734, 0.025850901211604542, 0.0669966568834967, 0.05085487211777116, 0.04465813825275092, 0.02669082910417687, 0.021635552816743623, 0.02819182007038373, 0.024215655566018186, 0.011922517888762807]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,2.0,0.0,12.0,12.0,1.9117881561953938,3.193589600344441,4.193475930261582,0.9999999999999433,0.9999999999999433,1.219363327091104e-12,1.219363327091104e-12,"[0.7112082673749273, 0.27813722673468405, 0.1766634983944849, 0.15687370514601068, 0.13034219936280436, 0.1268792436315001, 0.11109903565642006, 0.09939252695311601]",0.018532071708846475,0.00855418654691792,0.0,0.0,[],"[0.011322732426468333, 0.009385356169481851, 0.018532071708846475, 0.0039827787606996215, 0.005390264408992831, 0.008959396258030593, 0.008796488527046141, 0.00867002043200527, 0.010079642752326992, 0.008247953990293157, 0.0044718587852242715, 0.004811674343599516]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,3.0,12.0,0.0,16.0,2.3780517695601366e-35,2.210029712732049,2.2187941534429257e-12,0.0,0.0,0.0,0.0,"[2.070781180857974e-12, 2.1140013729430263e-13, 1.8443091147787706e-13, 1.8218675332713989e-13, 1.8043510438989796e-13, 1.6760801135872377e-13, 1.595267357568025e-13, 1.5664934407725358e-13]",306.88023257140577,19.43712536603024,0.0602343374457156,310.82155710201346,"[0, 1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14]","[306.88023257140577, 1.6940500086861356, 0.060363211158853985, 0.41501769923653786, 0.09167629517222707, 0.6606366308430472, 0.028297378402751927, 0.24264972503355856, 0.1845066578501983, 0.04728504727546806, 0.04741681130370803, 0.23813198839226393, 0.16610498318510977, 0.12795299360400564, 0.0602343374457156, 0.04944951748848187]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,4.0,15.0,0.0,16.0,1.325553747161195e-35,2.636634108760131,1.87689963558516e-12,0.0,0.0,0.0,0.0,"[1.7568606851010698e-12, 1.9321775069777773e-13, 1.8328027563316338e-13, 1.7299434096824894e-13, 1.6657957277358438e-13, 1.627764777571665e-13, 1.4973754251278148e-13, 1.4911518458013703e-13]",76.26998503366329,5.091684901979212,0.0620602142339648,81.42816209285382,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]","[76.26998503366329, 0.15316075237386512, 2.594129683751593, 0.3935998505794793, 0.13886104934080265, 0.12854410575691871, 0.12810430703666664, 0.06819583627211417, 0.17040006774864438, 0.0620602142339648, 0.20665732895898897, 0.20476961503210997, 0.03879633881354364, 0.621171480336104, 0.1225476615042128, 0.16597510626509482]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,5.0,13.0,0.0,16.0,1.8149538577751515e-35,2.484593079907442,1.9773827281609832e-12,0.0,0.0,0.0,0.0,"[1.912890516851941e-12, 1.9841610127027517e-13, 1.914361058321352e-13, 1.7966696548800048e-13, 1.7300171766064108e-13, 1.6472356215391538e-13, 1.5649605756216562e-13, 1.5093645293992918e-13]",1.435712182962846,0.2480470887561941,0.07702613250033498,3.8752952248313157,"[0, 1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15]","[1.435712182962846, 0.1539498182033788, 0.08900753769472688, 0.2926756853599955, 0.018881091290715732, 0.1994575020850851, 0.2800812909045939, 0.07768334624678098, 0.04809082159586459, 0.2602523761061488, 0.02648628238120952, 0.07702613250033498, 0.17970379462667332, 0.1905847378788795, 0.25426088392229806, 0.3848999363395739]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,6.0,13.0,0.0,16.0,1.44194933823431e-35,2.687801131110305,1.822665900913324e-12,0.0,0.0,0.0,0.0,"[1.7905499612830162e-12, 1.969489950344657e-13, 1.7618651825562427e-13, 1.7363856622702604e-13, 1.6877633964821622e-13, 1.6391596291756419e-13, 1.579056036937391e-13, 1.5414094125493047e-13]",1.2159738520452443,0.1959341244803457,0.07482686175532352,3.0592420764076396,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15]","[1.2159738520452443, 0.03292865881557851, 0.1296637843275122, 0.19014874797168843, 0.07482686175532352, 0.11632485794336334, 0.15677486741080476, 0.11011879624187755, 0.2098521487258315, 0.10937695614736676, 0.028337516296803207, 0.24074344599911174, 0.08498486616636353, 0.014437740165509196, 0.22364781028222447, 0.19680508139092784]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,7.0,0.0,7.0,7.0,5.473383826905073,6.032388826271571,4.465319044018173,0.9999999999999499,0.9999999999999499,3.4986954762601365e-13,3.4986954762601365e-13,"[1.7089335047289846, 1.5876565768199253, 1.4057825517615004, 1.228717375589814, 1.1101363529544779, 0.811669442089264, 0.6764556352664102, 1.2646003000494108e-12]",0.002686643799738299,0.0018816692325129573,0.0,0.0,[],"[0.002314319829817892, 0.0021234884894781075, 0.002686643799738299, 0.0013347175475760702, 0.0016704169416847671, 0.0016928657525606032, 0.0013492322667349628]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,8.0,0.0,15.0,16.0,12.084735047971876,16.883480277431758,14.494913049216311,0.6781079879673042,0.9680253967823683,0.5861520672032536,0.5673552784919613,"[6.1122402719440405, 5.444360655704672, 5.042552756876913, 4.092482814024003, 3.7253440907310145, 3.4540401760124255, 3.2639727256622604, 3.107636495205339]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.0,14.0,3.0,16.0,1.0721339728408819,1.224601742839144,237.68625053079293,0.9966032360882271,0.9546930570692113,0.2203402138826719,0.05828176311482745,"[358.9517134960969, 41.651870330648016, 36.0619591027806, 29.819905758010414, 19.143715252777397, 11.15461788547628, 7.2486749136056945, 5.72073303587373]",1.1475178123475762,0.18727142555898124,0.05554841312850037,2.925467828076181,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14]","[1.1475178123475762, 0.25592254190757435, 0.26570026173837946, 0.1973341567084193, 0.14965172783295705, 0.22863017691865797, 0.12252461677641104, 0.0998978362467402, 0.10901940529287839, 0.08706383279178773, 0.07797068473890952, 0.05554841312850037, 0.06347600640201877, 0.03634719208393895, 0.06521035524537153, 0.034527788783579386]"
