exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.0,13.0,1.0,16.0,1.0922865253387375,1.2821394027328754,293.0065154911882,0.9983165469456923,0.9604558812984549,0.20288174163399925,0.04102990439067286,"[286.9200176594759, 36.13976402998034, 32.40935095857804, 24.5161707063867, 21.394190133900285, 13.904093916959393, 6.6195586828039445, 5.217768894186863]",0.7996502769353553,0.13395157900620783,0.05122721221592105,2.028029702422602,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 15]","[0.7996502769353553, 0.14814455601694798, 0.22066112765064, 0.16066425479755816, 0.15825019192458473, 0.1198372104492014, 0.07611473613198325, 0.058056818344470816, 0.04565254320259162, 0.058737474949690824, 0.053032673288600764, 0.06849498455684962, 0.05122721221592105, 0.04267068713171346, 0.02687233134241776, 0.05515818516079852]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,1.0,4.0,27.0,34.0,2.258815696467805,3.072559862973878,14.0704343666082,0.999999999999995,0.950965192553549,0.22143804426169858,4.2065691140479907e-13,"[4.043532473979987, 2.093647486405683, 1.864895325207579, 1.1967495631446576, 0.34723600725558046, 0.32515299787664775, 0.20214331048982495, 0.17813474290261058]",0.16108680565119432,0.02973730293669074,0.05369935401825525,0.4190215028060291,"[1, 3, 8, 9]","[0.049603967875589926, 0.16108680565119432, 0.029293366158487766, 0.15012912068132156, 0.046653900103781024, 0.04967681249308133, 0.038950250519596316, 0.04920081924156391, 0.05369935401825525, 0.054106222455257987, 0.030360446127961016, 0.023307329507927046, 0.023702230680246836, 0.021967298231924767, 0.020318779675746388, 0.02783682323661588, 0.01658660590117494, 0.01730290245384767, 0.00672345769007709, 0.009447690934439873, 0.013594301766779879, 0.020534851903867165, 0.013595697445651875, 0.007059182754690802, 0.011280991432242581, 0.009138216612573928, 0.006479821953421117, 0.008523824842105586, 0.009420695257287533, 0.0037566031958985754, 0.006781842491410591, 0.00985689326050667, 0.006641316765362978, 0.004449876527594872]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,2.0,1.0,26.0,30.0,1.8066287831850614,2.6861914819901256,11.921397073564282,0.999999999999993,0.961737031102686,0.19560922498007846,2.417105092409346e-13,"[4.096326813758164, 1.993570367720635, 0.9740928907641102, 0.7449372412171988, 0.4953838147096964, 0.42823622837788144, 0.3573622808607726, 0.3060781568530689]",0.05787390785709458,0.018433878621676083,0.05787390785709458,0.05787390785709458,[2],"[0.04655101203792941, 0.027479851204718714, 0.05787390785709458, 0.044833599760486176, 0.04056939178425952, 0.029356946700695455, 0.03014121786530079, 0.026481965909882554, 0.020906605727774936, 0.031183317292248117, 0.016666090351690355, 0.019393262502170987, 0.015307643678101033, 0.016204715165238005, 0.014137536901422205, 0.01043003177046708, 0.00844956406199438, 0.010093232172436177, 0.007443353345574255, 0.009997766939061658, 0.009746140767328102, 0.006305721281686183, 0.0066473345125545496, 0.00801351095032617, 0.00618911227933085, 0.005472087304608549, 0.006317120660574846, 0.00853937108212819, 0.006011600700489327, 0.006273346082709385]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,3.0,0.0,26.0,29.0,3.15411792045432,5.034201671861259,11.43983989613895,0.9999999999999925,0.9517454642450469,0.2196691506674195,1.7539109077868711e-13,"[4.144548977714924, 2.3783492997032742, 1.9567491596744992, 1.4214019752574516, 1.1788529354799235, 1.0412756386998585, 0.8124675749448602, 0.5496552205011056]",0.038113550872302976,0.013992607491575921,0.0,0.0,[],"[0.038113550872302976, 0.03324982957147504, 0.021857640381572556, 0.03722250482306064, 0.024416202959609803, 0.024158349071655438, 0.021794966099096633, 0.019787256388102362, 0.012705369796743624, 0.017262827601862568, 0.010358997901873914, 0.015542098432854007, 0.010788786006787064, 0.01087488826020463, 0.012145668710586355, 0.010046717765239344, 0.009158816098075808, 0.010282527163114962, 0.005468415632519743, 0.004798266148369127, 0.00741046924653819, 0.006628733228246841, 0.007282205929844976, 0.005817811171992549, 0.0034051750768154775, 0.005697976155072685, 0.009250881093947307, 0.006615455362366365, 0.003643230305770816]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,4.0,0.0,27.0,29.0,5.281534641889995,7.7392940710401,11.489355029254643,0.9999999999999925,0.9545897109483552,0.21309690061480777,3.259701135070187e-13,"[4.129722011967944, 2.973018725948713, 2.430958375048235, 2.1897064002112745, 1.782772366701152, 1.6730551327554088, 1.2665923806959916, 1.0376020969762767]",0.02577710228356634,0.010187128522747394,0.0,0.0,[],"[0.02577710228356634, 0.023591017935803066, 0.021301182604433463, 0.022372492036366275, 0.015385265037383633, 0.014550993475901181, 0.015796821368204036, 0.0072329952536295365, 0.012933956439516274, 0.009897359934581984, 0.010775819476931653, 0.00996483645291388, 0.00879201444651747, 0.009929647218698443, 0.006886546839901372, 0.00741688595577781, 0.009107605984641465, 0.0051838630824123265, 0.010793043134978796, 0.004674292098237256, 0.008244251887661359, 0.004049589805378721, 0.00499582530844055, 0.004244410210424293, 0.004698536732318905, 0.0040405987472120165, 0.006302314065679959, 0.0032516014039262243, 0.0032358579382361597]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,5.0,0.0,27.0,29.0,7.299164702527707,9.912245114399525,12.36072481784588,0.9999999999999934,0.9598217612818745,0.200445101506919,1.4336651214568759e-13,"[4.434032250244343, 3.3406227124686176, 3.1776230180834273, 2.692263952058637, 2.47586425454565, 2.2591716052833486, 1.9237632524550308, 1.696313210929771]",0.02158306504793894,0.007204226818365402,0.0,0.0,[],"[0.02158306504793894, 0.01897467046973156, 0.016325184246467804, 0.011753510051268498, 0.009963579826573718, 0.00773399695995623, 0.010637753780544821, 0.0074112990702563065, 0.007774025862308481, 0.006843045740414074, 0.005881201920366255, 0.008915866801407074, 0.0060890639583666955, 0.007077100114681289, 0.0056373495200020916, 0.005619270495092422, 0.004040531562291543, 0.006747962834717215, 0.006853666531718742, 0.004740885782641876, 0.00535769717079937, 0.003090648765739115, 0.003200919780146968, 0.0031772556154527933, 0.003000665187202632, 0.003215057223458864, 0.0029286216381939133, 0.0018895964888937147, 0.0024590852859636505]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,6.0,0.0,27.0,29.0,8.421996343165679,11.472466919047694,12.00943483461885,0.9999999999999931,0.9589772869687634,0.2025406453806984,2.1051119610539522e-13,"[4.2658282070080595, 2.9677165457815633, 2.8499084750400416, 2.7322171209367414, 2.4596058897850597, 2.2870884571211394, 2.0511172210191266, 1.7807277567260984]",0.016376157829528858,0.0050966166464485995,0.0,0.0,[],"[0.016376157829528858, 0.0111719178845015, 0.009068360958177191, 0.00838489797477375, 0.007102462496707716, 0.006651762170761656, 0.00732353808258594, 0.005848771601840815, 0.004436427811237467, 0.007378442268485987, 0.0061663614993164645, 0.004694989351672514, 0.004361004495452527, 0.004117267713837984, 0.0038250752647036017, 0.0043944346451622665, 0.0031510497258956205, 0.005264075054760188, 0.00400362282144839, 0.0034908639575645193, 0.004114136678636324, 0.002785972673767585, 0.0019878700943905298, 0.0017613816358986573, 0.0026394342012306467, 0.002162260356720424, 0.0020044446951378667, 0.001487942352067063, 0.0016469564507453531]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,7.0,0.0,27.0,29.0,9.397871103216046,12.595768321767101,11.506747157900755,0.9999999999999925,0.9560755603141801,0.20958158241079394,2.977790269587697e-13,"[3.813854635224562, 2.8482583636033385, 2.5727132022867023, 2.4840374102786065, 2.3054551732135273, 2.138208851413197, 1.913689284420044, 1.7669545443341141]",0.007777715504162356,0.002736425378780785,0.0,0.0,[],"[0.006730714253273143, 0.004806901018051699, 0.007777715504162356, 0.00484750024047568, 0.0039324293155365685, 0.004477081009614074, 0.0026383568697437207, 0.0028570335906232076, 0.001914151291806157, 0.006557002006984316, 0.002584232319588954, 0.0024421344622344494, 0.003096019343435764, 0.0025250012618792984, 0.0018949412910436822, 0.0014146478451794323, 0.0019687401607527792, 0.002869781295487934, 0.001873845583736893, 0.002050920655401452, 0.0016526008061038904, 0.0011666311731799662, 0.0012250983708822045, 0.0017642778441401702, 0.0006131606150072315, 0.0011681268929674723, 0.000896861441313847, 0.0006910021395366123, 0.0009194273824998239]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,8.0,0.0,27.0,29.0,9.21799370283387,12.573389234363521,11.43964389169202,0.9999999999999925,0.9516278555369814,0.21993668284988516,2.550388926654008e-13,"[3.8024486743514143, 2.992979752307827, 2.547000703474695, 2.375631382850597, 2.2562352464893465, 2.098076678925938, 1.8343155499193893, 1.7152262687591597]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
rbf,rbf_l3,model_rbf_fixed_l3.pt,1,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.0,13.0,2.0,16.0,1.0429899430873053,1.1442956727624247,278.9793438035311,0.9980880259499175,0.9504295557978555,0.22668842239792794,0.04372612548674461,"[406.6813481501444, 34.40631513195251, 31.90356587048625, 25.16331094841906, 21.07694491006962, 11.040204866292632, 6.814258396884317, 4.93740246401026]",0.9424395217528558,0.15505247162787555,0.054521413918853734,2.364161967439271,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[0.9424395217528558, 0.20296662233167256, 0.1910157457262109, 0.19320468137347738, 0.17320244527725756, 0.1688848799435076, 0.10305945481781521, 0.09712299552615922, 0.05896624116301076, 0.05550827056244196, 0.055033741607796234, 0.054521413918853734, 0.06823595343821182, 0.03328563418213056, 0.0483129172711873, 0.03507902715342003]"
