checkpoint,episode,d_x,d_model,n_layers,n_heads,n_ctx,n_tgt,sigma2,eps,rank_Q,k_remove,control,state_idx,state_label,agg_leverage_task,agg_leverage_iso,pred_drift,base_pointwise_F_T,surg_pointwise_F_T,krr_err_inflation,mse_model,mse_krr,mse_ratio,base_E_task_F_T,base_E_task_F_TQ,base_E_task_TQ_T,surg_E_task_F_T,surg_E_task_F_TQ,surg_E_task_damage,delta_E_task_F_T,base_E_iso_F_T,base_E_iso_F_TQ,base_E_iso_TQ_T,surg_E_iso_F_T,surg_E_iso_F_TQ,surg_E_iso_damage,delta_E_iso_F_T
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,0,embedding,0.48014164728717107,0.37721641075686235,0.9596945840737907,0.004915776687816433,0.9587396462656403,195.03319763117807,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,1.077035159980963,1.0770088980012618,1.0761583681444542,1.0697279070195076,0.19388258875111483,0.19020403649391718,0.030132957227489307,3.2485159813750775,3.251121093714887,3.268190490940332,3.0546333926239626
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,1,after_layer_1,0.48014164728717107,0.37721641075686235,0.7483957602783231,0.004915776687816433,0.7475627536871025,152.0741891184578,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,1.011457298624583,1.0114464926023699,1.0125259648632723,1.0041500456631274,0.19388258875111483,0.19020403649391718,0.030132957227489307,3.700571177409058,3.701059694676723,3.714273669969482,3.5066885886579433
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,2,after_layer_2,0.48014164728717107,0.37721641075686235,1.0837775038794994,0.004915776687816433,1.0817031382890903,220.0472492922737,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,1.2150264429045057,1.2149792945974736,1.213563739166796,1.2077191899430502,0.19388258875111483,0.19020403649391718,0.030132957227489307,1.882476048718188,1.8844455060588228,1.9006854773679196,1.688593459967073
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,3,after_layer_3,0.48014164728717107,0.37721641075686235,0.26404361454636704,0.004915776687816433,0.26517218078022053,53.94308928585787,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.1602567892226702,0.16021115129292546,0.15872526329649583,0.15294953626121474,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.6915901784791734,0.6899036696805578,0.6585508455341138,0.4977075897280585
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,4,after_layer_4,0.48014164728717107,0.37721641075686235,0.08764064051442264,0.004915776687816433,0.08923127054255593,18.15201873667538,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.040962673865199875,0.040914354245570175,0.03990773150837822,0.03365542090374441,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.2808837422531227,0.278232434675879,0.23500142024639772,0.08700115350200785
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,5,after_layer_5,0.48014164728717107,0.37721641075686235,0.03895244594274892,0.004915776687816433,0.04061919646261889,8.263027196351704,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.027581693387979115,0.027519598560460944,0.025963553801812436,0.020274440426523654,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.24970497485217566,0.2467297407631496,0.15386046032906978,0.05582238610106083
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,6,after_layer_6,0.48014164728717107,0.37721641075686235,0.014805248349860628,0.004915776687816433,0.017447169698068987,3.5492193413323956,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.014221136944406947,0.014126836185623695,0.010569628938711276,0.006913883982951486,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.22983741110865008,0.2268259349761493,0.1288423791371822,0.03595482235753525
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,7,after_layer_7,0.48014164728717107,0.37721641075686235,0.002141363678492495,0.004915776687816433,0.005046146607788791,1.0265207165116907,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.007258830607842623,0.007161838302517467,0.001230416938021043,-4.842235361283802e-05,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19334228802647552,0.18903111864266625,0.042092546768209935,-0.0005403007246393143
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_task,8,final,0.48014164728717107,0.37721641075686235,0.0,0.004915776687816433,0.004915776687816433,1.0,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.0073072529614554614,0.007231089543391502,0.0,0.0,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19388258875111483,0.19020403649391718,0.0,0.0
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,0,embedding,0.00021283933755313013,0.008905533001121927,7.481353827014534e-05,0.004915776687816433,0.004932510603743933,1.0034041245138279,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.007253673682898791,0.007183634034185812,0.0017697545740454307,-5.3579278556670565e-05,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.1986581608578226,0.1959852912467136,0.037715740927345094,0.0047755721067077594
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,1,after_layer_1,0.00021283933755313013,0.008905533001121927,0.0001262389139740687,0.004915776687816433,0.004911821085265236,0.999195325011203,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.007332469229658137,0.00725937137658914,0.0011438713943695328,2.5216268202675127e-05,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19857745894557627,0.19549190692125235,0.03815025348880479,0.004694870194461437
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,2,after_layer_2,0.00021283933755313013,0.008905533001121927,0.00025668852584715015,0.004915776687816433,0.005022799466067544,1.0217712856070866,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.007398852190009837,0.007312103099677787,0.0008362149121540217,9.159922855437545e-05,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.1970921114806943,0.1935849319231786,0.02643640241126321,0.0032095227295794726
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,3,after_layer_3,0.00021283933755313013,0.008905533001121927,0.00010904210035142002,0.004915776687816433,0.00493682592170428,1.0042819752044507,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.007362259668474843,0.007276803124111747,0.0006002105255482099,5.5006707019381214e-05,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.1942341159181519,0.19080868089128594,0.020672048227284263,0.000351527167037069
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,4,after_layer_4,0.00021283933755313013,0.008905533001121927,0.00014915091473009228,0.004915776687816433,0.004956039945639856,1.008190619790198,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.0073601217719357,0.0072814273369868465,0.0006160762487351564,5.2868810480238664e-05,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19205285433284527,0.18820179655101169,0.02065410452501032,-0.0018297344182695574
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,5,after_layer_5,0.00021283933755313013,0.008905533001121927,8.832738423837939e-05,0.004915776687816433,0.004935843172562665,1.0040820578355332,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.007297645509076531,0.0072193310120391195,0.0004890168826212072,-9.607452378930341e-06,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19243918663658666,0.18845583654413164,0.017417483361731104,-0.001443402114528175
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,6,after_layer_6,0.00021283933755313013,0.008905533001121927,0.0001690906515196293,0.004915776687816433,0.004987688192785157,1.014628716789954,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.007348603132614795,0.007267848097709991,0.0006620648911023474,4.135017115933313e-05,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.1919426581993542,0.1876559556477188,0.024309079773600268,-0.0019399305517606436
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,7,after_layer_7,0.00021283933755313013,0.008905533001121927,6.917427031936121e-06,0.004915776687816433,0.004916347946254963,1.0001162091923226,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.007291244712958856,0.007213758731767363,0.0004777070822582501,-1.6008248496605752e-05,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19618598391871617,0.19258040513596714,0.019574132067087167,0.0023033951676013353
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,low_task,8,final,0.00021283933755313013,0.008905533001121927,0.0,0.004915776687816433,0.004915776687816433,1.0,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.0073072529614554614,0.007231089543391502,0.0,0.0,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19388258875111483,0.19020403649391718,0.0,0.0
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,0,embedding,0.0005934946560279636,0.022733281302366414,0.003392185321672413,0.004915776687816433,0.003745035005750721,0.7618399377320473,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006237921695856383,0.006123905644587869,0.003377540423678088,-0.001069331265599078,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.18762304830446616,0.18402846593951522,0.04224611207089608,-0.00625954044664867
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,1,after_layer_1,0.0005934946560279636,0.022733281302366414,0.0033681940247469373,0.004915776687816433,0.003638678258035477,0.7402041404878711,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.0062417974872457024,0.006152703731676012,0.0034413142215262388,-0.001065455474209759,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.18922899964588843,0.18495646027990842,0.04320830924131608,-0.004653589105226397
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,2,after_layer_2,0.0005934946560279636,0.022733281302366414,0.002275526125064782,0.004915776687816433,0.003549642612551666,0.7220919171021989,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006269937491894226,0.006160321218251013,0.0028907269132487762,-0.0010373154695612358,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.1906010107193435,0.18617809705544616,0.03908613559444142,-0.0032815780317713428
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,3,after_layer_3,0.0005934946560279636,0.022733281302366414,0.0022219313958753064,0.004915776687816433,0.00374783752747861,0.7624100453479677,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.00648922914527338,0.006375932450446896,0.0024845941672930524,-0.0008180238161820813,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.18957985895249538,0.18498046703280652,0.03856588562259477,-0.0043027297986194535
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,4,after_layer_4,0.0005934946560279636,0.022733281302366414,0.002050691382815623,0.004915776687816433,0.0036478889586683536,0.7420778424922166,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006493901949971479,0.006379704627481648,0.002315160779148421,-0.0008133510114839825,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19028726102918886,0.1857468279349965,0.03727090376973545,-0.0035953277219259727
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,5,after_layer_5,0.0005934946560279636,0.022733281302366414,0.0018274869989424515,0.004915776687816433,0.0036840286389712676,0.7494296167077714,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006414123769078304,0.00630879703912544,0.002366809675632876,-0.0008931291923771571,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19014315077416596,0.18594302161508866,0.0310073393704389,-0.0037394379769488673
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,6,after_layer_6,0.0005934946560279636,0.022733281302366414,0.0017466414901007672,0.004915776687816433,0.003881250448451033,0.7895497893691074,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006299946070529815,0.006204651435962074,0.002579728341053529,-0.001007306890925646,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19037644979631307,0.18636856773728833,0.02305286075522045,-0.0035061389548017574
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,7,after_layer_7,0.0005934946560279636,0.022733281302366414,0.0013968295439168712,0.004915776687816433,0.004244077664557964,0.8633585156699144,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006502232358498903,0.006424761065644913,0.0018381401274876728,-0.0008050206029565589,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.1907882120510152,0.18717928686340599,0.014652038239093987,-0.003094376700099627
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,random_Q,8,final,0.0005934946560279636,0.022733281302366414,0.0,0.004915776687816433,0.004915776687816433,1.0,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.0073072529614554614,0.007231089543391502,0.0,0.0,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19388258875111483,0.19020403649391718,0.0,0.0
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,0,embedding,0.0005934946560279636,0.022733281302366414,0.003392185321672413,0.004915776687816433,0.003745035005750721,0.7618399377320473,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006237921695856383,0.006123905644587869,0.003377540423678088,-0.001069331265599078,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.18762304830446616,0.18402846593951522,0.04224611207089608,-0.00625954044664867
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,1,after_layer_1,0.0005934946560279636,0.022733281302366414,0.0033681940247469373,0.004915776687816433,0.003638678258035477,0.7402041404878711,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.0062417974872457024,0.006152703731676012,0.0034413142215262388,-0.001065455474209759,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.18922899964588843,0.18495646027990842,0.04320830924131608,-0.004653589105226397
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,2,after_layer_2,0.0005934946560279636,0.022733281302366414,0.002275526125064782,0.004915776687816433,0.003549642612551666,0.7220919171021989,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006269937491894226,0.006160321218251013,0.0028907269132487762,-0.0010373154695612358,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.1906010107193435,0.18617809705544616,0.03908613559444142,-0.0032815780317713428
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,3,after_layer_3,0.0005934946560279636,0.022733281302366414,0.0022219313958753064,0.004915776687816433,0.00374783752747861,0.7624100453479677,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.00648922914527338,0.006375932450446896,0.0024845941672930524,-0.0008180238161820813,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.18957985895249538,0.18498046703280652,0.03856588562259477,-0.0043027297986194535
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,4,after_layer_4,0.0005934946560279636,0.022733281302366414,0.002050691382815623,0.004915776687816433,0.0036478889586683536,0.7420778424922166,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006493901949971479,0.006379704627481648,0.002315160779148421,-0.0008133510114839825,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19028726102918886,0.1857468279349965,0.03727090376973545,-0.0035953277219259727
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,5,after_layer_5,0.0005934946560279636,0.022733281302366414,0.0018274869989424515,0.004915776687816433,0.0036840286389712676,0.7494296167077714,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006414123769078304,0.00630879703912544,0.002366809675632876,-0.0008931291923771571,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19014315077416596,0.18594302161508866,0.0310073393704389,-0.0037394379769488673
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,6,after_layer_6,0.0005934946560279636,0.022733281302366414,0.0017466414901007672,0.004915776687816433,0.003881250448451033,0.7895497893691074,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006299946070529815,0.006204651435962074,0.002579728341053529,-0.001007306890925646,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19037644979631307,0.18636856773728833,0.02305286075522045,-0.0035061389548017574
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,7,after_layer_7,0.0005934946560279636,0.022733281302366414,0.0013968295439168712,0.004915776687816433,0.004244077664557964,0.8633585156699144,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006502232358498903,0.006424761065644913,0.0018381401274876728,-0.0008050206029565589,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.1907882120510152,0.18717928686340599,0.014652038239093987,-0.003094376700099627
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_iso_low_task,8,final,0.0005934946560279636,0.022733281302366414,0.0,0.004915776687816433,0.004915776687816433,1.0,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.0073072529614554614,0.007231089543391502,0.0,0.0,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.19388258875111483,0.19020403649391718,0.0,0.0
model_L8.pt,0,5,128,8,4,47,16,0.1,0.001,12,1,high_variance_low_task,0,embedding,0.0005934946560279636,0.022733281302366414,0.003392185321672413,0.004915776687816433,0.003745035005750721,0.7618399377320473,0.017719347259035526,0.011782966928681866,1.503810319275652,0.0073072529614554614,0.007231089543391502,0.0007096439230062483,0.006237921695856383,0.006123905644587869,0.003377540423678088,-0.001069331265599078,0.19388258875111483,0.19020403649391718,0.030132957227489307,0.18762304830446616,0.18402846593951522,0.04224611207089608,-0.00625954044664867
