Experiment 3: Galerkin-Leverage Surgery

checkpoint=model_L8.pt
episodes=32, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
high_iso_low_task          1      0.0    0.03777      4.417      0.07050      0.06617
high_iso_low_task          1      1.0    0.09608     11.068      0.76936      0.76520
high_iso_low_task          1      2.0    0.09006      8.855      0.14127      0.13711
high_iso_low_task          1      3.0    0.00561      1.219      0.01011      0.00680
high_iso_low_task          1      4.0    0.00909      1.416      0.01164      0.00886
high_iso_low_task          1      5.0    0.00565      1.171      0.00478      0.00243
high_iso_low_task          1      6.0    0.00353      1.102      0.00469      0.00237
high_iso_low_task          1      7.0    0.00122      1.002      0.00133      0.00025
high_iso_low_task          1      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          2      0.0    0.04048      4.593      0.08968      0.08444
high_iso_low_task          2      1.0    0.08592      9.947      0.22359      0.21873
high_iso_low_task          2      2.0    0.08227      8.312      0.12294      0.11797
high_iso_low_task          2      3.0    0.00636      1.243      0.01093      0.00701
high_iso_low_task          2      4.0    0.00931      1.407      0.01234      0.00905
high_iso_low_task          2      5.0    0.00551      1.136      0.00512      0.00238
high_iso_low_task          2      6.0    0.00375      1.100      0.00509      0.00237
high_iso_low_task          2      7.0    0.00142      1.005      0.00147      0.00024
high_iso_low_task          2      8.0    0.00000      1.000      0.00000      0.00000
high_iso_low_task          4      0.0    0.04101      4.553      0.08921      0.08315
high_iso_low_task          4      1.0    0.07489      8.049      2.62485      2.61913
high_iso_low_task          4      2.0    0.07913      8.151      0.16458      0.15858
high_iso_low_task          4      3.0    0.00694      1.242      0.01116      0.00664
high_iso_low_task          4      4.0    0.00990      1.422      0.01288      0.00904
high_iso_low_task          4      5.0    0.00582      1.141      0.00546      0.00235
high_iso_low_task          4      6.0    0.00378      1.085      0.00543      0.00232
high_iso_low_task          4      7.0    0.00168      1.006      0.00161      0.00022
high_iso_low_task          4      8.0    0.00000      1.000      0.00000      0.00000
high_task                  1      0.0    1.71271    212.864      6.60630      6.59685
high_task                  1      1.0    4.68206    649.376     41.58639     41.57714
high_task                  1      2.0    1.61880    269.429      6.32814      6.31859
high_task                  1      3.0    0.34592     45.133      0.65387      0.64448
high_task                  1      4.0    0.04811      6.339      0.08036      0.07144
high_task                  1      5.0    0.01871      2.724      0.03034      0.02251
high_task                  1      6.0    0.01586      2.288      0.01350      0.00705
high_task                  1      7.0    0.00330      1.141      0.00249      0.00053
high_task                  1      8.0    0.00000      1.000      0.00000      0.00000
high_task                  2      0.0    9.93304   1546.021    132.56095    132.55161
high_task                  2      1.0    6.43653    857.708     95.54431     95.53531
high_task                  2      2.0    3.73310    607.362     19.28433     19.27530
high_task                  2      3.0    0.75879    110.726      1.60566      1.59669
high_task                  2      4.0    0.08422     12.479      0.10112      0.09216
high_task                  2      5.0    0.03272      4.709      0.03727      0.02909
high_task                  2      6.0    0.02520      3.333      0.01882      0.01181
high_task                  2      7.0    0.00444      1.210      0.00371      0.00109
high_task                  2      8.0    0.00000      1.000      0.00000      0.00000
high_task                  4      0.0    4.94938    708.784    126.51428    126.50493
high_task                  4      1.0    6.21296    967.532     74.18374     74.17456
high_task                  4      2.0    6.27709    905.441     55.98075     55.97161
high_task                  4      3.0    1.28390    185.336      2.31239      2.30332
high_task                  4      4.0    0.13266     19.206      0.13566      0.12635
high_task                  4      5.0    0.05057      7.258      0.05002      0.04121
high_task                  4      6.0    0.03514      4.727      0.02889      0.02084
high_task                  4      7.0    0.00583      1.290      0.00503      0.00159
high_task                  4      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     1      0.0    0.03967      4.370      0.06923      0.06561
high_variance_low_task     1      1.0    0.09751     10.999      0.76822      0.76475
high_variance_low_task     1      2.0    0.09023      8.806      0.13721      0.13406
high_variance_low_task     1      3.0    0.00664      1.204      0.00956      0.00650
high_variance_low_task     1      4.0    0.01030      1.432      0.01171      0.00883
high_variance_low_task     1      5.0    0.00680      1.197      0.00508      0.00247
high_variance_low_task     1      6.0    0.00429      1.102      0.00481      0.00235
high_variance_low_task     1      7.0    0.00188      1.005      0.00154      0.00021
high_variance_low_task     1      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     2      0.0    0.03733      4.111      0.08388      0.07911
high_variance_low_task     2      1.0    0.08812     10.050      0.51318      0.50844
high_variance_low_task     2      2.0    0.08679      8.682      0.11578      0.11050
high_variance_low_task     2      3.0    0.00721      1.275      0.01058      0.00665
high_variance_low_task     2      4.0    0.00972      1.406      0.01250      0.00908
high_variance_low_task     2      5.0    0.00598      1.149      0.00530      0.00242
high_variance_low_task     2      6.0    0.00390      1.079      0.00518      0.00237
high_variance_low_task     2      7.0    0.00186      1.011      0.00158      0.00021
high_variance_low_task     2      8.0    0.00000      1.000      0.00000      0.00000
high_variance_low_task     4      0.0    0.03806      4.184      0.07836      0.07247
high_variance_low_task     4      1.0    0.09642     10.262      0.44481      0.43911
high_variance_low_task     4      2.0    0.07255      7.407      0.15194      0.14599
high_variance_low_task     4      3.0    0.00743      1.281      0.01112      0.00651
high_variance_low_task     4      4.0    0.00993      1.413      0.01295      0.00905
high_variance_low_task     4      5.0    0.00601      1.150      0.00556      0.00237
high_variance_low_task     4      6.0    0.00383      1.081      0.00548      0.00232
high_variance_low_task     4      7.0    0.00182      1.009      0.00165      0.00020
high_variance_low_task     4      8.0    0.00000      1.000      0.00000      0.00000
low_task                   1      0.0    0.00075      1.023      0.00284      0.00042
low_task                   1      1.0    0.00098      1.029      0.00240      0.00024
low_task                   1      2.0    0.00102      1.032      0.00158      0.00004
low_task                   1      3.0    0.00075      1.025      0.00120      0.00002
low_task                   1      4.0    0.00069      1.022      0.00096     -0.00002
low_task                   1      5.0    0.00058      1.018      0.00091     -0.00002
low_task                   1      6.0    0.00068      1.017      0.00093      0.00000
low_task                   1      7.0    0.00017      1.001      0.00038      0.00000
low_task                   1      8.0    0.00000      1.000      0.00000      0.00000
low_task                   2      0.0    0.00101      1.018      0.00420      0.00089
low_task                   2      1.0    0.00135      1.018      0.00350      0.00053
low_task                   2      2.0    0.00170      1.014      0.00251      0.00013
low_task                   2      3.0    0.00124      1.036      0.00190      0.00007
low_task                   2      4.0    0.00105      1.024      0.00142     -0.00001
low_task                   2      5.0    0.00089      1.023      0.00126     -0.00002
low_task                   2      6.0    0.00111      1.028      0.00136      0.00001
low_task                   2      7.0    0.00026      1.002      0.00055     -0.00000
low_task                   2      8.0    0.00000      1.000      0.00000      0.00000
low_task                   4      0.0    0.00304      0.944      0.00637      0.00176
low_task                   4      1.0    0.00345      0.958      0.00557      0.00123
low_task                   4      2.0    0.00381      0.997      0.00469      0.00087
low_task                   4      3.0    0.00260      1.017      0.00304      0.00009
low_task                   4      4.0    0.00230      1.019      0.00237     -0.00001
low_task                   4      5.0    0.00206      1.029      0.00208      0.00002
low_task                   4      6.0    0.00216      1.042      0.00220      0.00003
low_task                   4      7.0    0.00083      1.012      0.00083     -0.00003
low_task                   4      8.0    0.00000      1.000      0.00000      0.00000
random_A                   1      0.0    6.61835    947.592   1137.50421   1137.49471
random_A                   1      1.0 1564.70204 230046.881   1384.31367   1384.30417
random_A                   1      2.0  326.60295  53255.987  21848.01859  21848.00906
random_A                   1      3.0   77.97971  11544.455   7231.76848   7231.75827
random_A                   1      4.0   15.06925   2510.679    945.34481    945.33598
random_A                   1      5.0    1.57856    186.194      4.36548      4.35661
random_A                   1      6.0    0.13608     18.052      0.15441      0.14527
random_A                   1      7.0    0.01116      1.708      0.01158      0.00618
random_A                   1      8.0    0.00000      1.000      0.00000      0.00000
random_A                   2      0.0  227.85509  25852.636  29683.21949  29683.21049
random_A                   2      1.0 2716.49417 481184.598  27859.79687  27859.78804
random_A                   2      2.0 1595.81446 237963.535   1962.73010   1962.72068
random_A                   2      3.0  211.41822  33636.311   2172.57569   2172.56614
random_A                   2      4.0   32.68707   4398.687    296.39677    296.38710
random_A                   2      5.0    4.40999    564.348      9.29941      9.28977
random_A                   2      6.0    0.19252     24.315      0.23314      0.22446
random_A                   2      7.0    0.01591      2.068      0.01683      0.01012
random_A                   2      8.0    0.00000      1.000      0.00000      0.00000
random_A                   4      0.0 1112.61130 179938.626 127631.78371 127631.77421
random_A                   4      1.0 3485.17312 603026.490  14106.15063  14106.14152
random_A                   4      2.0 1418.51441 213629.377   4689.61223   4689.60312
random_A                   4      3.0  233.01715  28784.872   7156.54571   7156.53637
random_A                   4      4.0   38.06698   5395.236    236.38930    236.37983
random_A                   4      5.0    7.49563   1083.940    116.92819    116.91880
random_A                   4      6.0    1.13142    149.150      1.69563      1.68592
random_A                   4      7.0    0.04813      5.132      0.04872      0.04041
random_A                   4      8.0    0.00000      1.000      0.00000      0.00000
random_Q                   1      0.0    0.67583     84.971      1.52136      1.51491
random_Q                   1      1.0    0.59158     64.955      3.28988      3.28395
