d_x,epsilon,alpha,n,r_mean,r_std,r_min,r_median,r_q90,r_q95,r_q99,r_max,r_epsilon_alpha,numerical_rank_mean,numerical_rank_min,numerical_rank_max
3,0.2,0.05,1024,3.0,0.0,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3
3,0.1,0.05,1024,3.0,0.0,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3
3,0.05,0.05,1024,3.0,0.0,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3
3,0.02,0.05,1024,3.0,0.0,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3
3,0.01,0.05,1024,3.0,0.0,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3
3,0.005,0.05,1024,3.0,0.0,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3
3,0.001,0.05,1024,3.0,0.0,3,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3
5,0.2,0.05,1024,4.869140625,0.33741128771459894,4,5.0,5.0,5.0,5.0,5,5.0,5.0,5,5
5,0.1,0.05,1024,5.0,0.0,5,5.0,5.0,5.0,5.0,5,5.0,5.0,5,5
5,0.05,0.05,1024,5.0,0.0,5,5.0,5.0,5.0,5.0,5,5.0,5.0,5,5
5,0.02,0.05,1024,5.0,0.0,5,5.0,5.0,5.0,5.0,5,5.0,5.0,5,5
5,0.01,0.05,1024,5.0,0.0,5,5.0,5.0,5.0,5.0,5,5.0,5.0,5,5
5,0.005,0.05,1024,5.0,0.0,5,5.0,5.0,5.0,5.0,5,5.0,5.0,5,5
5,0.001,0.05,1024,5.0,0.0,5,5.0,5.0,5.0,5.0,5,5.0,5.0,5,5
8,0.2,0.05,1024,6.8779296875,0.35885831093752657,6,7.0,7.0,7.0,8.0,8,7.0,8.0,8,8
8,0.1,0.05,1024,7.8916015625,0.3110348718910117,7,8.0,8.0,8.0,8.0,8,8.0,8.0,8,8
8,0.05,0.05,1024,7.9990234375,0.03125,7,8.0,8.0,8.0,8.0,8,8.0,8.0,8,8
8,0.02,0.05,1024,8.0,0.0,8,8.0,8.0,8.0,8.0,8,8.0,8.0,8,8
8,0.01,0.05,1024,8.0,0.0,8,8.0,8.0,8.0,8.0,8,8.0,8.0,8,8
8,0.005,0.05,1024,8.0,0.0,8,8.0,8.0,8.0,8.0,8,8.0,8.0,8,8
8,0.001,0.05,1024,8.0,0.0,8,8.0,8.0,8.0,8.0,8,8.0,8.0,8,8
10,0.2,0.05,1024,8.0166015625,0.3963639399108871,7,8.0,8.0,9.0,9.0,9,9.0,10.0,10,10
10,0.1,0.05,1024,9.337890625,0.48344018478798356,8,9.0,10.0,10.0,10.0,10,10.0,10.0,10,10
10,0.05,0.05,1024,9.9736328125,0.16030300590552268,9,10.0,10.0,10.0,10.0,10,10.0,10.0,10,10
10,0.02,0.05,1024,10.0,0.0,10,10.0,10.0,10.0,10.0,10,10.0,10.0,10,10
10,0.01,0.05,1024,10.0,0.0,10,10.0,10.0,10.0,10.0,10,10.0,10.0,10,10
10,0.005,0.05,1024,10.0,0.0,10,10.0,10.0,10.0,10.0,10,10.0,10.0,10,10
10,0.001,0.05,1024,10.0,0.0,10,10.0,10.0,10.0,10.0,10,10.0,10.0,10,10
15,0.2,0.05,1024,10.2001953125,0.48633322004200197,9,10.0,11.0,11.0,11.0,12,11.0,14.9990234375,14,15
15,0.1,0.05,1024,12.244140625,0.5108450857284459,11,12.0,13.0,13.0,13.0,14,13.0,14.9990234375,14,15
15,0.05,0.05,1024,13.5107421875,0.5396152243582807,12,14.0,14.0,14.0,15.0,15,14.0,14.9990234375,14,15
15,0.02,0.05,1024,14.46484375,0.5144389982237453,13,14.0,15.0,15.0,15.0,15,15.0,14.9990234375,14,15
15,0.01,0.05,1024,14.828125,0.3774561143756581,14,15.0,15.0,15.0,15.0,15,15.0,14.9990234375,14,15
15,0.005,0.05,1024,14.955078125,0.20723377968568554,14,15.0,15.0,15.0,15.0,15,15.0,14.9990234375,14,15
15,0.001,0.05,1024,14.9970703125,0.05407365218573471,14,15.0,15.0,15.0,15.0,15,15.0,14.9990234375,14,15
