episode,probe_kind,basis,rank,TQ_E_model_to_operator,actLR_E_model_to_operator,actLR_model_fit_gain,TQ_E_operator_to_T,actLR_E_operator_to_T,actLR_KRR_cost,TQ_rho_operator_to_T,actLR_rho_operator_to_T,actLR_rho_KRR_cost,TQ_X_use,actLR_X_use,TQ_X_sub,actLR_X_sub
0,isotropic,raw,9,0.3034983147465891,0.2050857883492055,0.09841252639738363,0.032462903010862285,0.28850615706531,0.2560432540544477,0.001209846568098108,0.12784477406256708,0.12663492749446897,0.9197015583310966,0.9633338186328576,0.9989461599281094,0.9167641973355697
0,isotropic,response,9,0.34592943185730624,0.24966986016103568,0.09625957169627056,0.1156620530415897,0.2462390483195077,0.130576995277918,0.012834355768222434,0.30186808418534045,0.289033728417118,0.8956795200345494,0.945659105203505,0.9866222894862307,0.939366331082822
0,label,raw,9,0.01659066953138205,0.009607040139310654,0.006983629392071394,0.0014197204268558978,0.01655060763679205,0.015130887209936154,0.001209846568098108,0.12784477406256708,0.12663492749446897,0.9997246366694064,0.9999076668842447,0.9999979843939095,0.9997260773868535
0,label,response,9,0.017223854698454045,0.018312056635144826,-0.001088201936690781,0.004605262110712757,0.022560160337549814,0.017954898226837056,0.012834355768222434,0.30186808418534045,0.289033728417118,0.9997032170231442,0.9996645308979826,0.9999787915608916,0.999491039165545
1,isotropic,raw,7,0.3919326600709582,0.22574701293315022,0.166185647137808,0.06079351538655049,0.33263305737564985,0.2718395419890994,0.0027066521440655454,0.25366278079727045,0.2509561286532049,0.8623005824273167,0.9543171470752407,0.9963041484869519,0.8893552491411282
1,isotropic,response,9,0.4026600664727212,0.3037100605719527,0.09895000590076847,0.1002256164618551,0.3958016681136113,0.29557605165175616,0.011076649350360712,0.4066138959133314,0.3955372465629707,0.8546596121134683,0.9173148440310521,0.9899548258048594,0.8433410395187667
1,label,raw,7,0.018126968158356415,0.008648259234752981,0.009478708923603434,0.0015221357645932064,0.016880498160118003,0.015358362395524797,0.0027066521440655454,0.25366278079727045,0.2509561286532049,0.9996774690988522,0.9999265860849728,0.9999976831027142,0.9997150487818668
1,label,response,9,0.018452472012040845,0.011607292777917498,0.006845179234123347,0.0036288229005328686,0.02262389071409376,0.018995067813560893,0.011076649350360712,0.4066138959133314,0.3955372465629707,0.9996657817993003,0.9998677539027353,0.9999868316443566,0.9994881595689578
2,isotropic,raw,9,0.2464992592438247,0.2538415147872779,-0.007342255543453191,0.05226894495574117,0.25673093388136203,0.20446198892562087,0.002825296849163484,0.21154310867493978,0.20871781182577628,0.9460763867696915,0.9428161950510525,0.997267957393219,0.9340892275885315
2,isotropic,response,9,0.28519019159044107,0.22833375241297382,0.056856439177467244,0.18621477356522992,0.24632350955578675,0.06010873599055683,0.03605020357432642,0.45211366016808496,0.41606345659375854,0.9278199933197747,0.953731227731374,0.9653240581061174,0.939324728640238
2,label,raw,9,0.006177076304537272,0.006673889539792076,-0.000496813235254804,0.0007909054217882923,0.008143007035061186,0.007352101613272893,0.002825296849163484,0.21154310867493978,0.20871781182577628,0.9999617819144013,0.9999553870414173,0.9999993744686138,0.9999336914364271
2,label,response,9,0.006527394726126298,0.00806280976809,-0.0015354150419637025,0.0033060447021672932,0.010516411209471404,0.00721036650730411,0.03605020357432642,0.45211366016808496,0.41606345659375854,0.9999573240940847,0.9999348857829174,0.9999890700684273,0.9998894050952736
3,isotropic,raw,9,0.2238328377517756,0.11843015740927652,0.10540268034249907,0.06462734586389486,0.19458837652333555,0.1299610306594407,0.004431764010122322,0.04853235204359632,0.044100588033474,0.9548060271451844,0.9873480481045803,0.9958233061665963,0.962135363722083
3,isotropic,response,9,0.2435195134556993,0.18562306788364932,0.05789644557204998,0.10971191030089562,0.28316880361356084,0.17345689331266523,0.010027785651265223,0.1075894317271121,0.09756164607584689,0.9465065690177096,0.9689188691751943,0.9879632967381506,0.9198154286602137
3,label,raw,9,0.00690930993604076,0.00423483655071659,0.0026744733853241703,0.0021861943202949323,0.006533491302490145,0.004347296982195213,0.004431764010122322,0.04853235204359632,0.044100588033474,0.9999523098006323,0.9999820843283451,0.9999952205543939,0.9999573134914004
3,label,response,9,0.0073748404805519885,0.00895247534654662,-0.0015776348659946307,0.0031645219163075025,0.01031492273338389,0.007150400817076389,0.010027785651265223,0.1075894317271121,0.09756164607584689,0.9999456668291982,0.999919934382723,0.9999899858010413,0.9998936023690045
