episode,probe_kind,eps,additivity_defect
0,isotropic,0.001,0.0024707974768934425
0,isotropic,0.01,0.0048575527540319526
0,label,0.001,0.0006781506394013608
0,label,0.01,0.00017340194767621986
1,isotropic,0.001,0.00705354894518972
1,isotropic,0.01,0.0021255139295331426
1,label,0.001,0.0005913768582451441
1,label,0.01,0.0001659103054377409
2,isotropic,0.001,0.003835792779014508
2,isotropic,0.01,0.0026493583852798858
2,label,0.001,8.21665578456778e-05
2,label,0.01,0.0006216361818343832
3,isotropic,0.001,0.0022892721037609354
3,isotropic,0.01,0.001730067267825809
3,label,0.001,0.00023293576519289844
3,label,0.01,0.0004124460455001076
